scope,tag,budget_h,seed,heldout_clip_subject_nll,heldout_clip_subject_accuracy_diagnostic,heldout_clip_true_subject_probability,true_subject_probability_gt_0p999999_frac,pairwise_subject_auc,pairwise_subject_margin,pairwise_subject_bacc_diagnostic,retrieval_map,class_conditional_subject_nll,primary_subject_metric_uninformative,saturation_reasons
checkpoint,random,,,4.119329387915324,0.22991071428571427,0.19887978003971302,0.0001488095238095238,0.8971398083964013,0.6875606048915466,0.8317378691983122,0.06380434635856333,4.438219649752704,False,
checkpoint,released,,,0.1991564440569265,0.9608630952380952,0.8888252084524352,0.0,0.9997987827339093,0.9622134683448248,0.9938667872212176,0.4150663296241973,1.2331236052936372,False,
checkpoint,H200_s0,200,0,0.4492478503462194,0.8828869047619048,0.7929395622901623,0.0,0.9994382213738755,0.948676520932944,0.9917081072935503,0.2648722007751262,1.7777746086471975,False,
checkpoint,H200_s1,200,1,0.6088594541306673,0.8395833333333332,0.7453725879276389,0.0001488095238095238,0.9988695917888957,0.93495657691567,0.9850418173598553,0.22163731984797702,2.0154071267041034,False,
checkpoint,H500_s0,500,0,0.11059189184870752,0.9845238095238095,0.9365060160598926,0.0,0.9999550013394951,0.9736490759089131,0.9977527878239902,0.5855227350075962,0.8694087074662796,False,
checkpoint,H500_s1,500,1,0.11274706002663763,0.9851190476190477,0.9342678462573154,0.0,0.9999388157747863,0.9717019639046993,0.9975003767329718,0.5766829414429349,0.8811303248041739,False,
checkpoint,H1000_s0,1000,0,0.08564354839034635,0.9907738095238094,0.952116853842724,0.0,0.999948875940437,0.9754072478792175,0.997470238095238,0.6895364827985413,0.7157199722767201,False,
checkpoint,H1000_s1,1000,1,0.09574434914758305,0.9879464285714284,0.9462832115199256,0.0,0.9999591593552564,0.9732831225378495,0.9973591018685954,0.6658551037432568,0.7745829843069681,False,
checkpoint,H2000_s0,2000,0,0.11692244562977641,0.9854166666666668,0.9327936943961961,0.0,0.9999194489094277,0.9692017245229341,0.9968505123568414,0.5947288272640693,0.8825855438682713,False,
checkpoint,H2000_s1,2000,1,0.10630702418121471,0.9852678571428571,0.9404778827551578,0.0,0.9999376995289442,0.9715672816906064,0.9973120102471368,0.6245365439892094,0.8024404446090388,False,
