tag,immutable_path,expected_sha256,sha256_at_object_start,sha256_at_object_end,sha256_at_global_end,hash_recheck_pass
random,random_init_contract://sha256_bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,logical_contract,logical_contract,logical_contract,True
released,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178.pt,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,True
H200_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63.pt,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,True
H200_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736.pt,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,True
H500_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549.pt,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,True
H500_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a.pt,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,True
H1000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d.pt,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,True
H1000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_phase_b_checkpoints/sha256_b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43.pt,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,True
H2000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s0/best.3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb.pth,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,True
H2000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s1/best.492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f.pth,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,True
