analysis,point,ci95_low,ci95_high,bootstrap_sd
subject_nll_H200_minus_pooled_high,0.42439426570106575,0.3594598678567754,0.4912905676288334,0.03363520512989347
pairwise_auc_H200_minus_random,0.1020140981849843,0.08074184125546145,0.1240792692480874,0.011271069680501443
pairwise_margin_H200_minus_random,0.2542559440327604,0.21774869831202642,0.290653897916278,0.018860184863457072
pooled_high_minus_H200_target_kappa,0.023628667010301016,0.009113973375906524,0.037225735110068096,0.007143422867328881
pooled_high_minus_H200_target_bacc,0.02037484344247628,0.008162797459295035,0.032027196278403974,0.006075372101990086
leave_high_budget_500_out_task_nll,-0.02664086846354241,-0.0649491139685733,0.009228156089787302,0.01884773063364298
leave_high_budget_500_out_overlap,-0.01701780514491114,-0.025695456782850887,-0.004626193181452976,0.005390930377796891
leave_high_budget_1000_out_task_nll,-0.007901741684055885,-0.044543279033344374,0.028730608321715458,0.0184644543321113
leave_high_budget_1000_out_overlap,-0.01566989249137026,-0.02347130740954482,-0.0030428734782758874,0.005234706262589302
leave_high_budget_2000_out_task_nll,-0.023920890619054447,-0.06036079316807138,0.01391332715769325,0.018911525900475984
leave_high_budget_2000_out_overlap,-0.017658844153318642,-0.025246903446566358,-0.005113036248983135,0.005261085921817498
retain_training_seed_0_subject_early,3.670081537569105,3.4444629056655622,3.8735998621561274,0.11015474071910689
retain_training_seed_0_task_nll,-0.016698236724348448,-0.05433728576009065,0.02156063912013468,0.019540057424780273
retain_training_seed_0_overlap,-0.018464553569942546,-0.027675952572990145,-0.003582578968873666,0.006258199962188336
retain_training_seed_1_subject_early,3.510469933784657,3.297326641018754,3.705724397881869,0.10524353031313881
retain_training_seed_1_task_nll,-0.0222774304534199,-0.061481316848417254,0.016326738661640944,0.0195811958797437
retain_training_seed_1_overlap,-0.015099807623124148,-0.0270148786924091,-0.0016596908036451313,0.006426171383683638
