tag,full_feature_shape,full_feature_sha256,checksum_feature_sha256_start,checksum_feature_sha256_end,closure_feature_sha256,checksum_start_end_max_abs_diff,feature_contract_pass
random,10332x6400,9ca8e3e8afddd7a4641d392002db04c458ab97e6d95a14283f4fb33a4d758c50,e4b5f700795990df0045e2be6cd18d89548c930475e5df0f70f35e0f71f7f558,e4b5f700795990df0045e2be6cd18d89548c930475e5df0f70f35e0f71f7f558,e4b5f700795990df0045e2be6cd18d89548c930475e5df0f70f35e0f71f7f558,0.0,True
released,10332x6400,1fa98f011fe25e85253dab10e5e495fac454ee8d148e1f19c9165987398347fa,e8d236c8f13aeb640ff60b8225906ff14f3ea31146064223ca9bb1d4df86736a,e8d236c8f13aeb640ff60b8225906ff14f3ea31146064223ca9bb1d4df86736a,e8d236c8f13aeb640ff60b8225906ff14f3ea31146064223ca9bb1d4df86736a,0.0,True
H200_s0,10332x6400,5e7851e8f017be773e33e4a4b88d92d0ec6a4d7c8f9876f021e3737091659c1e,594ac2b815637987d947942679e9d8e2204e14609fabbee748b7fe3d550d0800,594ac2b815637987d947942679e9d8e2204e14609fabbee748b7fe3d550d0800,594ac2b815637987d947942679e9d8e2204e14609fabbee748b7fe3d550d0800,0.0,True
H200_s1,10332x6400,356f22e95664d906fe29aa22fdcab3ce803e5800639fe3585cca931bc29bc1dc,202ee7c1c308dcbfec6e422382484217a75f3e5c188825c6cc78bc240c2ebdeb,202ee7c1c308dcbfec6e422382484217a75f3e5c188825c6cc78bc240c2ebdeb,202ee7c1c308dcbfec6e422382484217a75f3e5c188825c6cc78bc240c2ebdeb,0.0,True
H500_s0,10332x6400,0e4db3468b5bbcd494edd053c0f3e834d8e8c81a0400cef45187d73739330861,7d5c60b5423e72935e536583774f540acd7195c3ed6d46f6ce006b32cb70554f,7d5c60b5423e72935e536583774f540acd7195c3ed6d46f6ce006b32cb70554f,7d5c60b5423e72935e536583774f540acd7195c3ed6d46f6ce006b32cb70554f,0.0,True
H500_s1,10332x6400,e0dd1ef948eacb5ac8fe527d4d183a4351fec748832d000e08a183544d47bedb,242516d21dd60b1acde9ed16a53fcdde61a3881d4563bce423fc4e9416703bc5,242516d21dd60b1acde9ed16a53fcdde61a3881d4563bce423fc4e9416703bc5,242516d21dd60b1acde9ed16a53fcdde61a3881d4563bce423fc4e9416703bc5,0.0,True
H1000_s0,10332x6400,b61243711cd2f8149f8989f867746603d30999bd817b74f5253665784658dab9,09b28f40ea465fc5e0b39fae5be93ed877a79ebef3467f463df530baa7d17b6a,09b28f40ea465fc5e0b39fae5be93ed877a79ebef3467f463df530baa7d17b6a,09b28f40ea465fc5e0b39fae5be93ed877a79ebef3467f463df530baa7d17b6a,0.0,True
H1000_s1,10332x6400,790107140b22e28cb749d9e7709caab1a2dd7cbf31b9933c8ea51b8e5f332a39,d50185d13c3bdfa5b535f7d4d6d918003b6b068300f340f62b08870a8fe15c6e,d50185d13c3bdfa5b535f7d4d6d918003b6b068300f340f62b08870a8fe15c6e,d50185d13c3bdfa5b535f7d4d6d918003b6b068300f340f62b08870a8fe15c6e,0.0,True
H2000_s0,10332x6400,2c20b670520e47d8a1c7c9db46ee915112be54d96d356e17e57710d195fc05d7,0849982ffbe9c4a3d00a4b98c741dfc4878a88000304264feadf66fddbe016db,0849982ffbe9c4a3d00a4b98c741dfc4878a88000304264feadf66fddbe016db,0849982ffbe9c4a3d00a4b98c741dfc4878a88000304264feadf66fddbe016db,0.0,True
H2000_s1,10332x6400,43ad1e530052c6304cbbaad9ff9e21ae10da6256470aa90c3ae3ea29d1b4d9f6,0bc1ab035795bad4cc6098899ad35ec33334fdf4ec10b47cdf982a883741657c,0bc1ab035795bad4cc6098899ad35ec33334fdf4ec10b47cdf982a883741657c,0bc1ab035795bad4cc6098899ad35ec33334fdf4ec10b47cdf982a883741657c,0.0,True
