replicate,p1_subject_delta,p2_task_nll_delta,p3_overlap_delta
0,3.5152385658696867,-0.02690397389858923,-0.014717257783523813
1,3.4791718640125633,-0.01797182738494696,-0.016484482591096573
2,3.7737922998791693,-0.022854597835697543,-0.009347401014475537
3,3.4555676537842017,-0.05045087744459398,-0.015293127861466953
4,3.48732588326083,-0.039716317248772004,-0.021027378089574403
5,3.5791392263169164,-0.01961233948056451,-0.00769955662125427
6,3.74162402214313,-0.01966037280146926,-0.007153382185933546
7,3.495740712072074,-0.050758417581517,-0.017240759414210445
8,3.6464670050471844,-0.028133734406158073,-0.01874100394860816
9,3.704330188089464,-0.04242752408306538,-0.014528591279272977
10,3.2660841021590343,-0.009887795941403876,-0.01371056482602689
11,3.7418020543865103,-0.03390272330742139,-0.013096862029688315
12,3.7433849099556813,-0.02927216274039024,-0.01622005884112064
13,3.6739329682629385,-0.0029356270679254948,-0.016231439139310008
14,3.463819105198321,0.0027044214315408155,-0.015340290521877981
15,3.39158353064682,-0.010340920500397477,-0.008022618797943915
16,3.7473481653485177,-0.03931566494181293,-0.019906495548017218
17,3.4796942905531747,-0.0034608639685016485,-0.0059857179445666625
18,3.6922629441421138,-0.018816473286860536,-0.011559295033168604
19,3.664568083433357,-0.0027905450798360043,-0.008046325338017208
20,3.785363418653085,-0.038999952953057804,-0.012535720481316064
21,3.608474224732684,-0.007237536210296991,-0.014277115567709286
22,3.62959805378197,-0.04224760176320297,-0.01282594872568129
23,3.6172529468763104,-0.031787565949633834,-0.015265823592989544
24,3.7037833142028345,-0.03140635814956383,-0.022295380755740793
25,3.595787266788688,-0.0535267130761774,-0.011428070637701005
26,3.6909867806274477,-0.021410494027435334,-0.024965714460972833
27,3.673572677686427,0.0006492636295800658,-0.021979634514999898
28,3.6437292284092617,-0.021578283915880903,-0.016709987771032584
29,3.6318157921509884,-0.014814901225402632,-0.015263091401828723
30,3.489905104246864,-0.028864972937956423,-0.019192557795429024
31,3.6475217555451547,-0.002295264366237504,-0.014582939922749085
32,3.541257359353178,-0.00661363868338638,-0.0051722105269966095
33,3.4984089755337484,-0.031130276255602496,-0.0159487048131949
34,3.4923815078964586,-0.013477621169573073,-0.015512973012762988
35,3.570731143307742,0.007220035505148381,-0.00423016206946902
36,3.4657243728468243,-0.0058570841644871585,-0.012074338213375141
37,3.6047018810392215,-0.01988128995646221,-0.012223142867417852
38,3.499222967659816,-0.021996410896707008,-0.016491874558697626
39,3.590087224484685,-0.02384131256116273,-0.011104636014459112
40,3.505952731265186,-0.02319404330274466,-0.02122349776911808
41,3.610391922940285,-0.030587259763455776,-0.01617150512275485
42,3.6360061672697768,-0.034434675005704296,-0.01266668389839249
43,3.5238320084786845,-0.009377876913676975,-0.00884949319420444
44,3.637375953100136,-0.01117031350930242,-0.011027056958382284
45,3.7590740900524846,0.021643364569923218,-0.019587259562620397
46,3.4964363032817047,-0.017237818873171218,-0.006340656895023045
47,3.7644925247104086,-0.030738610418862944,-0.01887707142276042
48,3.519991154659989,-0.010838672411146444,-0.02378021491345127
49,3.5015082241409217,-0.022706424971073336,-0.013172399509865835
50,3.6189845301715367,-0.014008920219124477,-0.009286923976215333
51,3.639036578917163,-0.010947291209321808,-0.01684712612549439
52,3.6274878355067663,-0.007918652799663306,-0.01094463794481812
53,3.566298051968445,-0.016869172904251162,-0.013009808003341655
54,3.4822239812747364,0.010193440246147212,-0.009246442426561429
55,3.5675436805615863,-0.035801236564753314,-0.012016023505017372
56,3.6775654947405014,-0.04355052270352866,-0.01814995727724636
57,3.3968018425651874,-0.02501082955621836,-0.011177920203324282
58,3.662714662228485,-0.017528959352481444,-0.008277608705270438
59,3.6241918360846563,-0.03648897890689495,-0.019607919894273254
60,3.697201771361796,-0.008797331931809538,-0.02185527061828951
61,3.5162112158193977,0.010407219254575217,-0.02099842394791585
62,3.505667151127935,-0.007807823304675665,-0.014890480811346366
63,3.643345089737357,-0.025348376584195087,-0.017714611048260564
64,3.7250997333385953,-0.023803834696083825,-0.020112532264328378
65,3.394437800588733,-0.04377588801526011,-0.005387636165223333
66,3.580433408813796,-0.005564145276967469,-0.015177366988237777
67,3.6928873593210105,-0.0199372630876522,-0.01779028706387946
68,3.5708752530515846,-0.0486507554083877,-0.012827812906789637
69,3.6390864277041923,-0.02483452811226261,-0.01938359184279743
70,3.528954358312868,-0.01162332830286461,-0.005758419370053738
71,3.509850415073167,-0.007666571411082845,-0.016629558820511536
72,3.77806331709061,-0.016822266641163264,-0.018338070769051428
73,3.6407373744312914,-0.07716510282226219,-0.01978766681617781
74,3.452225574708174,-0.013251945922037045,-0.02880895449705921
75,3.658213265299639,-0.04590206675578834,-0.016399795116417263
76,3.4608547756475727,0.02401953686163827,-0.02123378174368626
77,3.6732118160042098,-0.02063220349843453,-0.019234654442432976
78,3.557586172696307,-0.024725662104915447,-0.007534507778075766
79,3.69359788794375,-0.04026607953466099,-0.0137685569469055
80,3.5087944137405556,-0.04763532600960607,-0.0069738366689371285
81,3.4839615011639538,-0.025230935292231305,-0.017168451190467827
82,3.3911088953595785,-0.030006690886330123,-0.0186430419593102
83,3.5574621857330557,-0.02218073263698317,-0.016574741511177674
84,3.5614297287284007,-0.02099090507891299,-0.01363059312981382
85,3.666158996339653,-0.011632005271789758,-0.0157780196859431
86,3.708892131340202,-0.009989066335381214,-0.0140376463307459
87,3.502065160674009,-0.00963470827350621,-0.015959827388188907
88,3.586141435639928,-0.014457817774548687,-0.01206209748895826
89,3.5225125991943154,-0.024475451835726414,-0.015440363992336528
90,3.534154415317716,-0.03427491077581246,-0.01859419009075643
91,3.621413065406089,-0.023725240013322324,-0.013257435595490315
92,3.686292144060798,-0.0095295319669928,-0.017901345800907485
93,3.5676632499281355,-0.020761955655571818,-0.018875550698527074
94,3.7117808534190115,-0.020544166930684504,-0.014286205970312597
95,3.895660892685835,-0.03403255162977281,-0.017459525470377074
96,3.5621196909102424,-0.0046404867900542435,-0.011697915378768384
97,3.7234197581033213,-0.022384472506947084,-0.018995734130654834
98,3.4723932323853073,-0.025428998548280735,-0.016689641530885917
99,3.453682165903111,-0.01746019847807201,-0.01144653733532159
100,3.796555853833843,-0.017030871632565336,-0.023158939330699055
101,3.741315936094815,-0.015438873767545047,-0.007567824766959556
102,3.7847398195161164,-0.0024063300714578517,-0.012736236162133548
103,3.6424702672048874,-0.05460420331054072,-0.014719679559553236
104,3.793029304080715,-0.007131180559543093,-0.010438091409366947
105,3.633054578681103,-0.008112792358545118,-0.018065983359548676
106,3.686925205888911,0.005164211223910531,-0.0033704963691986584
107,3.489472607849486,0.0033755706593341372,-0.008004373981862437
108,3.516730571228266,-0.020936321395601087,-0.020007978352305687
109,3.625306832900731,-0.04379363701189609,-0.0178486254505622
110,3.470641491560346,-0.06151770275053714,-0.012107182613380608
111,3.5198671470678917,-0.022497531139916926,-0.011561789183683498
112,3.6413535824606287,-0.01206768679370862,-0.01501278592206116
113,3.710654321700129,-0.031131519311887512,-0.03139360231043859
114,3.6629761643138683,-0.04176634873903318,-0.0059265020547555995
115,3.5644837567334173,-0.02595541948484037,-0.015835121690909056
116,3.6387523489247906,-0.03186804677718369,-0.007545748768953919
117,3.401373859537051,-0.05288305190778342,-0.013490120464808884
118,3.7228143695277742,-0.025539919285190393,-0.01983752218509888
119,3.6810855972369074,-0.028496662256482175,-0.012370347139327158
120,3.5894395037680673,-0.008164278727914809,-0.027252634846820025
121,3.5850395427072037,-0.03278904926174109,-0.012310154267050386
122,3.6969320313629783,-0.01604064496579305,-0.005175750643104229
123,3.634264778781744,0.0044283876367989805,-0.022040842152136964
124,3.6980731970579708,-0.044022905002706114,-0.010996498906245149
125,3.5811054815757153,0.004305717712526302,-0.013027919525796072
126,3.8480680763333726,-0.040171500943893435,-0.018695357865361972
127,3.696947991799793,6.287330533982782e-06,-0.015815402064604682
128,3.7163926408344654,-0.03763801265484146,-0.0065106691399517205
129,3.683259598607977,-0.01022710197142862,-0.012121195559699354
130,3.675215841444122,-0.012551596343337135,-0.008622810788556035
131,3.531862374668349,0.011732796089568343,-0.016733014994581925
132,3.6869425475982074,-0.05188158542471877,-0.021112717206424315
133,3.6667752070906934,-0.0023502091763072386,-0.013457978940973545
134,3.5967581798729418,-0.052205554759344075,-0.01113023026434801
135,3.6308578642853004,-0.022847343180062207,-0.014055391689937677
136,3.623483218436121,-0.027557679818589698,-0.022879480146912184
137,3.669493692161843,-0.0026848374657695295,-0.019493306547248485
138,3.4669757842486413,-0.02380646208774584,-0.01109397050974718
139,3.450857194484052,-0.01640630468303783,-0.0152882234483992
140,3.7568902340141905,-0.01565678179168062,-0.012511862540750884
141,3.434798425442022,-0.05207604075198535,-0.00857906253738109
142,3.3635042636846437,-0.02617053221413146,-0.011401915014672855
143,3.4215829273622727,0.012659358715942481,-0.007801372040622315
144,3.5804536884245626,-0.03918257160000094,-0.014167643271344444
145,3.6106301263963276,-0.03427402709369387,-0.014287138216225664
146,3.6258989604119214,-0.005543742850143474,-0.016355565226053168
147,3.396443061754944,-0.04170305743706226,-0.007722435890148389
148,3.499651815383978,-0.025348403568464573,-0.013311474933888609
149,3.7208939586435865,-0.025077998213395958,-0.022617426791898897
150,3.4943209387524936,-0.0028298564865312237,-0.012081728097382876
151,3.732464086018737,-0.031381601651209845,-0.02104864832331457
152,3.6839334712917884,-0.026443695473381545,-0.018372668571460346
153,3.4621640820522486,-0.022331157801260826,-0.012752651694282802
154,3.5981200460206355,-0.03387781342166507,-0.019924806749604115
155,3.6024009362256635,-0.01305092474670344,-0.01726497620428555
156,3.492794408075784,-0.04719447656507425,-0.0045951184357401476
157,3.756999176193047,-0.019910152451607654,-0.018051319181084827
158,3.6398536176509384,-0.04616382244643891,-0.007311373882375988
159,3.6266494299962933,0.006046433782337157,-0.015576737121775524
160,3.8180457918096957,-0.007233379302468368,-0.008166253381126296
161,3.600259915399038,-0.024041957903067956,-0.021369181516128568
162,3.5278552871708264,-0.04696378571017945,-0.011556485990993834
163,3.5580923021554955,-0.03030578716349419,-0.016146952713226158
164,3.6500791379143793,-0.04582704608054522,-0.012798057324169772
165,3.7274745874832442,-0.04258530276607608,-0.020141397382573215
166,3.5697555587546796,-0.006284509391836224,-0.01969373379597319
167,3.847263007403219,-0.011930010238258237,-0.024276728798555056
168,3.549667836882007,-0.006395307883971579,-0.01253460801860089
169,3.6727645936270554,-0.0219130824257161,-0.00537849657611128
170,3.500848997978886,0.005080793194338629,-0.01932789774834902
171,3.5934118534860575,-0.04244786692838076,-0.008598518286466638
172,3.6049027714413713,-0.03737921058028215,-0.0073906304864459135
173,3.619525734618395,-0.006361427157766553,-0.021949478661712735
174,3.4485982023487765,-0.022125562554272893,-0.011308727296045196
175,3.589994891845074,-0.039570470734024976,-0.01812623369155474
176,3.6271868133018152,0.0034950735598928695,-0.010200537349589634
177,3.602471302006194,-0.01777820533115948,-0.012551451628552805
178,3.5801453586025156,-0.0459377272548962,-0.010246642867221496
179,3.652181021728393,-0.008919600113800552,-0.011448201178587029
180,3.6096193868089745,-0.02996178681096584,-0.01278009132241558
181,3.4949978488316855,-0.006734622290315073,-0.01990122691037563
182,3.506875248543383,0.016849057433524717,-0.016356732660675093
183,3.4698185024993813,-0.010429249875565816,-0.012120578342810572
184,3.549997519232995,-0.060746867428968176,-0.01691306899628356
185,3.5806182893873912,-0.005030700978071678,-0.009416025947129529
186,3.5615077308256198,-0.04064815926449983,-0.014897188663156865
187,3.6040314692438837,-0.02967325846552482,-0.02610373184889743
188,3.6022293623996866,-0.03246112998964312,-0.006176666469009839
189,3.389015994610504,-0.04346830552494074,-0.016821532993946436
190,3.453894517913996,-0.042457232122624866,-0.013906251614188125
191,3.5279354015313142,-0.01565693335062157,-0.019473403695966722
192,3.5774386843549895,-0.018974598080679694,-0.00825770534977325
193,3.583945663214757,-0.010226937453678087,-0.015956355427694108
194,3.566797731056624,-0.008043692338090658,-0.010309282193259033
195,3.653655004135289,-0.023254248411057166,-0.010162727853681674
196,3.611747682086258,-0.014925258723230694,-0.019073674055807736
197,3.5292383392484465,-0.015648077539043292,-0.01965083268090372
198,3.560735000233797,-0.019556385423038503,-0.016487354539326322
199,3.64154434823099,-0.05079856181483233,-0.013730221872432391
200,3.605120702880428,-0.0360335289710636,-0.015738726360100142
201,3.6380795987548784,-0.020240071212715982,-0.012621965314640448
202,3.4302298023250204,-0.04530967514050799,-0.022692034868233683
203,3.700994010291473,0.0018224406551170524,-0.017955846463745845
204,3.643402918362411,-0.013900160518172111,-0.012859044525127854
205,3.5163538567531822,-0.048650617591567524,-0.01815579841836248
206,3.365865504542376,-0.020443770281432627,-0.005247276965697652
207,3.8523172576068636,-0.004901965835173883,-0.02508235641663155
208,3.518890313352232,-0.002053777662943901,-0.003749218115189766
209,3.584157041450278,-0.01372939664270012,-0.012807742453839182
210,3.660965585892114,-0.04063319590932357,-0.011478903529813372
211,3.4424025474612536,-0.023555003091288995,-0.011057507857306928
212,3.5830271511149907,-0.030461520679267107,-0.023279674408369262
213,3.6326576386347815,-0.011134806366522643,-0.011752484654692464
214,3.586539784319764,-0.027374995955474102,-0.007604237115310157
215,3.5976702441978485,-0.034493402975178444,-0.007563323593560288
216,3.5600536890464527,-0.034821777038091195,-0.015193055570483179
217,3.6661072772647634,-0.021311514601507486,-0.010843608867619935
218,3.5275821216186207,-0.004131983019796781,-0.010504627928144328
219,3.7679243452710716,-0.010926138807985541,-0.016301176094442208
220,3.7396341882680426,-0.01973895982315854,-0.011826205341897288
221,3.6465076429534253,-0.0006344008658949463,-0.012629690028703434
222,3.734177054087013,-0.01754416530222347,-0.028208734404830585
223,3.6686566743780085,-0.0511926504792255,-0.014797146263336666
224,3.5155188811481457,0.006292266567442084,-0.013111527166601581
225,3.616182692213375,-0.034528275066327385,-0.020037558261403323
226,3.6923103526285663,-0.007460748563662634,-0.01592598574068541
227,3.4450285613000124,-0.011595704367462822,-0.0057592945603362755
228,3.629790976311025,0.007437478539517262,-0.011991261585173853
229,3.630447554895677,-0.03379075172356538,-0.022617848077826724
230,3.62117536204852,-0.02061918179113187,-0.008912718051850042
231,3.6431195922457134,-0.031302396506653896,-0.011224074591454896
232,3.6067738470000132,-0.015795880124700012,-0.0228510899906814
233,3.6544754981519327,-0.02220794307894547,-0.01351424562793524
234,3.693936608552734,-0.01438959268950235,-0.011779862856474609
235,3.6196596752068055,-0.01249767870757168,-0.023216096634665263
236,3.455945828376492,-0.01436424247354351,-0.004658315661912302
237,3.672764692193412,-0.02129386564755631,-0.016436777847131323
238,3.6521008017644743,-0.02708124414901425,-0.006914982215987478
239,3.647839819662039,0.00678349594340899,-0.0191667794692107
240,3.599359838885766,-0.007572256366149777,-0.02179382933128616
241,3.4728561140095717,-0.031072794114736624,-0.014029541625411746
242,3.672594275263119,-0.015268605258050183,-0.014182392276553563
243,3.5331407060713533,0.004921200424468974,-0.02891771908635077
244,3.5625959753602157,-0.017968246715601488,-0.009920098262980813
245,3.3894701601486195,-0.02124016605588075,-0.011377624968389462
