attempt_id,job_id,stage,target,status,EEG_data_loaded,source_EEG_rows,target_rows,target_labels,optimizer_steps,checkpoints,forward_rows,model_outcomes,retry_reason,replacement_job_id
1,893354,oaci_erm_pretraining_manifest_route,4,FAILED,1,3456,0,0,0,0,0,0,compatibility_manifest_name_missing,pending
2,893355,src_training,4,CANCELLED_DEPENDENCY,0,0,0,0,0,0,0,0,predecessor_893354_failed,none
3,893356,instrumentation,4,CANCELLED_DEPENDENCY,0,0,0,0,0,0,0,0,predecessor_893355_cancelled,none
4,893359,oaci_erm_training,4,COMPLETE,1,3456,0,0,registered,82,0,0,manifest_alias_repair_valid,first_valid
5,893360,src_training,4,COMPLETE,1,3456,0,0,registered,80,0,0,none,first_valid
6,893361,target4_instrumentation_spawn_binding,4,FAILED,1,4608,576,0,0,0,0,0,spawn_child_reloaded_default_C78F_target_registry,pending
7,893447,target4_instrumentation_single_process,4,COMPLETE,1,4608,576,0,0,0,93312,0,workers_1_locked_CLI_repair,first_valid
8,893466,src_training,9,FAILED,1,3456,0,0,0,0,0,0,source_tensor_hash_cross_process_replay_mismatch,pending
9,893463,src_training,8,FAILED,1,3456,0,0,0,0,0,0,source_tensor_hash_cross_process_replay_mismatch,pending
10,893469,instrumentation,9,CANCELLED_DEPENDENCY,0,0,0,0,0,0,0,0,predecessor_893466_failed,893496
11,893468,instrumentation,8,CANCELLED_DEPENDENCY,0,0,0,0,0,0,0,0,predecessor_893463_failed,893497
12,893471,wave_A_engineering_gate,all,CANCELLED_DEPENDENCY,0,0,0,0,0,0,0,0,superseded_failed_dependency_chain,893498
13,893494,src_training,9,COMPLETE,1,3456,0,0,registered,80,0,0,predecessor_node_affinity_replay,first_valid
14,893495,src_training,8,COMPLETE,1,3456,0,0,registered,80,0,0,predecessor_node_affinity_replay,first_valid
15,893459,oaci_erm_training,9,COMPLETE,1,3456,0,0,registered,82,0,0,none,first_valid
16,893460,oaci_erm_training,8,COMPLETE,1,3456,0,0,registered,82,0,0,none,first_valid
17,893462,oaci_erm_training,3,COMPLETE,1,3456,0,0,registered,82,0,0,none,first_valid
18,893461,oaci_erm_training,6,COMPLETE,1,3456,0,0,registered,82,0,0,none,first_valid
19,893464,src_training,3,COMPLETE,1,3456,0,0,registered,80,0,0,none,first_valid
20,893465,src_training,6,COMPLETE,1,3456,0,0,registered,80,0,0,none,first_valid
21,893496,instrumentation,9,COMPLETE,1,4608,576,0,0,0,93312,0,replacement_after_exact_SRC_replay,first_valid
22,893497,instrumentation,8,COMPLETE,1,4608,576,0,0,0,93312,0,replacement_after_exact_SRC_replay,first_valid
23,893467,instrumentation,3,COMPLETE,1,4608,576,0,0,0,93312,0,none,first_valid
24,893470,instrumentation,6,COMPLETE,1,4608,576,0,0,0,93312,0,none,first_valid
25,893498,wave_A_engineering_gate,all,COMPLETE,0,0,0,0,0,0,0,0,engineering_only_648_units,first_valid
