check,observed,required,blocking,passed,evidence
protocol_SHA_replay,e350b7f0c4ee3dfcf6b4f5651c1c7a0e8beac72e478ffb6c1e98e12df814f587,exact,1,1,authorization_lock_replay.csv
field_lock_repaired_implementation,27d078a,27d078a,1,1,C79P_FIELD_GENERATION_EXECUTION_LOCK.json
analysis_lock_repaired_implementation,27d078a,27d078a,1,1,C79P_SCIENTIFIC_ANALYSIS_EXECUTION_LOCK.json
locked_implementation_file_hashes,11_of_11,11_of_11,1,1,implementation_hash_replay.csv
scientific_registry,160_of_160,160_of_160,1,1,c79_post_seed3_scientific_registry.csv
registry_blank_cells,0,0,1,1,c79_registry_completeness_audit.csv
unconditional_registered_paths,10_of_10,10_of_10,1,1,all_paths_unconditional_execution_test.csv
active_after_Holm_runtime_paths,0,0,1,1,all_paths_unconditional_execution_test.csv
seed3_exact_replay,29_of_29,29_of_29,1,1,exact_seed3_replay.csv
expected_engineering_units,1458,1458,1,1,expected_seed4_field_manifest.csv
expected_primary_units,1296,1296,1,1,expected_seed4_field_manifest.csv
target4_primary_units,0,0,1,1,expected_seed4_field_manifest.csv
construction_evaluation_overlap,0,0,1,1,label_split_isolation.csv
trial_ID_predictive_feature,0,0,1,1,label_split_isolation.csv
row_order_predictive_feature,0,0,1,1,label_split_isolation.csv
same_label_oracle_reachable,0,0,1,1,oracle_reachability_test.csv
RNG_streams_fixed_nonadaptive,9_of_9,9_of_9,1,1,RNG_stream_registry.csv
Git_payload_over_50MiB,0,0,1,1,C79P_artifact_hygiene
raw_cache_or_weights_in_Git,0,0,1,1,C79P_artifact_hygiene
seed4_external_root_before_authorization,0,0,1,1,seed4_zero_access_preflight.csv
seed4_jobs_before_authorization,0,0,1,1,seed4_zero_access_preflight.csv
HEAD_matches_origin,1,1,1,1,repository_state
worktree_clean,1,1,1,1,repository_state
charter_L1_to_L5_alignment,interpretation_only_locked,required,1,1,C79E_CHARTER_ALIGNMENT.md
