group_type,group_key,n_queries,n_covered,coverage,hit_rate_if_covered,base_rate,absolute_lift,enrichment,max_neighbor_positive_rate,local_bayes_tie_count,mean_neighbor_count,median_neighbor_count,empty_fraction,min_neighbor_count,max_neighbor_count,actionability_pass,target_labels_diagnostic_only
target,1,402,402,1.0,1.0,0.4552238805970149,0.5447761194029851,2.19672131147541,1.0,23,44.80597014925373,44.5,0.0,2,109,1,1
target,2,498,498,1.0,1.0,0.3072289156626506,0.6927710843373494,3.2549019607843137,1.0,19,91.53413654618474,123.0,0.0,2,265,1,1
target,3,456,456,1.0,1.0,0.2565789473684211,0.743421052631579,3.897435897435897,1.0,15,65.10526315789474,57.0,0.0,2,203,1,1
target,4,459,459,1.0,1.0,0.6405228758169934,0.3594771241830066,1.5612244897959184,1.0,95,65.85185185185185,37.0,0.0,2,176,1,1
target,5,378,378,1.0,1.0,0.15079365079365079,0.8492063492063492,6.631578947368421,0.6666666666666666,2,43.164021164021165,34.0,0.0,2,134,1,1
target,6,396,396,1.0,1.0,0.5454545454545454,0.4545454545454546,1.8333333333333335,1.0,15,43.86363636363637,41.0,0.0,2,113,1,1
target,7,408,408,1.0,1.0,0.4338235294117647,0.5661764705882353,2.305084745762712,1.0,19,39.6764705882353,36.0,0.0,1,118,1,1
target,8,390,390,1.0,1.0,0.3769230769230769,0.6230769230769231,2.6530612244897958,1.0,10,45.0,41.0,0.0,2,111,1,1
target,9,417,417,1.0,1.0,0.6474820143884892,0.3525179856115108,1.5444444444444445,1.0,56,40.26858513189448,38.0,0.0,2,125,1,1
trajectory,0|1|0|S0_full_support,20,20,1.0,0.0,0.05,-0.05,0.0,0.8983050847457628,1,50.5,54.5,0.0,2,92,0,1
trajectory,0|1|0|S2_rare_cells,20,20,1.0,0.0,0.05,-0.05,0.0,0.8658536585365854,1,49.1,50.5,0.0,2,93,0,1
trajectory,0|1|0|S3_nonestimable_cells,20,20,1.0,0.0,0.05,-0.05,0.0,0.8674698795180723,1,49.55,52.0,0.0,2,93,0,1
trajectory,0|1|1|S0_full_support,20,20,1.0,1.0,0.25,0.75,4.0,1.0,1,39.65,43.0,0.0,2,91,1,1
trajectory,0|1|1|S2_rare_cells,20,20,1.0,1.0,0.25,0.75,4.0,1.0,1,41.05,37.5,0.0,2,93,1,1
trajectory,0|1|1|S3_nonestimable_cells,20,20,1.0,1.0,0.25,0.75,4.0,1.0,1,40.4,33.0,0.0,2,94,1,1
trajectory,0|2|0|S0_full_support,27,27,1.0,1.0,0.5185185185185185,0.4814814814814815,1.9285714285714286,1.0,3,107.22222222222223,133.0,0.0,2,263,1,1
trajectory,0|2|0|S2_rare_cells,27,27,1.0,1.0,0.5185185185185185,0.4814814814814815,1.9285714285714286,1.0,2,106.03703703703704,133.0,0.0,2,265,1,1
trajectory,0|2|0|S3_nonestimable_cells,27,27,1.0,1.0,0.5185185185185185,0.4814814814814815,1.9285714285714286,1.0,2,106.70370370370371,133.0,0.0,2,265,1,1
trajectory,0|2|1|S0_full_support,28,28,1.0,1.0,0.2857142857142857,0.7142857142857143,3.5,1.0,1,104.14285714285714,147.5,0.0,5,151,1,1
trajectory,0|2|1|S2_rare_cells,28,28,1.0,1.0,0.2857142857142857,0.7142857142857143,3.5,1.0,1,106.53571428571429,147.5,0.0,5,201,1,1
trajectory,0|2|1|S3_nonestimable_cells,28,28,1.0,1.0,0.2857142857142857,0.7142857142857143,3.5,1.0,1,106.71428571428571,147.5,0.0,5,215,1,1
trajectory,0|3|0|S0_full_support,23,23,1.0,1.0,0.7391304347826086,0.26086956521739135,1.3529411764705883,1.0,1,80.82608695652173,124.0,0.0,2,145,0,1
