baseline_name,condition_scope,group_type,hit,coverage,enrichment,permutation_adjusted_gap,permutation_hit,permutation_reps
same_group_random,within_target,target,0.42378127071295635,1.0,1.0,,,
locked_local_bayes_ceiling,within_target,target,1.0,1.0,2.8753095949878054,0.658445295540911,0.341554704459089,64
best_existing_source_score,within_target,target,0.6666666666666666,1.0,1.5731385805349243,,,
same_group_random,within_target,trajectory,0.4297233780360411,1.0,1.0,,,
locked_local_bayes_ceiling,within_target,trajectory,0.808641975308642,1.0,4.004958871948969,,,
best_existing_source_score,within_target,trajectory,0.6296296296296297,1.0,1.4651975242939246,,,
same_group_random,within_target,seed,0.42556337196417465,1.0,1.0,,,
locked_local_bayes_ceiling,within_target,seed,1.0,1.0,2.4239241176962287,,,
best_existing_source_score,within_target,seed,0.6666666666666666,1.0,1.5665508607794114,,,
same_group_random,within_target,level,0.42560112696528263,1.0,1.0,,,
locked_local_bayes_ceiling,within_target,level,1.0,1.0,2.403860211426001,,,
best_existing_source_score,within_target,level,1.0,1.0,2.3496178384921724,,,
same_group_random,within_target,regime,0.4242902208201893,1.0,1.0,,,
locked_local_bayes_ceiling,within_target,regime,1.0,1.0,2.356877323420074,,,
best_existing_source_score,within_target,regime,0.0,1.0,0.0,,,
same_group_random,within_target,conditioned_key,0.42378127071295635,1.0,1.0,,,
locked_local_bayes_ceiling,within_target,conditioned_key,1.0,1.0,2.8753095949878054,0.658445295540911,0.341554704459089,64
best_existing_source_score,within_target,conditioned_key,0.6666666666666666,1.0,1.5731385805349243,,,
