score_name,group_type,group_key,n_covered,oracle_hit_or_ceiling,score_hit_within_covered_set,underuse_gap,rank_of_oracle_positive_under_score,score_percentile_of_oracle_positive,source_score_orientation,target_labels_diagnostic_only,diagnostic_underuse_only,no_checkpoint_recommendation
selection_leakage,target,1,402,1.0,1.0,0.0,154,0.6184538653366584,lower,1,1,1
R_src,target,1,402,1.0,0.0,1.0,97,0.7605985037406484,lower,1,1,1
C30_source_rank,target,1,402,1.0,0.0,1.0,66,0.8379052369077307,higher,1,1,1
C19_robust_core,target,1,402,1.0,0.0,1.0,66,0.8379052369077307,higher,1,1,1
selection_leakage,target,2,498,1.0,0.0,1.0,52,0.89738430583501,lower,1,1,1
R_src,target,2,498,1.0,0.0,1.0,157,0.6861167002012072,lower,1,1,1
C30_source_rank,target,2,498,1.0,0.0,1.0,148,0.704225352112676,higher,1,1,1
C19_robust_core,target,2,498,1.0,0.0,1.0,148,0.704225352112676,higher,1,1,1
selection_leakage,target,3,456,1.0,0.0,1.0,94,0.7956043956043957,lower,1,1,1
R_src,target,3,456,1.0,0.0,1.0,46,0.9010989010989011,lower,1,1,1
C30_source_rank,target,3,456,1.0,0.0,1.0,56,0.8791208791208791,higher,1,1,1
C19_robust_core,target,3,456,1.0,0.0,1.0,56,0.8791208791208791,higher,1,1,1
selection_leakage,target,4,459,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,target,4,459,1.0,1.0,0.0,1,1.0,lower,1,1,1
C30_source_rank,target,4,459,1.0,0.0,1.0,3,0.9956331877729258,higher,1,1,1
C19_robust_core,target,4,459,1.0,0.0,1.0,3,0.9956331877729258,higher,1,1,1
selection_leakage,target,5,378,1.0,0.0,1.0,358,0.053050397877984046,lower,1,1,1
R_src,target,5,378,1.0,0.0,1.0,58,0.8488063660477454,lower,1,1,1
C30_source_rank,target,5,378,1.0,0.0,1.0,27,0.9310344827586207,higher,1,1,1
C19_robust_core,target,5,378,1.0,0.0,1.0,27,0.9310344827586207,higher,1,1,1
selection_leakage,target,6,396,1.0,0.0,1.0,166,0.5822784810126582,lower,1,1,1
R_src,target,6,396,1.0,1.0,0.0,52,0.8708860759493671,lower,1,1,1
C30_source_rank,target,6,396,1.0,1.0,0.0,19,0.9544303797468354,higher,1,1,1
C19_robust_core,target,6,396,1.0,1.0,0.0,19,0.9544303797468354,higher,1,1,1
selection_leakage,target,7,408,1.0,1.0,0.0,67,0.8378378378378378,lower,1,1,1
R_src,target,7,408,1.0,1.0,0.0,100,0.7567567567567568,lower,1,1,1
C30_source_rank,target,7,408,1.0,1.0,0.0,99,0.7592137592137592,higher,1,1,1
C19_robust_core,target,7,408,1.0,1.0,0.0,99,0.7592137592137592,higher,1,1,1
selection_leakage,target,8,390,1.0,0.0,1.0,304,0.22107969151670948,lower,1,1,1
R_src,target,8,390,1.0,0.0,1.0,145,0.6298200514138818,lower,1,1,1
C30_source_rank,target,8,390,1.0,1.0,0.0,26,0.9357326478149101,higher,1,1,1
C19_robust_core,target,8,390,1.0,1.0,0.0,26,0.9357326478149101,higher,1,1,1
selection_leakage,target,9,417,1.0,1.0,0.0,106,0.7475961538461539,lower,1,1,1
R_src,target,9,417,1.0,1.0,0.0,7,0.9855769230769231,lower,1,1,1
C30_source_rank,target,9,417,1.0,1.0,0.0,3,0.9951923076923077,higher,1,1,1
C19_robust_core,target,9,417,1.0,1.0,0.0,3,0.9951923076923077,higher,1,1,1
selection_leakage,trajectory,0|1|0|S0_full_support,20,0.0,0.0,0.0,18,0.10526315789473684,lower,1,1,1
R_src,trajectory,0|1|0|S0_full_support,20,0.0,0.0,0.0,5,0.7894736842105263,lower,1,1,1
C30_source_rank,trajectory,0|1|0|S0_full_support,20,0.0,0.0,0.0,9,0.5789473684210527,higher,1,1,1
C19_robust_core,trajectory,0|1|0|S0_full_support,20,0.0,0.0,0.0,9,0.5789473684210527,higher,1,1,1
selection_leakage,trajectory,0|1|0|S2_rare_cells,20,0.0,0.0,0.0,8,0.631578947368421,lower,1,1,1
R_src,trajectory,0|1|0|S2_rare_cells,20,0.0,0.0,0.0,6,0.736842105263158,lower,1,1,1
C30_source_rank,trajectory,0|1|0|S2_rare_cells,20,0.0,0.0,0.0,2,0.9473684210526316,higher,1,1,1
C19_robust_core,trajectory,0|1|0|S2_rare_cells,20,0.0,0.0,0.0,2,0.9473684210526316,higher,1,1,1
selection_leakage,trajectory,0|1|0|S3_nonestimable_cells,20,0.0,0.0,0.0,8,0.631578947368421,lower,1,1,1
R_src,trajectory,0|1|0|S3_nonestimable_cells,20,0.0,0.0,0.0,6,0.736842105263158,lower,1,1,1
C30_source_rank,trajectory,0|1|0|S3_nonestimable_cells,20,0.0,0.0,0.0,1,1.0,higher,1,1,1
C19_robust_core,trajectory,0|1|0|S3_nonestimable_cells,20,0.0,0.0,0.0,1,1.0,higher,1,1,1
selection_leakage,trajectory,0|1|1|S0_full_support,20,1.0,0.0,1.0,19,0.052631578947368474,lower,1,1,1
R_src,trajectory,0|1|1|S0_full_support,20,1.0,0.0,1.0,17,0.1578947368421053,lower,1,1,1
C30_source_rank,trajectory,0|1|1|S0_full_support,20,1.0,0.0,1.0,11,0.4736842105263158,higher,1,1,1
C19_robust_core,trajectory,0|1|1|S0_full_support,20,1.0,0.0,1.0,11,0.4736842105263158,higher,1,1,1
selection_leakage,trajectory,0|1|1|S2_rare_cells,20,1.0,0.0,1.0,19,0.052631578947368474,lower,1,1,1
R_src,trajectory,0|1|1|S2_rare_cells,20,1.0,0.0,1.0,17,0.1578947368421053,lower,1,1,1
C30_source_rank,trajectory,0|1|1|S2_rare_cells,20,1.0,0.0,1.0,10,0.5263157894736843,higher,1,1,1
C19_robust_core,trajectory,0|1|1|S2_rare_cells,20,1.0,0.0,1.0,10,0.5263157894736843,higher,1,1,1
selection_leakage,trajectory,0|1|1|S3_nonestimable_cells,20,1.0,0.0,1.0,19,0.052631578947368474,lower,1,1,1
R_src,trajectory,0|1|1|S3_nonestimable_cells,20,1.0,0.0,1.0,17,0.1578947368421053,lower,1,1,1
C30_source_rank,trajectory,0|1|1|S3_nonestimable_cells,20,1.0,0.0,1.0,10,0.5263157894736843,higher,1,1,1
C19_robust_core,trajectory,0|1|1|S3_nonestimable_cells,20,1.0,0.0,1.0,10,0.5263157894736843,higher,1,1,1
selection_leakage,trajectory,0|2|0|S0_full_support,27,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,trajectory,0|2|0|S0_full_support,27,1.0,1.0,0.0,12,0.5769230769230769,lower,1,1,1
C30_source_rank,trajectory,0|2|0|S0_full_support,27,1.0,1.0,0.0,4,0.8846153846153846,higher,1,1,1
C19_robust_core,trajectory,0|2|0|S0_full_support,27,1.0,1.0,0.0,4,0.8846153846153846,higher,1,1,1
selection_leakage,trajectory,0|2|0|S2_rare_cells,27,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,trajectory,0|2|0|S2_rare_cells,27,1.0,1.0,0.0,25,0.07692307692307687,lower,1,1,1
C30_source_rank,trajectory,0|2|0|S2_rare_cells,27,1.0,1.0,0.0,6,0.8076923076923077,higher,1,1,1
C19_robust_core,trajectory,0|2|0|S2_rare_cells,27,1.0,1.0,0.0,6,0.8076923076923077,higher,1,1,1
selection_leakage,trajectory,0|2|0|S3_nonestimable_cells,27,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,trajectory,0|2|0|S3_nonestimable_cells,27,1.0,1.0,0.0,25,0.07692307692307687,lower,1,1,1
C30_source_rank,trajectory,0|2|0|S3_nonestimable_cells,27,1.0,1.0,0.0,6,0.8076923076923077,higher,1,1,1
C19_robust_core,trajectory,0|2|0|S3_nonestimable_cells,27,1.0,1.0,0.0,6,0.8076923076923077,higher,1,1,1
selection_leakage,trajectory,0|2|1|S0_full_support,28,1.0,0.0,1.0,7,0.7777777777777778,lower,1,1,1
R_src,trajectory,0|2|1|S0_full_support,28,1.0,1.0,0.0,24,0.14814814814814814,lower,1,1,1
C30_source_rank,trajectory,0|2|1|S0_full_support,28,1.0,1.0,0.0,21,0.2592592592592593,higher,1,1,1
C19_robust_core,trajectory,0|2|1|S0_full_support,28,1.0,1.0,0.0,21,0.2592592592592593,higher,1,1,1
selection_leakage,trajectory,0|2|1|S2_rare_cells,28,1.0,0.0,1.0,7,0.7777777777777778,lower,1,1,1
R_src,trajectory,0|2|1|S2_rare_cells,28,1.0,1.0,0.0,24,0.14814814814814814,lower,1,1,1
C30_source_rank,trajectory,0|2|1|S2_rare_cells,28,1.0,1.0,0.0,22,0.2222222222222222,higher,1,1,1
C19_robust_core,trajectory,0|2|1|S2_rare_cells,28,1.0,1.0,0.0,22,0.2222222222222222,higher,1,1,1
selection_leakage,trajectory,0|2|1|S3_nonestimable_cells,28,1.0,0.0,1.0,7,0.7777777777777778,lower,1,1,1
R_src,trajectory,0|2|1|S3_nonestimable_cells,28,1.0,1.0,0.0,24,0.14814814814814814,lower,1,1,1
C30_source_rank,trajectory,0|2|1|S3_nonestimable_cells,28,1.0,1.0,0.0,21,0.2592592592592593,higher,1,1,1
C19_robust_core,trajectory,0|2|1|S3_nonestimable_cells,28,1.0,1.0,0.0,21,0.2592592592592593,higher,1,1,1
selection_leakage,trajectory,0|3|0|S0_full_support,23,1.0,0.0,1.0,3,0.9090909090909091,lower,1,1,1
R_src,trajectory,0|3|0|S0_full_support,23,1.0,1.0,0.0,14,0.40909090909090906,lower,1,1,1
C30_source_rank,trajectory,0|3|0|S0_full_support,23,1.0,1.0,0.0,3,0.9090909090909091,higher,1,1,1
C19_robust_core,trajectory,0|3|0|S0_full_support,23,1.0,1.0,0.0,3,0.9090909090909091,higher,1,1,1
selection_leakage,trajectory,0|3|0|S2_rare_cells,23,1.0,0.0,1.0,3,0.9090909090909091,lower,1,1,1
R_src,trajectory,0|3|0|S2_rare_cells,23,1.0,1.0,0.0,14,0.40909090909090906,lower,1,1,1
C30_source_rank,trajectory,0|3|0|S2_rare_cells,23,1.0,1.0,0.0,5,0.8181818181818181,higher,1,1,1
C19_robust_core,trajectory,0|3|0|S2_rare_cells,23,1.0,1.0,0.0,5,0.8181818181818181,higher,1,1,1
selection_leakage,trajectory,0|3|0|S3_nonestimable_cells,23,1.0,0.0,1.0,3,0.9090909090909091,lower,1,1,1
R_src,trajectory,0|3|0|S3_nonestimable_cells,23,1.0,1.0,0.0,14,0.40909090909090906,lower,1,1,1
C30_source_rank,trajectory,0|3|0|S3_nonestimable_cells,23,1.0,1.0,0.0,4,0.8636363636363636,higher,1,1,1
C19_robust_core,trajectory,0|3|0|S3_nonestimable_cells,23,1.0,1.0,0.0,4,0.8636363636363636,higher,1,1,1
selection_leakage,trajectory,0|3|1|S0_full_support,25,0.0,0.0,0.0,22,0.125,lower,1,1,1
R_src,trajectory,0|3|1|S0_full_support,25,0.0,0.0,0.0,5,0.8333333333333334,lower,1,1,1
C30_source_rank,trajectory,0|3|1|S0_full_support,25,0.0,0.0,0.0,3,0.9166666666666666,higher,1,1,1
C19_robust_core,trajectory,0|3|1|S0_full_support,25,0.0,0.0,0.0,3,0.9166666666666666,higher,1,1,1
selection_leakage,trajectory,0|3|1|S2_rare_cells,25,0.0,0.0,0.0,22,0.125,lower,1,1,1
R_src,trajectory,0|3|1|S2_rare_cells,25,0.0,0.0,0.0,5,0.8333333333333334,lower,1,1,1
C30_source_rank,trajectory,0|3|1|S2_rare_cells,25,0.0,0.0,0.0,3,0.9166666666666666,higher,1,1,1
C19_robust_core,trajectory,0|3|1|S2_rare_cells,25,0.0,0.0,0.0,3,0.9166666666666666,higher,1,1,1
selection_leakage,trajectory,0|3|1|S3_nonestimable_cells,25,0.0,0.0,0.0,22,0.125,lower,1,1,1
R_src,trajectory,0|3|1|S3_nonestimable_cells,25,0.0,0.0,0.0,5,0.8333333333333334,lower,1,1,1
C30_source_rank,trajectory,0|3|1|S3_nonestimable_cells,25,0.0,0.0,0.0,3,0.9166666666666666,higher,1,1,1
C19_robust_core,trajectory,0|3|1|S3_nonestimable_cells,25,0.0,0.0,0.0,3,0.9166666666666666,higher,1,1,1
selection_leakage,trajectory,0|4|0|S0_full_support,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,trajectory,0|4|0|S0_full_support,24,1.0,0.0,1.0,5,0.8260869565217391,lower,1,1,1
C30_source_rank,trajectory,0|4|0|S0_full_support,24,1.0,0.0,1.0,4,0.8695652173913043,higher,1,1,1
C19_robust_core,trajectory,0|4|0|S0_full_support,24,1.0,0.0,1.0,4,0.8695652173913043,higher,1,1,1
selection_leakage,trajectory,0|4|0|S2_rare_cells,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,trajectory,0|4|0|S2_rare_cells,24,1.0,0.0,1.0,5,0.8260869565217391,lower,1,1,1
C30_source_rank,trajectory,0|4|0|S2_rare_cells,24,1.0,0.0,1.0,5,0.8260869565217391,higher,1,1,1
C19_robust_core,trajectory,0|4|0|S2_rare_cells,24,1.0,0.0,1.0,5,0.8260869565217391,higher,1,1,1
selection_leakage,trajectory,0|4|0|S3_nonestimable_cells,24,1.0,1.0,0.0,1,1.0,lower,1,1,1
R_src,trajectory,0|4|0|S3_nonestimable_cells,24,1.0,0.0,1.0,5,0.8260869565217391,lower,1,1,1
C30_source_rank,trajectory,0|4|0|S3_nonestimable_cells,24,1.0,0.0,1.0,4,0.8695652173913043,higher,1,1,1
C19_robust_core,trajectory,0|4|0|S3_nonestimable_cells,24,1.0,0.0,1.0,4,0.8695652173913043,higher,1,1,1
selection_leakage,trajectory,0|4|1|S0_full_support,36,1.0,0.0,1.0,33,0.08571428571428574,lower,1,1,1
R_src,trajectory,0|4|1|S0_full_support,36,1.0,0.0,1.0,6,0.8571428571428572,lower,1,1,1
C30_source_rank,trajectory,0|4|1|S0_full_support,36,1.0,1.0,0.0,2,0.9714285714285714,higher,1,1,1
C19_robust_core,trajectory,0|4|1|S0_full_support,36,1.0,1.0,0.0,2,0.9714285714285714,higher,1,1,1
selection_leakage,trajectory,0|4|1|S2_rare_cells,36,1.0,0.0,1.0,33,0.08571428571428574,lower,1,1,1
R_src,trajectory,0|4|1|S2_rare_cells,36,1.0,0.0,1.0,6,0.8571428571428572,lower,1,1,1
C30_source_rank,trajectory,0|4|1|S2_rare_cells,36,1.0,1.0,0.0,3,0.9428571428571428,higher,1,1,1
C19_robust_core,trajectory,0|4|1|S2_rare_cells,36,1.0,1.0,0.0,3,0.9428571428571428,higher,1,1,1
selection_leakage,trajectory,0|4|1|S3_nonestimable_cells,36,1.0,0.0,1.0,33,0.08571428571428574,lower,1,1,1
R_src,trajectory,0|4|1|S3_nonestimable_cells,36,1.0,0.0,1.0,6,0.8571428571428572,lower,1,1,1
C30_source_rank,trajectory,0|4|1|S3_nonestimable_cells,36,1.0,1.0,0.0,2,0.9714285714285714,higher,1,1,1
