claim_id,claim_text_short,evidence_level,information_class,decision_objective,data_scope,supported,supporting_artifacts,required_qualifiers,forbidden_expansion,main_text_or_supplement
C1,Strict-source S1 has high regret on the frozen field.,L5_actionability,IS,standardized_regret,frozen_seed3_seed4_field,1,oaci/reports/c82e_tables/seed_specific_method_results.csv,Field-specific comparison against registered controls and Q0 only.,Universal source-only failure; intrinsic weakness of balanced accuracy.,main
C2,COTT materially improves S1 on seed 3 under the registered Q1 gate.,L5_actionability,ISU,standardized_regret,seed3_full_panel,1,oaci/reports/c82e_tables/seed_method_Q1_Q2.csv,Exact C82 max-T gate; COTT/U13; one training seed.,Cross-seed success; deployability; COTT superiority in general.,main
C3,COTT retains positive Q1 direction on seed 4 but the exact Q1 gate is inactive.,L5_actionability,ISU,standardized_regret,seed4_full_panel,1,oaci/reports/c82e_tables/seed_method_Q1_Q2.csv,"Positive material mean, 7/8 favorable targets, max-T p=0.101167; no sign reversal claim.",Seed4 Q1 pass; negative directional effect; general COTT failure.,main
C4,No primary zero-label method passes Q0 B=1 noninferiority on either seed.,L5_actionability,IU_ISU_vs_ILc,standardized_regret_noninferiority,two_seed_full_panels,1,oaci/reports/c82e_tables/seed_method_Q1_Q2.csv,Applies to six locked primary zero-label representatives and margin 0.05.,Universal zero-label impossibility; universal one-label sufficiency.,main
C5,No fixed zero-label method supports a common cross-seed A or B result.,L5_actionability,IU_ISU,same_method_cross_seed_stability,paired_training_seeds,1,oaci/reports/c82e_tables/cross_seed_qualifying_method_intersection.csv,Seed categories are B/C; both A and B intersections are empty.,Independent population replication; method-family interchangeability.,main
C6,"Measurement association, regret, top-k localization, and target robustness yield distinct conclusions.",evidence_ladder,mixed,measurement_vs_decision,frozen_field,1,oaci/reports/c82e_tables/measurement_vs_decision_separation.csv;oaci/reports/c82e_tables/primary_method_topk_table.csv,No endpoint substitutes for another; target is the principal cluster.,Mechanism; causality; high association implies actionability.,main
C7,Construction-label information yields a lower-regret frontier on this frozen field.,L5_actionability,ILc,standardized_regret,C80_existing_field,1,oaci/reports/c80e_tables/seed3_budget_frontier.csv;oaci/reports/c80e_tables/seed4_budget_frontier.csv,"Exact Q0 passive policy, frozen split, source-relative materiality.",Universal minimal budget; deployment-free labels; active-policy optimality.,main
C8,C80 B*=1 is a full-panel source-relative result with a 2-4 LOTO envelope.,L5_actionability,ILc,Bstar_and_LOTO,C80_existing_field,1,oaci/reports/c80e_tables/seed_specific_bstar.csv;oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,All 16 LOTO panels move B* to 2 or 4; FULL remains cell-specific.,Universal one-label sufficiency; target-population stability.,main
C9,C81 is blocked and C82 is a post-C81-outcome-access recovery.,provenance,mixed,result_identity,C81_C82_lifecycle,1,oaci/reports/C81_OVERALL_REPORT_GITHUB_AUDIT_ADDENDUM.json;oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,C82 does not retroactively change C81-E.,C81 scientific result; untouched C82 confirmation.,main
C10,"All C80/C82 conclusions are dataset-, field-, split-, and policy-specific.",external_validity,mixed,scope,BNCI2014_001_existing_field,1,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json;oaci/reports/C80_LABEL_BUDGET_FRONTIER.json,Same targets/trials and two paired training seeds; no external dataset.,External validity; new-subject generalization; deployment claim.,main
F1,Universal zero-label impossibility,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Universal zero-label impossibility,claim_scanner
F2,Universal one-label sufficiency,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Universal one-label sufficiency,claim_scanner
F3,External validity or new-subject generalization,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,External validity or new-subject generalization,claim_scanner
F4,Deployability,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Deployability,claim_scanner
F5,Causal representation mechanism,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Causal representation mechanism,claim_scanner
F6,COTT failure in general,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,COTT failure in general,claim_scanner
F7,OACI or SRC rescue,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,OACI or SRC rescue,claim_scanner
F8,Cross-regime selector transport,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Cross-regime selector transport,claim_scanner
F9,Information-theoretic minimum label budget,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Information-theoretic minimum label budget,claim_scanner
F10,Training seed as independent population replication,forbidden_expansion,ALL,claim_boundary,outside_supported_scope,0,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,Must remain explicitly unsupported.,Training seed as independent population replication,claim_scanner
