figure_id,panel,seed,method_id,method_label,information_class,metric,value,number_id,display_role,claim_boundary
3,A_regret,3,B0,Uniform random candidate,I0,standardized_regret,0.48198217863506276,c82_seed3_B0_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,B1,ERM anchor,I0,standardized_regret,0.514146369187663,c82_seed3_B1_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,B2,Final OACI checkpoint,I0,standardized_regret,0.38275474312529983,c82_seed3_B2_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,B3,Final SRC checkpoint,I0,standardized_regret,0.5875927158017974,c82_seed3_B3_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,B4O,OACI cadence midpoint,I0,standardized_regret,0.36685361869431765,c82_seed3_B4O_mean_standardized_regret,descriptive_best_within_fixed_class,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,B4S,SRC cadence midpoint,I0,standardized_regret,0.6694283702277943,c82_seed3_B4S_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,S1,Source-validation balanced accuracy,IS,standardized_regret,0.7794759728707445,c82_seed3_S1_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,U7,Average Thresholded Confidence MC,ISU,standardized_regret,0.6415178176313072,c82_seed3_U7_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,U5,Normalized nuclear norm,IU,standardized_regret,0.763311452913763,c82_seed3_U5_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,U11,MaNo p4,IU,standardized_regret,0.9461808356169957,c82_seed3_U11_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,U13,Confidence Optimal Transport with Thresholding,ISU,standardized_regret,0.33864056415217253,c82_seed3_U13_mean_standardized_regret,descriptive_best_within_fixed_class,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,U14,Soft Neighborhood Density,IU,standardized_regret,0.7622112039203117,c82_seed3_U14_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,U15,Agreement-on-the-Line,ISU,standardized_regret,0.7794759728707445,c82_seed3_U15_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,L1,Frozen Q0 B=1,ILc,standardized_regret,0.35338318633180843,c80_seed3_budget1_expected_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,L7,Frozen Q0 FULL,ILc,standardized_regret,0.08279432226091084,c80_seed3_budgetFULL_expected_standardized_regret,descriptive_best_within_fixed_class,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,A_regret,3,B5,Oracle-best candidate,IOr,standardized_regret,0.0,c82_seed3_B5_mean_standardized_regret,fixed_registered_method,lower_is_better; B5_ceiling_only; descriptive_best_is_not_inferential_winner
3,B_topk,3,S1,Source-validation balanced accuracy,IS,top1,0.0,c82_seed3_S1_top1,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,S1,Source-validation balanced accuracy,IS,top5,0.0,c82_seed3_S1_top5,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,S1,Source-validation balanced accuracy,IS,top10,0.0,c82_seed3_S1_top10,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
3,B_topk,3,U13,Confidence Optimal Transport with Thresholding,ISU,top1,0.125,c82_seed3_U13_top1,fixed_registered_method,localization_endpoint_does_not_override_regret_or_stability
