object_id,expected,observed,pass
protocol_sha256,9f58c7a8e6b495a6d8f510c0d72d24ede4485908ef94bc078abe8f124b03a8f3,9f58c7a8e6b495a6d8f510c0d72d24ede4485908ef94bc078abe8f124b03a8f3,1
analysis_lock_sha256,d5de6d6ff242b9f3d7f9c318cbdd6e1e16c509060bc14cca59292b738a75f5ce,d5de6d6ff242b9f3d7f9c318cbdd6e1e16c509060bc14cca59292b738a75f5ce,1
result_sha256,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7,1
artifact_manifest_sha256,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2,1
authorization_record_sha256,8e55a9e2b091208598a3b2d87e4e0acf9867b73561046039dac8a550a629ba3a,8e55a9e2b091208598a3b2d87e4e0acf9867b73561046039dac8a550a629ba3a,1
authorization_consumption_sha256,e336d8afb38140242108b60fe43846c7ff4b374227403bd602ac5079b31f93e0,e336d8afb38140242108b60fe43846c7ff4b374227403bd602ac5079b31f93e0,1
PM_addendum_sha256,168f125a4316e1d15303bc689e18405988b104e7eb61a867d1c7c5ddac522b69,168f125a4316e1d15303bc689e18405988b104e7eb61a867d1c7c5ddac522b69,1
primary_taxonomy,C82-D_zero_label_comparison_training_seed_method_identity_or_target_heterogeneous,C82-D_zero_label_comparison_training_seed_method_identity_or_target_heterogeneous,1
historical_C81_gate,C81-E_protocol_input_implementation_or_provenance_blocker,C81-E_protocol_input_implementation_or_provenance_blocker,1
method_context_rows,672,672,1
registered_tables,23,23,1
LOTO_preserved,7,7,1
LOTO_total,16,16,1
