number_id,value,units,seed,method,endpoint,aggregation,cluster,source_artifact,source_row_key,source_field,rounding_rule,allowed_interpretation
universe_primary_candidates,2592,candidate_units,ALL,NA,candidate_universe,committed_identity,target,oaci/reports/C81_AAAI_BASELINE_COMPARISON_PROTOCOL.json,/candidate_universe/primary_candidates,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
universe_contexts,32,contexts,ALL,NA,contexts,committed_identity,target,oaci/reports/C81_AAAI_BASELINE_COMPARISON_PROTOCOL.json,/candidate_universe/contexts,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
universe_candidates_per_context,81,candidates,ALL,NA,candidates_per_context,committed_identity,target,oaci/reports/C81_AAAI_BASELINE_COMPARISON_PROTOCOL.json,/candidate_universe/candidates_per_context,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
registered_methods,34,methods,ALL,NA,method_registry_size,committed_identity,target,oaci/reports/C81P_PROTOCOL_READINESS.json,/registered_methods,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
primary_zero_label_methods,6,methods,ALL,NA,primary_zero_label_methods,committed_identity,target,oaci/reports/C81P_PROTOCOL_READINESS.json,/primary_zero_label_representatives,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
selection_methods,19,methods,ALL,NA,selection_methods,committed_identity,target,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,/selection_methods,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
canonical_result_rows,672,rows,ALL,NA,canonical_rows,committed_identity,target,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,/method_context_rows,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
registered_result_tables,23,tables,ALL,NA,result_tables,committed_identity,target,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,/artifact_manifest_table_count,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c82_loto_preserved,7,panels,ALL,NA,global_method_aware_LOTO,committed_identity,target,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,/LOTO_preserved,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c82_loto_total,16,panels,ALL,NA,global_method_aware_LOTO,committed_identity,target,oaci/reports/C82_POST_C81_BASELINE_RECOVERY.json,/LOTO_total,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c82_evaluation_views,16,views,ALL,NA,view_access,committed_identity,target,oaci/reports/C82E_EXECUTION_RESULT_IDENTITY.json,/view_access/target_evaluation_views,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c82_evaluation_label_rows,4746,rows,ALL,NA,view_access,committed_identity,target,oaci/reports/C82E_EXECUTION_RESULT_IDENTITY.json,/view_access/target_evaluation_label_rows,@json_pointer,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed3_Bstar,1,ordinal_budget,3,Q0,Bstar,full_eight_target_panel,target,oaci/reports/c80e_tables/seed_specific_bstar.csv,seed=3,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_seed4_Bstar,1,ordinal_budget,4,Q0,Bstar,full_eight_target_panel,target,oaci/reports/c80e_tables/seed_specific_bstar.csv,seed=4,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target1_Bstar,4,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_1_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=1,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
c80_loto_seed3_target2_Bstar,2,ordinal_budget,3,Q0,LOTO_Bstar,leave_target_2_out,target,oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|left_out_target=2,Bstar,exact_integer_from_committed_artifact,"Frozen-field, target-cluster summary only."
