path,expected_sha256,observed_sha256,expected_rows,observed_rows,hash_pass,row_count_pass
oaci/reports/c82e_tables/accuracy_on_the_line_diagnostic.csv,5d729bc8960bdeaad3978068dca62940c7bcbf1826d85454ec5a70bdf45611fb,5d729bc8960bdeaad3978068dca62940c7bcbf1826d85454ec5a70bdf45611fb,32,32,1,1
oaci/reports/c82e_tables/coverage_summary.csv,7e96c4420217d16c3df0d2f01efb318712910a93de805e2b7b2ff7deb1decb35,7e96c4420217d16c3df0d2f01efb318712910a93de805e2b7b2ff7deb1decb35,126,126,1,1
oaci/reports/c82e_tables/cross_seed_method_identity_stability.csv,03643485cf10b56b7ba657ec90a322f709866801f803b65f05d601e08be0b21f,03643485cf10b56b7ba657ec90a322f709866801f803b65f05d601e08be0b21f,1,1,1,1
oaci/reports/c82e_tables/cross_seed_qualifying_method_intersection.csv,543af83d77b487e64d45965e725da89010abb23d1c0c48c6a1f94924d9276f8e,543af83d77b487e64d45965e725da89010abb23d1c0c48c6a1f94924d9276f8e,6,6,1,1
oaci/reports/c82e_tables/cross_seed_stability.csv,89f4b2f0fbc69d9a2b2b168afd34eca0615fa5dd3bfa273eaa16129cf037b009,89f4b2f0fbc69d9a2b2b168afd34eca0615fa5dd3bfa273eaa16129cf037b009,21,21,1,1
oaci/reports/c82e_tables/information_class_summary_Q5.csv,98a8e3563a5c64c8bf4f4b3404c5a90ce8f6ec2256b7163565f4def84d4d04ed,98a8e3563a5c64c8bf4f4b3404c5a90ce8f6ec2256b7163565f4def84d4d04ed,8,8,1,1
oaci/reports/c82e_tables/leave_one_target_method_stability.csv,8776693481efcb24e87f89fafadd01bbb4e656958a6075970a256da2e882afb3,8776693481efcb24e87f89fafadd01bbb4e656958a6075970a256da2e882afb3,16,16,1,1
oaci/reports/c82e_tables/loro_status.csv,0e885216ee0c1ca42d64ced04f84480ad2aa8c9514d740ad9039ff42e93a4f21,0e885216ee0c1ca42d64ced04f84480ad2aa8c9514d740ad9039ff42e93a4f21,1,1,1,1
oaci/reports/c82e_tables/measurement_vs_decision_separation.csv,f417bbfbc8bb69147ae93ed570ad7579e7a05d5eb2113bebc28a4b39b383fc26,f417bbfbc8bb69147ae93ed570ad7579e7a05d5eb2113bebc28a4b39b383fc26,28,28,1,1
oaci/reports/c82e_tables/method_context_results.csv,fa5b0365f97e1a84dcee97d68023ec035a50fdffecb61ccb8064c79d47e05781,fa5b0365f97e1a84dcee97d68023ec035a50fdffecb61ccb8064c79d47e05781,672,672,1,1
oaci/reports/c82e_tables/method_measurement_metrics.csv,eaf1661d3986d9a8868bde523ff1d39dc8a12540cac854920437d6461dde5c78,eaf1661d3986d9a8868bde523ff1d39dc8a12540cac854920437d6461dde5c78,448,448,1,1
oaci/reports/c82e_tables/objective_dependence_Q3.csv,149ceb4f6fb1069c7de3b5e39274830c2cc935bd64b4e65d67833fd377ad12dc,149ceb4f6fb1069c7de3b5e39274830c2cc935bd64b4e65d67833fd377ad12dc,48,48,1,1
oaci/reports/c82e_tables/primary_method_regret_table.csv,6e20d48009cab5bbf5bd4bd7f68cc4aa2d68847e94f0d7aa9e57ba95a2775306,6e20d48009cab5bbf5bd4bd7f68cc4aa2d68847e94f0d7aa9e57ba95a2775306,42,42,1,1
oaci/reports/c82e_tables/primary_method_selected_utility_table.csv,a2eb2fbd8534a493d8274b799603fb5fd740f8c3a6ac3923c5d3e52b5ef7fe84,a2eb2fbd8534a493d8274b799603fb5fd740f8c3a6ac3923c5d3e52b5ef7fe84,42,42,1,1
oaci/reports/c82e_tables/primary_method_source_relative_gain.csv,13f296810e1898c78fc9a12e2ececea82048210cd09f9b85c16ce769c1b03b86,13f296810e1898c78fc9a12e2ececea82048210cd09f9b85c16ce769c1b03b86,42,42,1,1
