check_id,check,passed,blocking,evidence
RT01,C82_PM_addendum_committed_before_C83_contracts,1,0,5cee693_before_c927b3a
RT02,C82_gate_unchanged,1,0,C82-D
RT03,C81_historical_gate_unchanged,1,0,C81-E
RT04,new_real_data_statistics_zero,1,0,validator_zero
RT05,EEG_and_label_view_accesses_zero,1,0,validator_zero
RT06,manuscript_prose_not_created,1,0,contracts_only
RT07,C82_protocol_hash_replays,1,0,9f58c7a8e6b495a6d8f510c0d72d24ede4485908ef94bc078abe8f124b03a8f3
RT08,C82_analysis_lock_hash_replays,1,0,d5de6d6ff242b9f3d7f9c318cbdd6e1e16c509060bc14cca59292b738a75f5ce
RT09,C82_authorization_and_consumption_replay,1,0,both_hashes_exact
RT10,C82_pre_adapter_failure_preserved,1,0,job_895213_no_adapter_or_outcome_access
RT11,C82_scientific_execution_preserved,1,0,job_895214_only_scientific_execution
RT12,C82_result_hash_replays,1,0,d8060e6636adf7fcca7a0ace0e47bb7043676b7681569e09fb8705dcb8d5a8b7
RT13,C82_artifact_manifest_hash_replays,1,0,910e2ff1d8445dae262be82d417140cd44fc48be1306f2bbe5a439ec3549f0a2
RT14,C82_registered_tables_replay,1,0,23_of_23_hashes_and_rows
RT15,C82_canonical_rows_replay,1,0,672_of_672
RT16,supported_claim_contract_complete,1,0,C1_through_C10
RT17,forbidden_claim_contract_complete,1,0,10_explicit_forbidden_expansions
RT18,authoritative_number_registry_unique,1,0,928_unique_number_ids
RT19,authoritative_number_registry_exact_replay,1,0,928_of_928_source_keys
RT20,main_figure_count_bounded,1,0,4_figures
RT21,main_table_count_exact,1,0,3_main_tables
RT22,no_publication_figure_rendered,1,0,no_C83_PNG_or_PDF
RT23,baseline_reference_fidelity_complete,1,0,34_of_34_methods
RT24,input_unavailable_methods_explicit,1,0,S3_S4_U8_U9_U10
RT25,reviewer_risk_ledger_complete,1,0,17_closed_by_disclosure
RT26,figure_number_ids_resolve,1,0,all_empirical_figure_values
RT27,table_number_ids_resolve,1,0,all_main_table_2_values
RT28,rounding_contract_explicit,1,0,full_precision_source_plus_registered_display_rule
RT29,COTT_S1_Q0_core_numbers_replay,1,0,all_seed3_seed4_values_exact
RT30,COTT_seed4_nuance_preserved,1,0,positive_material_mean_7_of_8_but_p_0.101167_gate_fail
RT31,no_zero_label_Q2_pass,1,0,12_of_12_fail
RT32,cross_seed_same_method_intersections_empty,1,0,A_and_B_empty
RT33,LOTO_wording_narrowed,1,0,global_rule_7_of_16_not_per_panel_COTT_ledger
RT34,Q5_wording_narrowed,1,0,descriptive_best_within_fixed_class
RT35,C80_full_panel_Bstar_replays,1,0,seed3_1_seed4_1
RT36,C80_LOTO_envelope_replays,1,0,16_panels_all_2_or_4
RT37,target4_primary_zero,1,0,672_rows_checked
RT38,same_label_oracle_zero,1,0,672_rows_checked
RT39,external_validity_claim_blocked,1,0,limitations_contract_false
RT40,new_method_or_retuning_zero,1,0,compact_artifact_read_only
RT41,tracked_payload_over_50MiB_zero,1,0,git_scan_zero
RT42,focused_regression_pass,1,0,job_895253_26_passed
RT43,C65_C83P_regression_pass,1,0,job_895254_486_passed
RT44,C23_C83P_regression_pass,1,0,job_895255_897_passed
RT45,full_OACI_regression_pass,1,0,job_895256_1821_passed
RT46,conditional_skip_reason_explicit,1,0,C78F_finalized
RT47,historical_deselection_reason_explicit,1,0,three_C79P_preauthorization_tests
RT48,all_regression_stderr_empty,1,0,4_of_4_empty_hash
RT49,canonical_oaci_worktree_clean_at_regression,1,0,c927b3a_guard
RT50,HEAD_origin_identity_at_regression,1,0,c927b3a_equal
RT51,active_C82_C83_scientific_jobs_zero,1,0,regressions_complete_no_scientific_jobs
RT52,final_gate_matches_scope,1,0,C83_AAAI_EVIDENCE_CLAIM_FIGURE_TABLE_FREEZE_READY_FOR_MANUSCRIPT_AUTHORIZATION
