risk_id,risk,main_text_disclosure,supplement_evidence,claim_narrowing,new_experiment_required,status
R01,one_EEG_dataset_only,Main scope sentence,field/view manifest,Dataset-specific claim only,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R02,two_training_seeds_not_population_replication,Methods and limitations,paired-seed registry,Training-seed robustness only,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R03,eight_target_clusters_limit_inference,Results uncertainty note,target-level tables,Target-cluster inference and explicit small-N limit,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R04,C82_post_C81_outcome_access_recovery,Provenance statement,C81/C82 addenda,Never call C82 untouched confirmation,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R05,C80_Bstar1_full_panel_source_relative_LOTO_sensitive,C80 result qualifier,C80 Bstar and LOTO tables,Report 2-4 LOTO envelope with B*=1,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R06,COTT_seed4_direction_positive_gate_inactive,C82 component result,seed_method_Q1_Q2,No sign-reversal wording,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R07,S1_weaker_than_some_fixed_no_information_defaults,Comparator disclosure,Q5 and method results,Do not generalize Q1 beyond S1 comparator,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R08,Q5_best_within_class_is_descriptive,Q5 label,C82 PM addendum,No inferential winner language,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R09,LOTO_7_of_16_is_global_common_method_rule,Stability definition,C82 PM addendum,No per-panel COTT failure claim,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R10,five_literature_methods_input_unavailable,Baseline availability,C81 method registry,Do not call registry exhaustive of literature,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R11,SND_softmax_output_adaptation,Method appendix,reference fidelity appendix,Disclose output-layer adaptation,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R12,MaNo_COTT_ATC_adaptations,Method appendix,reference fidelity appendix,Disclose every registered deviation,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R13,no_cross_regime_selector_transport_claim,Claim boundary,loro_status.csv,No LORO or transport claim,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R14,no_active_acquisition_comparison,Scope,C80/C82 protocols,Q0 passive policy only,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R15,no_external_dataset,Limitations,field manifest,No external validation,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R16,regret_improvement_not_high_top1,Results component table,primary_method_topk_table,Show top-k alongside regret,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
R17,construction_labels_independent_not_deployment_free,Information-class definition,physical view contract,No deployment-free or zero-label label,no_for_C83P,CLOSED_BY_DISCLOSURE_AND_CLAIM_NARROWING
