figure_id,panel,object_id,seed,target,budget,metric,value,number_id,qualifier
4,A_budget_frontier,seed3_budget1,3,ALL,1,standardized_regret,0.35338318633180843,c80_seed3_budget1_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget1,3,ALL,1,closure_qualification,1,c80_seed3_budget1_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget2,3,ALL,2,standardized_regret,0.2782089536699878,c80_seed3_budget2_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget2,3,ALL,2,closure_qualification,1,c80_seed3_budget2_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget4,3,ALL,4,standardized_regret,0.21660180756980868,c80_seed3_budget4_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget4,3,ALL,4,closure_qualification,1,c80_seed3_budget4_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget8,3,ALL,8,standardized_regret,0.16631014202055397,c80_seed3_budget8_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget8,3,ALL,8,closure_qualification,1,c80_seed3_budget8_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget16,3,ALL,16,standardized_regret,0.13453563321685552,c80_seed3_budget16_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget16,3,ALL,16,closure_qualification,1,c80_seed3_budget16_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget32,3,ALL,32,standardized_regret,0.11187064388052365,c80_seed3_budget32_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budget32,3,ALL,32,closure_qualification,1,c80_seed3_budget32_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budgetFULL,3,ALL,FULL,standardized_regret,0.08279432226091084,c80_seed3_budgetFULL_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed3_budgetFULL,3,ALL,FULL,closure_qualification,1,c80_seed3_budgetFULL_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,B_full_panel_Bstar,seed3_Bstar,3,ALL,1,Bstar,1,c80_seed3_Bstar,full_panel_source_relative_closure_rule
4,A_budget_frontier,seed4_budget1,4,ALL,1,standardized_regret,0.3737050812998979,c80_seed4_budget1_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget1,4,ALL,1,closure_qualification,1,c80_seed4_budget1_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget2,4,ALL,2,standardized_regret,0.3002019611832293,c80_seed4_budget2_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget2,4,ALL,2,closure_qualification,1,c80_seed4_budget2_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget4,4,ALL,4,standardized_regret,0.23247996828407924,c80_seed4_budget4_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget4,4,ALL,4,closure_qualification,1,c80_seed4_budget4_closure_qualification,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
4,A_budget_frontier,seed4_budget8,4,ALL,8,standardized_regret,0.18112845533394029,c80_seed4_budget8_expected_standardized_regret,FULL_is_cell_specific; no_interpolation_between_32_and_FULL
