feature,family,target_anonymous
source_guard_nll__mean,robust_core_source_moment,True
source_guard_nll__std,robust_core_source_moment,True
source_guard_ece__mean,robust_core_source_moment,True
source_guard_ece__std,robust_core_source_moment,True
source_guard_entropy__mean,robust_core_source_moment,True
source_guard_entropy__std,robust_core_source_moment,True
source_guard_confidence__mean,robust_core_source_moment,True
source_guard_confidence__std,robust_core_source_moment,True
source_guard_margin__mean,robust_core_source_moment,True
source_guard_margin__std,robust_core_source_moment,True
source_guard_logit_norm__mean,robust_core_source_moment,True
source_guard_logit_norm__std,robust_core_source_moment,True
source_guard_conf_on_wrong__mean,robust_core_source_moment,True
source_guard_conf_on_wrong__std,robust_core_source_moment,True
source_audit_nll__mean,robust_core_source_moment,True
source_audit_nll__std,robust_core_source_moment,True
source_audit_ece__mean,robust_core_source_moment,True
source_audit_ece__std,robust_core_source_moment,True
source_audit_entropy__mean,robust_core_source_moment,True
source_audit_entropy__std,robust_core_source_moment,True
source_audit_confidence__mean,robust_core_source_moment,True
source_audit_confidence__std,robust_core_source_moment,True
source_audit_margin__mean,robust_core_source_moment,True
source_audit_margin__std,robust_core_source_moment,True
source_audit_logit_norm__mean,robust_core_source_moment,True
source_audit_logit_norm__std,robust_core_source_moment,True
source_audit_conf_on_wrong__mean,robust_core_source_moment,True
source_audit_conf_on_wrong__std,robust_core_source_moment,True
selection_leakage_point__mean,robust_core_source_moment,True
selection_leakage_point__std,robust_core_source_moment,True
audit_leakage_point__mean,robust_core_source_moment,True
audit_leakage_point__std,robust_core_source_moment,True
finite_feature_rate,support_availability,True
n_candidates,support_availability,True
