row_type,method,comparison,estimate,ci_low,ci_high,n_subjects,bootstrap_replicates,bootstrap_seed,cluster_unit,support_rule_pass
method_summary,source_only_tsmnet,,0.0,0.0,0.0,54,10000,20260710,target_subject,
method_summary,rct,,0.035679012345679016,0.027901234567901247,0.044691358024691354,54,10000,20260710,target_subject,
method_summary,spdim_geodesic,,0.029506172839506153,0.024382716049382695,0.03506172839506171,54,10000,20260710,target_subject,
method_summary,spdim_bias,,0.028086419753086414,0.022839506172839516,0.03407561728395061,54,10000,20260710,target_subject,
method_summary,Joint-GEM,,0.03030864197530865,0.023827160493827156,0.037469135802469127,54,10000,20260710,target_subject,
method_summary,FP-GEM,,0.0295679012345679,0.023333333333333334,0.03666666666666665,54,10000,20260710,target_subject,
paired_contrast,FP-GEM,FP-GEM minus Joint-GEM,-0.0007407407407407481,-0.003641975308641996,0.002098765432098762,54,10000,20260710,target_subject,False
paired_contrast,FP-GEM,FP-GEM minus rct,-0.006111111111111117,-0.011419753086419751,-0.0010493827160493738,54,10000,20260710,target_subject,True
paired_contrast,FP-GEM,FP-GEM minus spdim_geodesic,6.172839506174935e-05,-0.004753086419753052,0.005000000000000029,54,10000,20260710,target_subject,False
paired_contrast,FP-GEM,FP-GEM minus spdim_bias,0.0014814814814814827,-0.006111111111111102,0.00925925925925927,54,10000,20260710,target_subject,False
