dataset,target_subject,source_seed,q,method,checkpoint_hash,adaptation_manifest_hash,n_adapt,class_counts_adapt,n_eval,class_counts_eval,acc,bacc,macro_f1,prediction_hash,logits_hash,status,failure_reason,result_origin,target_labels_passed_to_adaptation,q_passed_to_method,target_performance_selection
Lee2019_MI,1,0,0.1,source_only_tsmnet,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,77203c6d6f1f7524c4b917354123139a17f50d42814e4e26cae7f55991c5b2a9,50,"[5,45]",50,"[25,25]",0.56,0.56,0.45436507936507936,eef2221a3c8a95b2631ab98ac334624163144564ae89a3cb143844fd409d8964,1c9035576ae7389fc04d7803b75c038893f3302f2c5b56d99b7780faabd4ed78,ok,,P12_source_only_reused,False,False,False
Lee2019_MI,1,0,0.1,rct,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,77203c6d6f1f7524c4b917354123139a17f50d42814e4e26cae7f55991c5b2a9,50,"[5,45]",50,"[25,25]",0.72,0.72,0.7028862478777589,2739fd6d482227f5ebf66ae9ed6735e6e70f1d6d2eb671c039082e99ca825307,08647f810c2608ba9928aebd5fc3ca1d779392f6f320a421d5deeecc6fff52b2,ok,,P13_new_prevalence_adaptation,False,False,False
Lee2019_MI,1,0,0.1,spdim_geodesic,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,77203c6d6f1f7524c4b917354123139a17f50d42814e4e26cae7f55991c5b2a9,50,"[5,45]",50,"[25,25]",0.74,0.74,0.7267759562841529,88de78eab533a832ec5e22c42e59badf1a7e8ddb6691a7e25999f22ffe14cc2c,22e40da74203a2e54dc466d6fbf325a8a6d2dd7e3d3c115eaf4fe982fe63ed55,ok,,P13_new_prevalence_adaptation,False,False,False
Lee2019_MI,1,0,0.1,spdim_bias,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,77203c6d6f1f7524c4b917354123139a17f50d42814e4e26cae7f55991c5b2a9,50,"[5,45]",50,"[25,25]",0.72,0.72,0.7181964573268921,d603242c5cfd5058e14411ceee9d548095f612fca84785af2ab5c79245cacf9f,c4ece6017597cd445c382cb0ec614889326f396dc62417e84e2ecfbfc16df132,ok,,P13_new_prevalence_adaptation,False,False,False
Lee2019_MI,1,0,0.1,Joint-GEM,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,77203c6d6f1f7524c4b917354123139a17f50d42814e4e26cae7f55991c5b2a9,50,"[5,45]",50,"[25,25]",0.72,0.72,0.6961805555555556,19aa824a9c9f68a5021ee9fa485e8cfca92cca9d3b5d0b52c1a189f35894e1e3,9c9e81bf4b2b26be2768061cc4ac7f64b7788fe4e69cbbee25ed0642df6503d0,ok,,P13_new_prevalence_adaptation,False,False,False
Lee2019_MI,1,0,0.1,FP-GEM,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,77203c6d6f1f7524c4b917354123139a17f50d42814e4e26cae7f55991c5b2a9,50,"[5,45]",50,"[25,25]",0.72,0.72,0.6961805555555556,19aa824a9c9f68a5021ee9fa485e8cfca92cca9d3b5d0b52c1a189f35894e1e3,8f7f17e13a67a42be1064060736a5cec3a4cd35fa4ae39e7ff28fcf065222541,ok,,P13_new_prevalence_adaptation,False,False,False
Lee2019_MI,1,0,0.5,source_only_tsmnet,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,0b62c50f637d7df0696c237c423d20b84adaa9827cd04b662ffeb9599e2651af,50,"[25,25]",50,"[25,25]",0.56,0.56,0.45436507936507936,eef2221a3c8a95b2631ab98ac334624163144564ae89a3cb143844fd409d8964,1c9035576ae7389fc04d7803b75c038893f3302f2c5b56d99b7780faabd4ed78,ok,,P12_q05_reused,False,False,False
Lee2019_MI,1,0,0.5,rct,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,0b62c50f637d7df0696c237c423d20b84adaa9827cd04b662ffeb9599e2651af,50,"[25,25]",50,"[25,25]",0.78,0.78,0.7799119647859143,9c82d779c3a1f25fb6ec65a3524ed03d34688ea4182742b367c46895fd07fa9a,0257856927089a89258531de3343efc7ea1e4486a970a616af8bc5e667c65cb1,ok,,P12_q05_reused,False,False,False
Lee2019_MI,1,0,0.5,spdim_geodesic,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,0b62c50f637d7df0696c237c423d20b84adaa9827cd04b662ffeb9599e2651af,50,"[25,25]",50,"[25,25]",0.78,0.78,0.7799119647859143,9c82d779c3a1f25fb6ec65a3524ed03d34688ea4182742b367c46895fd07fa9a,2820bf7042c94a53f4fcea2b0048d7e496258f63c1dbcd04d80b994d3f5610b9,ok,,P12_q05_reused,False,False,False
Lee2019_MI,1,0,0.5,spdim_bias,8ae4e3d0dd15dbe22a6133e36f4672ac6ebec4923f4239feae95c7916548d36d,0b62c50f637d7df0696c237c423d20b84adaa9827cd04b662ffeb9599e2651af,50,"[25,25]",50,"[25,25]",0.78,0.78,0.7799119647859143,9c82d779c3a1f25fb6ec65a3524ed03d34688ea4182742b367c46895fd07fa9a,588a6484b6aaa8eb75f02492ae3547f8322be66f4a1d5d7104778a3564174883,ok,,P12_q05_reused,False,False,False
