row_type,endpoint,method,comparison,estimate,ci_low,ci_high,n_subjects,bootstrap_replicates,bootstrap_seed,cluster_unit
method_summary,endpoint_mean_bacc,source_only_tsmnet,,0.5485185185185185,0.5362962962962963,0.5619753086419753,54,10000,20260710,target_subject
method_summary,endpoint_mean_bacc,rct,,0.658888888888889,0.6388256172839505,0.6787037037037036,54,10000,20260710,target_subject
method_summary,endpoint_mean_bacc,spdim_geodesic,,0.6640740740740739,0.6426543209876543,0.6862345679012347,54,10000,20260710,target_subject
method_summary,endpoint_mean_bacc,spdim_bias,,0.6637654320987655,0.6410493827160493,0.6877175925925927,54,10000,20260710,target_subject
method_summary,endpoint_mean_bacc,Joint-GEM,,0.6469753086419752,0.6275293209876542,0.6666049382716047,54,10000,20260710,target_subject
method_summary,endpoint_mean_bacc,FP-GEM,,0.6488271604938272,0.6288271604938275,0.6688287037037037,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_bacc,FP-GEM,FP-GEM minus Joint-GEM,0.0018518518518518287,-0.0006172839506174421,0.004382716049382895,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_bacc,FP-GEM,FP-GEM minus rct,-0.010061728395061727,-0.015308641975308457,-0.004506172839506162,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_bacc,FP-GEM,FP-GEM minus spdim_geodesic,-0.015246913580246924,-0.0217283950617283,-0.008887345679011996,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_bacc,FP-GEM,FP-GEM minus spdim_bias,-0.01493827160493828,-0.024631172839506093,-0.005555555555555647,54,10000,20260710,target_subject
method_summary,worst_prevalence_bacc,source_only_tsmnet,,0.5485185185185185,0.5362962962962963,0.5619753086419753,54,10000,20260710,target_subject
method_summary,worst_prevalence_bacc,rct,,0.6406172839506173,0.6216049382716048,0.6596296296296297,54,10000,20260710,target_subject
method_summary,worst_prevalence_bacc,spdim_geodesic,,0.6450617283950618,0.6241944444444444,0.6669135802469137,54,10000,20260710,target_subject
method_summary,worst_prevalence_bacc,spdim_bias,,0.6461728395061728,0.6239506172839506,0.6702469135802469,54,10000,20260710,target_subject
method_summary,worst_prevalence_bacc,Joint-GEM,,0.6274074074074072,0.6083950617283951,0.6464197530864197,54,10000,20260710,target_subject
method_summary,worst_prevalence_bacc,FP-GEM,,0.6287654320987655,0.6095061728395061,0.648148148148148,54,10000,20260710,target_subject
paired_contrast,worst_prevalence_bacc,FP-GEM,FP-GEM minus Joint-GEM,0.0013580246913580077,-0.0019753086419753733,0.00469135802469145,54,10000,20260710,target_subject
paired_contrast,worst_prevalence_bacc,FP-GEM,FP-GEM minus rct,-0.011851851851851862,-0.019756172839506335,-0.003827160493827253,54,10000,20260710,target_subject
paired_contrast,worst_prevalence_bacc,FP-GEM,FP-GEM minus spdim_geodesic,-0.016296296296296326,-0.02666666666666662,-0.006419753086420177,54,10000,20260710,target_subject
paired_contrast,worst_prevalence_bacc,FP-GEM,FP-GEM minus spdim_bias,-0.01740740740740742,-0.03160493827160482,-0.003950617283950852,54,10000,20260710,target_subject
method_summary,endpoint_mean_prediction_disagreement,source_only_tsmnet,,0.0,0.0,0.0,54,10000,20260710,target_subject
method_summary,endpoint_mean_prediction_disagreement,rct,,0.13283950617283952,0.11740740740740739,0.148766975308642,54,10000,20260710,target_subject
method_summary,endpoint_mean_prediction_disagreement,spdim_geodesic,,0.12543209876543207,0.1123456790123457,0.13870370370370366,54,10000,20260710,target_subject
method_summary,endpoint_mean_prediction_disagreement,spdim_bias,,0.11203703703703705,0.09839506172839506,0.126358024691358,54,10000,20260710,target_subject
method_summary,endpoint_mean_prediction_disagreement,Joint-GEM,,0.12327160493827163,0.10858024691358024,0.1388271604938272,54,10000,20260710,target_subject
method_summary,endpoint_mean_prediction_disagreement,FP-GEM,,0.12475308641975312,0.10975154320987653,0.14043209876543214,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_prediction_disagreement,FP-GEM,FP-GEM minus Joint-GEM,0.0014814814814814831,-0.002407407407407484,0.005308641975308684,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_prediction_disagreement,FP-GEM,FP-GEM minus rct,-0.008086419753086419,-0.014074074074074072,-0.0022839506172839252,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_prediction_disagreement,FP-GEM,FP-GEM minus spdim_geodesic,-0.000679012345679008,-0.010740740740740759,0.009938271604938348,54,10000,20260710,target_subject
paired_contrast,endpoint_mean_prediction_disagreement,FP-GEM,FP-GEM minus spdim_bias,0.012716049382716053,-0.00425925925925924,0.03055709876543212,54,10000,20260710,target_subject
method_summary,mean_bacc_q01,source_only_tsmnet,,0.5485185185185185,0.5362962962962963,0.5619753086419753,54,10000,20260710,target_subject
method_summary,mean_bacc_q01,rct,,0.6645679012345679,0.6423456790123457,0.68679012345679,54,10000,20260710,target_subject
method_summary,mean_bacc_q01,spdim_geodesic,,0.6691358024691358,0.645182098765432,0.6938271604938271,54,10000,20260710,target_subject
method_summary,mean_bacc_q01,spdim_bias,,0.6682716049382714,0.6435802469135801,0.6939506172839508,54,10000,20260710,target_subject
method_summary,mean_bacc_q01,Joint-GEM,,0.655679012345679,0.6348148148148149,0.6775308641975308,54,10000,20260710,target_subject
method_summary,mean_bacc_q01,FP-GEM,,0.6582716049382716,0.6361728395061728,0.6812345679012345,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q01,FP-GEM,FP-GEM minus Joint-GEM,0.002592592592592591,-0.000864197530864308,0.0060493827160493785,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q01,FP-GEM,FP-GEM minus rct,-0.006296296296296304,-0.013827160493827262,0.001481481481481417,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q01,FP-GEM,FP-GEM minus spdim_geodesic,-0.010864197530864192,-0.01864506172839549,-0.0025925925925924798,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q01,FP-GEM,FP-GEM minus spdim_bias,-0.009999999999999988,-0.019629629629629334,-0.0004938271604939509,54,10000,20260710,target_subject
method_summary,mean_bacc_q05,source_only_tsmnet,,0.5485185185185185,0.5362962962962963,0.5619753086419753,54,10000,20260710,target_subject
method_summary,mean_bacc_q05,rct,,0.6816049382716047,0.6555555555555557,0.7085216049382717,54,10000,20260710,target_subject
method_summary,mean_bacc_q05,spdim_geodesic,,0.6765432098765433,0.6511111111111109,0.702966049382716,54,10000,20260710,target_subject
method_summary,mean_bacc_q05,spdim_bias,,0.674320987654321,0.6490092592592591,0.7009876543209878,54,10000,20260710,target_subject
method_summary,mean_bacc_q05,Joint-GEM,,0.662716049382716,0.6388888888888888,0.6876543209876543,54,10000,20260710,target_subject
method_summary,mean_bacc_q05,FP-GEM,,0.6655555555555557,0.6413580246913582,0.6906172839506172,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q05,FP-GEM,FP-GEM minus Joint-GEM,0.0028395061728395,-0.0008641975308640859,0.006790123456790087,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q05,FP-GEM,FP-GEM minus rct,-0.01604938271604938,-0.022469135802469346,-0.009382716049382678,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q05,FP-GEM,FP-GEM minus spdim_geodesic,-0.010987654320987628,-0.016790123456789985,-0.005061728395061471,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q05,FP-GEM,FP-GEM minus spdim_bias,-0.008765432098765414,-0.015185185185184968,-0.0020987654320985235,54,10000,20260710,target_subject
method_summary,mean_bacc_q09,source_only_tsmnet,,0.5485185185185185,0.5362962962962963,0.5619753086419753,54,10000,20260710,target_subject
method_summary,mean_bacc_q09,rct,,0.6532098765432098,0.6337037037037037,0.6727160493827158,54,10000,20260710,target_subject
method_summary,mean_bacc_q09,spdim_geodesic,,0.6590123456790126,0.6383950617283952,0.6804969135802471,54,10000,20260710,target_subject
method_summary,mean_bacc_q09,spdim_bias,,0.6592592592592593,0.6365432098765432,0.6837037037037037,54,10000,20260710,target_subject
method_summary,mean_bacc_q09,Joint-GEM,,0.6382716049382716,0.6180246913580246,0.6585185185185184,54,10000,20260710,target_subject
method_summary,mean_bacc_q09,FP-GEM,,0.6393827160493827,0.6193827160493828,0.6593827160493829,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q09,FP-GEM,FP-GEM minus Joint-GEM,0.0011111111111110905,-0.0027160493827161902,0.0051851851851849595,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q09,FP-GEM,FP-GEM minus rct,-0.01382716049382716,-0.02123456790123457,-0.006790123456789862,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q09,FP-GEM,FP-GEM minus spdim_geodesic,-0.019629629629629643,-0.029506172839506076,-0.010493827160493852,54,10000,20260710,target_subject
paired_contrast,mean_bacc_q09,FP-GEM,FP-GEM minus spdim_bias,-0.019876543209876554,-0.035308641975308475,-0.005802469135802177,54,10000,20260710,target_subject
