dataset,target_subject_id,class_0_construction_rows,class_1_construction_rows,B32_feasible,reason
Lee2019_MI,1,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,6,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,8,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,9,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,11,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,12,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,14,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,17,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,19,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,22,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,25,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,26,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,29,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,35,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,37,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,41,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,45,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,46,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,47,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,48,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,50,25,25,false,LESS_THAN_32_PER_CLASS
Lee2019_MI,52,25,25,false,LESS_THAN_32_PER_CLASS
