dataset,budget,budget_role,targets,feasible_targets,infeasible_targets,min_labels_per_class,max_labels_per_class,operative,disposition
Lee2019_MI,1,PRIMARY,22,22,0,25,25,1,FEASIBLE
Lee2019_MI,2,PRIMARY,22,22,0,25,25,1,FEASIBLE
Lee2019_MI,4,PRIMARY,22,22,0,25,25,1,FEASIBLE
Lee2019_MI,8,PRIMARY,22,22,0,25,25,1,FEASIBLE
Lee2019_MI,16,SECONDARY,22,22,0,25,25,1,FEASIBLE
Lee2019_MI,32,SECONDARY,22,0,22,25,25,0,INPUT_UNAVAILABLE_ALL_TARGETS
Lee2019_MI,FULL,PRIMARY,22,22,0,25,25,1,FEASIBLE
Cho2017,1,PRIMARY,20,20,0,50,50,1,FEASIBLE
Cho2017,2,PRIMARY,20,20,0,50,50,1,FEASIBLE
Cho2017,4,PRIMARY,20,20,0,50,50,1,FEASIBLE
Cho2017,8,PRIMARY,20,20,0,50,50,1,FEASIBLE
Cho2017,16,SECONDARY,20,20,0,50,50,1,FEASIBLE
Cho2017,32,SECONDARY,20,20,0,50,50,1,FEASIBLE
Cho2017,FULL,PRIMARY,20,20,0,50,50,1,FEASIBLE
PhysionetMI,1,PRIMARY,76,76,0,9,15,1,FEASIBLE
PhysionetMI,2,PRIMARY,76,76,0,9,15,1,FEASIBLE
PhysionetMI,4,PRIMARY,76,76,0,9,15,1,FEASIBLE
PhysionetMI,8,PRIMARY,76,76,0,9,15,1,FEASIBLE
PhysionetMI,FULL,PRIMARY,76,76,0,9,15,1,FEASIBLE
