source_branch,source_sha,component,route,dataset,backbone,method,info_regime,seeds,folds_or_subjects,representation_or_branch,artifact_path,artifact_exists,metrics_available,target_labels_used_for_fit,target_labels_used_for_eval,status,notes
project/cita-target-unlabeled-cmi,c889730,frozen_premise,CIGL_70_closure,2a+2015,dgcnn+EEGNetMini+ConformerMini,cigl/fcigl/dcigl/metacmi,source_only_DG,"0,1,2 (metacmi seed0)",9+12 folds,graph_z/node_z/feature_z,results/cigl_source_only_closure/,YES,"verdict,route_summary,negative_gates",NO,YES,FROZEN_PREMISE,"verdict SOURCE_ONLY_CMI_RELIANCE_CONTROL_FAILED_AND_CLOSED; retains cmi_audit+proxy_partial; authored on project/metacmi-eegnet-conformer"
project/cita-target-unlabeled-cmi,c889730,frozen_premise,CMI_SYNTHESIS,2a+2015,all,all_cmi_control_routes,both_regimes,"0,1,2/seed0",9+12 folds,graph_z/feature_z,results/cmi_synthesis/synthesis_route_summary.csv,YES,7-row route table,NO,YES,FROZEN_PREMISE,"verdict CMI_CONTROL_CLOSED_BOTH_REGIMES; TTA-Control=separate non-CMI positive; docs/CMI_SYNTHESIS_01.md"
project/cigl-r123-scaffold,d3593c8,CMI_control,CIGL,2a+2015,dgcnn_forward_graph_adapter,cigl_graph_node,source_only_DG,"0,1,2",9+12 folds,graph_z+node_z,results/cigl_r123/final/,YES,"dKL,R3_task_drop,target_bacc,gap_correlations,perm_null",NO,YES,FROZEN_NEGATIVE,"graphKL -0.684 sig down; R3 k2 +0.025 sig (reliance NOT reduced); target +0.001 ns; graph_kl->R3 -0.342 / align_k2->R3 +0.338; Pareto non-dominated"
project/cigl-functional-cmi,d02c400,CMI_control,FCIGL,2a+2015,dgcnn_forward_graph_adapter,fcigl_align_eta0.01/0.05,source_only_DG,"0,1,2",9+12 folds,graph_z+node_z,results/cigl_functional/final/,YES,"align_k2,graph_kl,node_kl,R3,target CIs",NO,YES,FROZEN_NEGATIVE,"align_k2 -0.117 sig down but KL traded up +0.166; R3 +0.001 ns; target +0.003 ns; method-level NEGATIVE"
project/cigl-direct-reliance-cmi,e619713,CMI_control,dCIGL,2a+2015,dgcnn_forward_graph_adapter,dcigl_consistency_beta0.1,source_only_DG,"0,1,2",9+12 folds,graph_z+node_z,results/cigl_direct_reliance/final/,YES,"R3,logit_diagnostics(margin,entropy),KL,target CIs",NO,YES,FROZEN_NEGATIVE,"R3 -0.007 ns; NO flatten confound (margin +0.252, entropy -0.044); target +0.003 ns; doc CIGL_68"
project/metacmi-eegnet-conformer,8068191,CMI_control,MetaCMI,2a+2015,EEGNetMini+EEGConformerMini,metacmi_direct_beta0.1,source_only_episodic,seed0,9+12 folds,feature_z,results/cigl/metacmi_phase2/,YES,"target_bacc,featKL_proxy,perm_p,head_replay (R3 in CIGL_69C readout)",NO,YES,FROZEN_NEGATIVE,"featKL -0.031..-0.044; R3 within noise; target<=MetaCE all 4; seed0-screening FAIL, no seeds 1/2"
project/cita-target-unlabeled-cmi,c889730,CMI_control,CITA_lambda_1,2a+2015,EEGNet+Conformer,cita_cmi vs tta_control vs erm,target_unlabeled_transductive,seed0,9+12 folds,feature_z,results/cita/gate_lambda1/,YES,"target_bacc,cond_domain_fraction,R3,entropy",AUDIT_ONLY,YES,FROZEN_NEGATIVE,"CMI active 1.8-29.3% of loss; CITA(l1)-TTA ~0; TTA-ERM +0.037..+0.093; terminal close CMI method dev; NLL MISSING"
project/cita-target-unlabeled-cmi,c889730,CMI_control,CITA_lambda_0.010,2a+2015,EEGNet+Conformer,cita_cmi vs tta_control vs erm,target_unlabeled_transductive,seed0,9+12 folds,feature_z,results/cita/gate/,YES,"target_bacc,R3,cond_domain",AUDIT_ONLY,YES,FROZEN_NEGATIVE,"near-inert 0.1-0.2% of loss; CITA-TTA ~0; TTA-only pass; doc CITA_02"
project/cita-target-unlabeled-cmi,c889730,CMI_control,TTA_Control_non_CMI,2a+2015,EEGNet+Conformer,tta_control,target_unlabeled_transductive,seed0,9+12 folds,feature_z,results/cita/gate/ + results/cita/gate_lambda1/,YES,"target_bacc,entropy,R3",AUDIT_ONLY,YES,POSITIVE_NON_CMI,"TTA-ERM +0.037..+0.093 all 4, no collapse; first robust project gain; R3 not reduced; NON-CMI, must be walled off from CMI"
tos,1c65d79,TOS_erasure,TOS_mean_scatter,2a(+Lee/Cho/HGD/2b),TSMNet(z210)+EEGNet(z16),TOS_VD score-Fisher deletion,source_only_frozen_feature,"0,1,2",9 folds+129 subj,frozen_latent_Z,tos_cmi/results/tos_cmi_eeg_frozen/BNCI2014_001_EEGNet_LOSO/erasure_report.json,YES,"subj_lin/mlp,task,nDcand,tgt_deploy",NO,YES,FROZEN_DIAGNOSTIC,"TSMNet dents 0.997->0.917/0.958; EEGNet 0.819->0.358/0.545 selective; target ~0; the eraser IS the task-safety guard"
