dataset,seed,target_index,target_subject,balanced_acc,macro_f1,restored_source_bacc,final_train_source_bacc,best_epoch,best_source_val_bacc,final_val_source_bacc,ablate_zero_graph,ablate_zero_temporal,ablate_permute_nodes,grouping_scheme
BNCI2014_001,0,0,1,0.3056,0.298,0.3696,0.9874,6,0.3177,0.2396,0.3125,0.2812,0.3125,central_strip_v1
BNCI2014_001,0,1,2,0.2812,0.2618,0.3404,0.9911,1,0.3056,0.2778,0.2812,0.2622,0.2708,central_strip_v1
BNCI2014_001,1,0,1,0.3021,0.2979,0.7248,0.9883,62,0.309,0.2448,0.2465,0.3021,0.2604,central_strip_v1
BNCI2014_001,1,1,2,0.2604,0.2582,0.8853,0.9883,155,0.309,0.2934,0.25,0.2361,0.276,central_strip_v1
BNCI2014_001,2,0,1,0.3316,0.3222,0.6338,0.9943,36,0.3715,0.3125,0.2622,0.3333,0.2622,central_strip_v1
BNCI2014_001,2,1,2,0.2934,0.2839,0.5049,0.9901,22,0.3403,0.3021,0.2865,0.2865,0.2708,central_strip_v1
BNCI2015_001,0,0,1,0.715,0.7037,0.7404,0.9998,19,0.6725,0.63,0.56,0.6675,0.555,central_strip_v1
BNCI2015_001,0,9,10,0.5683,0.5416,0.7672,0.9996,21,0.72,0.6575,0.5017,0.5767,0.4817,central_strip_v1
BNCI2015_001,1,0,1,0.6625,0.6321,0.7137,0.9996,10,0.665,0.575,0.57,0.6525,0.54,central_strip_v1
BNCI2015_001,1,9,10,0.5767,0.5763,0.8436,1.0,34,0.6575,0.6025,0.52,0.6017,0.4933,central_strip_v1
BNCI2015_001,2,0,1,0.645,0.5986,0.7471,0.9998,19,0.57,0.515,0.5875,0.6375,0.5175,central_strip_v1
BNCI2015_001,2,9,10,0.5933,0.593,0.806,0.9998,27,0.545,0.5075,0.5117,0.6067,0.49,central_strip_v1
