dataset,variant,f_align,alpha,eraser,task_drop_ucb,benefit_lcb,dtgt_lcb,dtgt,domain_gain,gate_accept,accept_and_target_gain,n
Lee2019_MI,aligned_noise,0.15,0.5,leace_baseline,0.01677835716798606,-0.029296874999999986,-0.031875000000000014,-0.008125000000000007,0.4941745283018868,False,False,8
Lee2019_MI,aligned_noise,0.15,0.5,fair_conditional_leace_disjoint_router,0.0033879319144842837,-0.007343749999999984,-0.006249999999999992,0.0012500000000000011,0.3691981132075472,False,False,8
Lee2019_MI,aligned_noise,0.15,1.0,leace_baseline,0.01671180091114765,-0.030390624999999977,-0.030625,-0.006875000000000006,0.4941745283018868,False,False,8
Lee2019_MI,aligned_noise,0.15,1.0,fair_conditional_leace_disjoint_router,0.002848373667680244,-0.007890624999999993,-0.009375000000000022,-2.7755575615628914e-17,0.36660377358490565,False,False,8
Lee2019_MI,aligned_noise,0.15,2.0,leace_baseline,0.01577164811703358,-0.031251953125,-0.030000000000000013,-0.005000000000000018,0.4941745283018868,False,False,8
Lee2019_MI,aligned_noise,0.15,2.0,fair_conditional_leace_disjoint_router,0.0021748289781192143,-0.0074999999999999945,-0.008125000000000077,0.0006249999999999589,0.36591981132075474,False,False,8
Lee2019_MI,aligned_noise,0.15,3.0,leace_baseline,0.016077085790738428,-0.03140820312500001,-0.030000000000000013,-0.0062500000000000056,0.4941745283018868,False,False,8
Lee2019_MI,aligned_noise,0.15,3.0,fair_conditional_leace_disjoint_router,0.0018673357188239796,-0.008749999999999973,-0.008125000000000077,-4.163336342344337e-17,0.3655896226415094,False,False,8
Lee2019_MI,aligned_noise,0.25,0.5,leace_baseline,0.040868331488322,-0.05171874999999999,-0.007515625000000032,0.015,0.4959433962264151,False,False,8
Lee2019_MI,aligned_noise,0.25,0.5,fair_conditional_leace_disjoint_router,0.0035835454969983284,-0.009765624999999969,-0.0037500000000000033,0.001250000000000015,0.2711084905660377,False,False,8
Lee2019_MI,aligned_noise,0.25,1.0,leace_baseline,0.03903378015739823,-0.050078125000000015,-0.006249999999999992,0.015000000000000027,0.4959433962264151,False,False,8
