dataset,target_subject,alpha,D1_bacc,D3a_bacc,D1_minus_D3a_bacc
BNCI2014_001,1,1.0,0.3941,0.3993,-0.0052
BNCI2014_001,1,2.0,0.283,0.3611,-0.0781
BNCI2014_001,2,1.0,0.2622,0.2604,0.0017
BNCI2014_001,2,2.0,0.2708,0.2656,0.0052
BNCI2014_001,3,1.0,0.5,0.4896,0.0104
BNCI2014_001,3,2.0,0.4566,0.4896,-0.033
BNCI2014_001,4,1.0,0.3264,0.3368,-0.0104
BNCI2014_001,4,2.0,0.2986,0.3056,-0.0069
BNCI2014_001,5,1.0,0.2517,0.2517,0.0
BNCI2014_001,5,2.0,0.2517,0.2483,0.0035
BNCI2014_001,6,1.0,0.2847,0.2795,0.0052
BNCI2014_001,6,2.0,0.2847,0.283,0.0017
BNCI2014_001,7,1.0,0.2552,0.2552,0.0
BNCI2014_001,7,2.0,0.2604,0.2604,0.0
BNCI2014_001,8,1.0,0.4792,0.4826,-0.0035
BNCI2014_001,8,2.0,0.4306,0.4479,-0.0174
BNCI2014_001,9,1.0,0.3802,0.3837,-0.0035
BNCI2014_001,9,2.0,0.3837,0.3681,0.0156
BNCI2015_001,10,1.0,0.595,0.5017,0.0933
BNCI2015_001,10,2.0,0.5,0.5,0.0
BNCI2015_001,11,1.0,0.5083,0.515,-0.0067
BNCI2015_001,11,2.0,0.54,0.5117,0.0283
BNCI2015_001,12,1.0,0.515,0.515,0.0
BNCI2015_001,12,2.0,0.5025,0.5125,-0.01
BNCI2015_001,1,1.0,0.585,0.605,-0.02
BNCI2015_001,1,2.0,0.54,0.5475,-0.0075
BNCI2015_001,2,1.0,0.645,0.6775,-0.0325
BNCI2015_001,2,2.0,0.6025,0.5825,0.02
BNCI2015_001,3,1.0,0.6125,0.775,-0.1625
BNCI2015_001,3,2.0,0.685,0.6275,0.0575
BNCI2015_001,4,1.0,0.775,0.6325,0.1425
BNCI2015_001,4,2.0,0.745,0.5775,0.1675
BNCI2015_001,5,1.0,0.5775,0.545,0.0325
BNCI2015_001,5,2.0,0.7,0.5,0.2
BNCI2015_001,6,1.0,0.6175,0.62,-0.0025
BNCI2015_001,6,2.0,0.5875,0.5125,0.075
BNCI2015_001,7,1.0,0.525,0.5675,-0.0425
BNCI2015_001,7,2.0,0.5725,0.5,0.0725
BNCI2015_001,8,1.0,0.5133,0.5667,-0.0533
BNCI2015_001,8,2.0,0.515,0.5467,-0.0317
BNCI2015_001,9,1.0,0.5633,0.5233,0.04
BNCI2015_001,9,2.0,0.595,0.5,0.095
