dataset,target_subject,alpha,bacc_orig,bacc_injected,induced_harm,D0_exact_bacc,D0_recovery,D1_cf_adapter_bacc,D1_recovery,D2_taskorth_erase_bacc,D2_recovery,D3a_rand_adapter_bacc,D3a_recovery,D3b_randk_erase_bacc,D3b_recovery,D4_injected_bacc
BNCI2014_001,1,1.0,0.4045,0.4392,-0.0347,0.4045,1.0,0.3941,1.3,0.4653,-0.75,0.3993,1.15,0.4375,0.05,0.4392
BNCI2014_001,1,2.0,0.4045,0.3837,0.0208,0.4045,1.0,0.283,-4.8333,0.3819,-0.0833,0.3611,-1.0833,0.3837,0.0,0.3837
BNCI2014_001,2,1.0,0.283,0.2535,0.0295,0.283,1.0,0.2622,0.2941,0.2587,0.1765,0.2604,0.2353,0.2517,-0.0588,0.2535
BNCI2014_001,2,2.0,0.283,0.2587,0.0243,0.283,1.0,0.2708,0.5,0.2587,0.0,0.2656,0.2857,0.2639,0.2143,0.2587
BNCI2014_001,3,1.0,0.4826,0.4774,0.0052,0.4826,1.0,0.5,4.3333,0.4826,1.0,0.4896,2.3333,0.4774,0.0,0.4774
BNCI2014_001,3,2.0,0.4826,0.4653,0.0174,0.4826,1.0,0.4566,-0.5,0.4618,-0.2,0.4896,1.4,0.4601,-0.3,0.4653
BNCI2014_001,4,1.0,0.3472,0.3299,0.0174,0.3472,1.0,0.3264,-0.2,0.3385,0.5,0.3368,0.4,0.3403,0.6,0.3299
BNCI2014_001,4,2.0,0.3472,0.2934,0.0538,0.3472,1.0,0.2986,0.0968,0.2951,0.0323,0.3056,0.2258,0.2934,0.0,0.2934
BNCI2014_001,5,1.0,0.2535,0.2674,-0.0139,0.2535,1.0,0.2517,1.125,0.2674,-0.0,0.2517,1.125,0.2535,1.0,0.2674
BNCI2014_001,5,2.0,0.2535,0.2517,0.0017,0.2535,1.0,0.2517,0.0,0.2569,3.0,0.2483,-2.0,0.2587,4.0,0.2517
BNCI2014_001,6,1.0,0.2865,0.2778,0.0087,0.2865,1.0,0.2847,0.8,0.2726,-0.6,0.2795,0.2,0.2708,-0.8,0.2778
BNCI2014_001,6,2.0,0.2865,0.2691,0.0174,0.2865,1.0,0.2847,0.9,0.2708,0.1,0.283,0.8,0.2656,-0.2,0.2691
