dataset,target_subject,alpha,D1_consistency_pre,D1_consistency_post,D1_consistency_gain,D1_val_inj_task_bacc,D1_val_clean_task_drop
BNCI2014_001,1,1.0,18.157093,1.835987,16.321106,0.7604,0.0182
BNCI2014_001,1,2.0,69.480263,4.387373,65.09289,0.6502,0.079
BNCI2014_001,2,1.0,1.051963,0.294816,0.757147,0.7309,0.0113
BNCI2014_001,2,2.0,4.002644,0.496406,3.506238,0.6762,0.033
BNCI2014_001,3,1.0,0.029662,0.023561,0.006101,0.5703,-0.0035
BNCI2014_001,3,2.0,0.114316,0.028932,0.085384,0.5451,0.0391
BNCI2014_001,4,1.0,1.767054,0.311165,1.455888,0.8099,0.0174
BNCI2014_001,4,2.0,6.740427,0.518422,6.222006,0.7361,0.0469
BNCI2014_001,5,1.0,0.022168,0.016277,0.005892,0.678,-0.0009
BNCI2014_001,5,2.0,0.088276,0.042063,0.046213,0.658,0.0035
BNCI2014_001,6,1.0,0.039977,0.038169,0.001808,0.7014,-0.0122
BNCI2014_001,6,2.0,0.158202,0.093957,0.064244,0.6788,-0.0104
BNCI2014_001,7,1.0,0.400013,0.147327,0.252686,0.7717,0.0026
BNCI2014_001,7,2.0,1.560814,0.294069,1.266745,0.7431,0.0174
BNCI2014_001,8,1.0,0.03172,0.030409,0.00131,0.5738,-0.0043
BNCI2014_001,8,2.0,0.124489,0.112003,0.012486,0.5547,0.0009
BNCI2014_001,9,1.0,0.098106,0.047092,0.051013,0.6623,-0.0017
BNCI2014_001,9,2.0,0.380708,0.125709,0.255,0.638,0.0043
BNCI2015_001,10,1.0,0.37092,0.034416,0.336504,0.5925,-0.0119
BNCI2015_001,10,2.0,1.789257,0.109214,1.680042,0.5912,0.0656
BNCI2015_001,11,1.0,33.092602,1.188852,31.90375,0.7712,0.0481
BNCI2015_001,11,2.0,83.273964,12.89318,70.380784,0.6138,0.1931
BNCI2015_001,12,1.0,12.092648,0.729028,11.36362,0.8462,0.0356
BNCI2015_001,12,2.0,34.317978,2.200872,32.117105,0.7106,0.155
BNCI2015_001,1,1.0,0.03407,0.004489,0.029581,0.57,-0.0056
BNCI2015_001,1,2.0,0.137778,0.005149,0.132628,0.5494,0.0094
BNCI2015_001,2,1.0,0.015625,0.002734,0.012891,0.5606,0.0063
BNCI2015_001,2,2.0,0.075118,0.002243,0.072874,0.5456,0.0156
BNCI2015_001,3,1.0,0.812006,0.059474,0.752532,0.6631,0.0106
BNCI2015_001,3,2.0,2.823946,0.122071,2.701875,0.625,0.0131
BNCI2015_001,4,1.0,0.149518,0.017807,0.131711,0.6356,-0.0006
BNCI2015_001,4,2.0,0.602582,0.03428,0.568303,0.6069,0.0075
BNCI2015_001,5,1.0,0.500541,0.086836,0.413705,0.6119,-0.0275
BNCI2015_001,5,2.0,1.790796,0.173871,1.616925,0.6175,0.115
BNCI2015_001,6,1.0,1.518587,0.132602,1.385985,0.7106,0.0019
BNCI2015_001,6,2.0,5.252136,0.237282,5.014853,0.6494,0.0175
BNCI2015_001,7,1.0,0.708084,0.068129,0.639955,0.6737,0.0112
BNCI2015_001,7,2.0,2.595694,0.148873,2.446821,0.6212,0.0894
BNCI2015_001,8,1.0,0.075668,0.011875,0.063792,0.6664,0.0164
BNCI2015_001,8,2.0,0.289759,0.021854,0.267905,0.6457,0.0193
BNCI2015_001,9,1.0,1.482658,0.091676,1.390982,0.6736,0.0214
BNCI2015_001,9,2.0,5.153268,0.249261,4.904007,0.6436,0.1114
