dataset,target_subject,branch,ncls,n_src_subjects,n_val_subjects,val_subject_ids,margin,unit_class_shift,scale,c_target,pythonhashseed,K,hidden,epochs,lr,lam_cons,lam_l2,k_subspace
BNCI2014_001,1,spatial_z,4,8,2,6;7,4.2894,1.5542,2.7598,3,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,2,spatial_z,4,8,2,6;7,1.1181,1.0141,1.1025,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,3,spatial_z,4,8,2,6;7,0.2,0.2013,0.9937,3,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,4,spatial_z,4,8,2,6;7,1.5454,0.9025,1.7123,3,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,5,spatial_z,4,8,2,6;7,0.2,0.5263,0.38,2,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,6,spatial_z,4,8,2,6;7,0.2201,0.4653,0.473,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,7,spatial_z,4,8,2,6;7,0.7771,0.699,1.1118,2,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,8,spatial_z,4,8,2,6;7,0.2,0.3471,0.5763,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2014_001,9,spatial_z,4,8,2,6;7,0.321,0.4342,0.7394,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,10,spatial_z,2,11,3,8;9;10,0.5426,0.1586,3.4215,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,11,spatial_z,2,11,3,8;9;10,5.3539,1.0829,4.9442,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,12,spatial_z,2,11,3,8;9;10,3.6324,0.936,3.8806,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,1,spatial_z,2,11,3,8;9;10,0.2,0.1135,1.7616,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,2,spatial_z,2,11,3,8;9;10,0.2,0.0569,3.5153,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,3,spatial_z,2,11,3,8;9;10,0.8078,0.3283,2.4607,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,4,spatial_z,2,11,3,8;9;10,0.4236,0.2244,1.8876,1,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,5,spatial_z,2,11,3,8;9;10,0.6372,0.2693,2.3663,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,6,spatial_z,2,11,3,8;9;10,1.1581,0.5353,2.1633,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,7,spatial_z,2,11,3,8;9;10,0.729,0.2556,2.8522,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,8,spatial_z,2,11,3,8;9;10,0.2917,0.172,1.6964,0,0,4,64,150,0.001,1.0,1.0,2
BNCI2015_001,9,spatial_z,2,11,3,8;9;10,1.2353,0.4585,2.6943,0,0,4,64,150,0.001,1.0,1.0,2
