dataset,target_subject,seed,target_bacc,target_nll,target_ece,source_bacc
BNCI2014_001,1,0,0.40451,3.2108,0.46473,0.89381
BNCI2014_001,2,0,0.28299,2.76005,0.4619,0.68085
BNCI2014_001,3,0,0.48264,1.15122,0.03886,0.45777
BNCI2014_001,4,0,0.34722,1.90121,0.32257,0.78254
BNCI2014_001,5,0,0.25347,1.89654,0.33472,0.56106
BNCI2014_001,6,0,0.28646,1.84433,0.31462,0.57884
BNCI2014_001,7,0,0.25868,1.79144,0.31412,0.68947
BNCI2014_001,8,0,0.49653,1.1742,0.03594,0.55023
BNCI2014_001,9,0,0.41146,1.37945,0.15089,0.63015
BNCI2015_001,10,0,0.61667,0.65813,0.06225,0.67169
BNCI2015_001,11,0,0.50833,2.74718,0.43483,0.90614
BNCI2015_001,12,0,0.525,1.87787,0.38629,0.88996
BNCI2015_001,1,0,0.5925,0.65817,0.05187,0.61506
BNCI2015_001,2,0,0.6975,0.64146,0.1457,0.58198
BNCI2015_001,3,0,0.535,1.13449,0.37766,0.70392
BNCI2015_001,4,0,0.755,0.53613,0.08879,0.68909
BNCI2015_001,5,0,0.725,0.56438,0.08774,0.71911
BNCI2015_001,6,0,0.625,0.69779,0.16152,0.77567
BNCI2015_001,7,0,0.485,0.91194,0.28835,0.71308
BNCI2015_001,8,0,0.50167,0.7214,0.11532,0.71
BNCI2015_001,9,0,0.61667,0.78941,0.19331,0.7542
