dataset,target_subject,seed,branch,base_target_bacc,ablate_zero_target_bacc,ablation_drop,gate_weight
BNCI2014_001,1,0,graph_z,0.40451,0.53819,-0.13368,0.47475
BNCI2014_001,1,0,temporal_z,0.40451,0.45139,-0.04688,0.16987
BNCI2014_001,1,0,spatial_z,0.40451,0.28299,0.12153,0.35538
BNCI2014_001,2,0,graph_z,0.28299,0.27431,0.00868,0.19431
BNCI2014_001,2,0,temporal_z,0.28299,0.25868,0.02431,0.10575
BNCI2014_001,2,0,spatial_z,0.28299,0.26389,0.0191,0.69994
BNCI2014_001,3,0,graph_z,0.48264,0.51389,-0.03125,0.33332
BNCI2014_001,3,0,temporal_z,0.48264,0.50868,-0.02604,0.2282
BNCI2014_001,3,0,spatial_z,0.48264,0.32118,0.16146,0.43848
BNCI2014_001,4,0,graph_z,0.34722,0.39062,-0.0434,0.22698
BNCI2014_001,4,0,temporal_z,0.34722,0.36806,-0.02083,0.16787
BNCI2014_001,4,0,spatial_z,0.34722,0.24306,0.10417,0.60515
BNCI2014_001,5,0,graph_z,0.25347,0.26562,-0.01215,0.62979
BNCI2014_001,5,0,temporal_z,0.25347,0.25868,-0.00521,0.04852
BNCI2014_001,5,0,spatial_z,0.25347,0.25521,-0.00174,0.3217
BNCI2014_001,6,0,graph_z,0.28646,0.28125,0.00521,0.09273
BNCI2014_001,6,0,temporal_z,0.28646,0.31424,-0.02778,0.29885
BNCI2014_001,6,0,spatial_z,0.28646,0.24132,0.04514,0.60842
BNCI2014_001,7,0,graph_z,0.25868,0.30382,-0.04514,0.43807
BNCI2014_001,7,0,temporal_z,0.25868,0.26042,-0.00174,0.15788
BNCI2014_001,7,0,spatial_z,0.25868,0.28646,-0.02778,0.40404
BNCI2014_001,8,0,graph_z,0.49653,0.50521,-0.00868,0.12321
BNCI2014_001,8,0,temporal_z,0.49653,0.50174,-0.00521,0.38761
BNCI2014_001,8,0,spatial_z,0.49653,0.29861,0.19792,0.48918
BNCI2014_001,9,0,graph_z,0.41146,0.39236,0.0191,0.14834
BNCI2014_001,9,0,temporal_z,0.41146,0.46007,-0.04861,0.45429
BNCI2014_001,9,0,spatial_z,0.41146,0.26215,0.14931,0.39737
BNCI2015_001,10,0,graph_z,0.61667,0.62833,-0.01167,0.3803
BNCI2015_001,10,0,temporal_z,0.61667,0.60333,0.01333,0.22917
BNCI2015_001,10,0,spatial_z,0.61667,0.49167,0.125,0.39053
BNCI2015_001,11,0,graph_z,0.50833,0.49667,0.01167,0.37349
BNCI2015_001,11,0,temporal_z,0.50833,0.525,-0.01667,0.0972
BNCI2015_001,11,0,spatial_z,0.50833,0.53333,-0.025,0.5293
BNCI2015_001,12,0,graph_z,0.525,0.53,-0.005,0.40034
BNCI2015_001,12,0,temporal_z,0.525,0.5225,0.0025,0.13034
BNCI2015_001,12,0,spatial_z,0.525,0.5025,0.0225,0.46932
BNCI2015_001,1,0,graph_z,0.5925,0.61,-0.0175,0.372
BNCI2015_001,1,0,temporal_z,0.5925,0.6825,-0.09,0.28758
BNCI2015_001,1,0,spatial_z,0.5925,0.5175,0.075,0.34042
BNCI2015_001,2,0,graph_z,0.6975,0.7225,-0.025,0.46648
BNCI2015_001,2,0,temporal_z,0.6975,0.8125,-0.115,0.27614
BNCI2015_001,2,0,spatial_z,0.6975,0.565,0.1325,0.25738
BNCI2015_001,3,0,graph_z,0.535,0.5425,-0.0075,0.03914
BNCI2015_001,3,0,temporal_z,0.535,0.52,0.015,0.06495
BNCI2015_001,3,0,spatial_z,0.535,0.505,0.03,0.89591
BNCI2015_001,4,0,graph_z,0.755,0.7675,-0.0125,0.37326
BNCI2015_001,4,0,temporal_z,0.755,0.7475,0.0075,0.22501
BNCI2015_001,4,0,spatial_z,0.755,0.5075,0.2475,0.40173
BNCI2015_001,5,0,graph_z,0.725,0.765,-0.04,0.37606
BNCI2015_001,5,0,temporal_z,0.725,0.735,-0.01,0.1996
BNCI2015_001,5,0,spatial_z,0.725,0.515,0.21,0.42434
BNCI2015_001,6,0,graph_z,0.625,0.62,0.005,0.3604
BNCI2015_001,6,0,temporal_z,0.625,0.655,-0.03,0.14042
BNCI2015_001,6,0,spatial_z,0.625,0.5225,0.1025,0.49918
BNCI2015_001,7,0,graph_z,0.485,0.51,-0.025,0.49954
BNCI2015_001,7,0,temporal_z,0.485,0.4875,-0.0025,0.22102
BNCI2015_001,7,0,spatial_z,0.485,0.4875,-0.0025,0.27944
BNCI2015_001,8,0,graph_z,0.50167,0.5,0.00167,0.49725
BNCI2015_001,8,0,temporal_z,0.50167,0.495,0.00667,0.25678
BNCI2015_001,8,0,spatial_z,0.50167,0.51167,-0.01,0.24597
BNCI2015_001,9,0,graph_z,0.61667,0.63833,-0.02167,0.18428
BNCI2015_001,9,0,temporal_z,0.61667,0.595,0.02167,0.08176
BNCI2015_001,9,0,spatial_z,0.61667,0.5,0.11667,0.73396
