dataset,target_subject,seed,branch,probe_bacc,null_bacc,null_ratio,chance
BNCI2014_001,1,0,graph_z,0.3902,0.1252,1222.0,0.125
BNCI2014_001,1,0,temporal_z,0.5011,0.1303,71.2192,0.125
BNCI2014_001,1,0,spatial_z,0.9362,0.1275,320.4,0.125
BNCI2014_001,1,0,fused_z,0.6599,0.1275,217.5,0.125
BNCI2014_001,2,0,graph_z,0.5165,0.1235,391493.0556,0.125
BNCI2014_001,2,0,temporal_z,0.6363,0.1278,181.2308,0.125
BNCI2014_001,2,0,spatial_z,0.934,0.1219,809027.7778,0.125
BNCI2014_001,2,0,fused_z,0.7179,0.124,592881.9444,0.125
BNCI2014_001,3,0,graph_z,0.434,0.1261,284.8,0.125
BNCI2014_001,3,0,temporal_z,0.5883,0.1243,463324.6528,0.125
BNCI2014_001,3,0,spatial_z,0.8904,0.1246,765407.9861,0.125
BNCI2014_001,3,0,fused_z,0.7289,0.1302,115.9583,0.125
BNCI2014_001,4,0,graph_z,0.4058,0.1212,280815.9722,0.125
BNCI2014_001,4,0,temporal_z,0.5961,0.1259,542.75,0.125
BNCI2014_001,4,0,spatial_z,0.9514,0.1272,368.5161,0.125
BNCI2014_001,4,0,fused_z,0.7413,0.1178,616319.4444,0.125
BNCI2014_001,5,0,graph_z,0.4262,0.1216,301215.2778,0.125
BNCI2014_001,5,0,temporal_z,0.582,0.1275,180.5143,0.125
BNCI2014_001,5,0,spatial_z,0.9013,0.1251,5365.5,0.125
BNCI2014_001,5,0,fused_z,0.7559,0.1216,630859.375,0.125
BNCI2014_001,6,0,graph_z,0.4484,0.1222,323350.6944,0.125
BNCI2014_001,6,0,temporal_z,0.6035,0.1265,315.0,0.125
BNCI2014_001,6,0,spatial_z,0.9143,0.1239,789279.5139,0.125
BNCI2014_001,6,0,fused_z,0.7726,0.1286,179.04,0.125
BNCI2014_001,7,0,graph_z,0.4557,0.1295,73.7419,0.125
BNCI2014_001,7,0,temporal_z,0.6157,0.1217,490668.4028,0.125
BNCI2014_001,7,0,spatial_z,0.9601,0.1224,835069.4444,0.125
BNCI2014_001,7,0,fused_z,0.8201,0.1286,192.18,0.125
BNCI2014_001,8,0,graph_z,0.4744,0.1216,349392.3611,0.125
BNCI2014_001,8,0,temporal_z,0.587,0.1259,532.25,0.125
BNCI2014_001,8,0,spatial_z,0.8954,0.1267,443.75,0.125
BNCI2014_001,8,0,fused_z,0.7326,0.1276,233.3333,0.125
BNCI2014_001,9,0,graph_z,0.3453,0.1279,76.125,0.125
BNCI2014_001,9,0,temporal_z,0.5434,0.128,137.7143,0.125
BNCI2014_001,9,0,spatial_z,0.9197,0.1207,794704.8611,0.125
BNCI2014_001,9,0,fused_z,0.6662,0.1242,541232.6389,0.125
BNCI2015_001,10,0,graph_z,0.3462,0.0915,439.5652,0.0909
BNCI2015_001,10,0,temporal_z,0.3921,0.093,142.0,0.0909
BNCI2015_001,10,0,spatial_z,0.7891,0.0915,1105.92,0.0909
BNCI2015_001,10,0,fused_z,0.4913,0.089,400378.7879,0.0909
BNCI2015_001,11,0,graph_z,0.3095,0.0873,218636.3636,0.0909
BNCI2015_001,11,0,temporal_z,0.3779,0.0923,202.9286,0.0909
BNCI2015_001,11,0,spatial_z,0.8445,0.0905,753560.6061,0.0909
BNCI2015_001,11,0,fused_z,0.5892,0.0912,1973.4,0.0909
BNCI2015_001,12,0,graph_z,0.3283,0.0933,97.9375,0.0909
BNCI2015_001,12,0,temporal_z,0.3932,0.0873,302272.7273,0.0909
BNCI2015_001,12,0,spatial_z,0.8249,0.0901,734015.1515,0.0909
BNCI2015_001,12,0,fused_z,0.5898,0.0904,498939.3939,0.0909
BNCI2015_001,1,0,graph_z,0.2602,0.0894,169242.4242,0.0909
BNCI2015_001,1,0,temporal_z,0.4186,0.0924,219.9153,0.0909
BNCI2015_001,1,0,spatial_z,0.8351,0.09,744166.6667,0.0909
BNCI2015_001,1,0,fused_z,0.5968,0.0891,505909.0909,0.0909
BNCI2015_001,2,0,graph_z,0.2003,0.0877,109393.9394,0.0909
BNCI2015_001,2,0,temporal_z,0.4031,0.0878,312196.9697,0.0909
BNCI2015_001,2,0,spatial_z,0.822,0.089,731136.3636,0.0909
BNCI2015_001,2,0,fused_z,0.4895,0.0903,398560.6061,0.0909
BNCI2015_001,3,0,graph_z,0.3348,0.0909,243863.6364,0.0909
BNCI2015_001,3,0,temporal_z,0.3937,0.0871,302803.0303,0.0909
BNCI2015_001,3,0,spatial_z,0.8221,0.0919,762.0,0.0909
BNCI2015_001,3,0,fused_z,0.5598,0.0914,884.1429,0.0909
BNCI2015_001,4,0,graph_z,0.2853,0.0902,194393.9394,0.0909
BNCI2015_001,4,0,temporal_z,0.416,0.0913,858.2,0.0909
BNCI2015_001,4,0,spatial_z,0.8052,0.0906,714318.1818,0.0909
BNCI2015_001,4,0,fused_z,0.5659,0.0916,648.6207,0.0909
BNCI2015_001,5,0,graph_z,0.3139,0.0914,420.4286,0.0909
BNCI2015_001,5,0,temporal_z,0.4204,0.0913,931.9286,0.0909
BNCI2015_001,5,0,spatial_z,0.7942,0.0956,149.7419,0.0909
BNCI2015_001,5,0,fused_z,0.5222,0.0907,431287.8788,0.0909
BNCI2015_001,6,0,graph_z,0.3484,0.0918,299.9118,0.0909
BNCI2015_001,6,0,temporal_z,0.4924,0.0909,15900.0,0.0909
BNCI2015_001,6,0,spatial_z,0.8379,0.092,672.2727,0.0909
BNCI2015_001,6,0,fused_z,0.6036,0.0905,512727.2727,0.0909
