dataset,target_subject,seed,branch,bacc_orig,task_drop,task_drop_random,logit_symkl,logit_symkl_random,subspace_k
BNCI2014_001,1,0,graph_z,0.40451,-0.04167,-0.00694,1.14364,0.01234,2
BNCI2014_001,1,0,temporal_z,0.40451,-0.03472,-0.00347,0.31477,0.03395,2
BNCI2014_001,1,0,spatial_z,0.40451,-0.00174,-0.0191,1.4796,0.02688,2
BNCI2014_001,2,0,graph_z,0.28299,0.0191,0.00694,0.61954,0.00398,2
BNCI2014_001,2,0,temporal_z,0.28299,0.00347,0.00347,0.05573,0.00137,2
BNCI2014_001,2,0,spatial_z,0.28299,-0.00174,0.00694,1.63581,0.00581,2
BNCI2014_001,3,0,graph_z,0.48264,-0.03472,0.00521,0.02139,6e-05,2
BNCI2014_001,3,0,temporal_z,0.48264,-0.00347,0.00521,0.07761,0.00108,2
BNCI2014_001,3,0,spatial_z,0.48264,0.02257,-0.01389,0.0654,0.00352,2
BNCI2014_001,4,0,graph_z,0.34722,-0.02951,0.0,0.23156,0.00028,2
BNCI2014_001,4,0,temporal_z,0.34722,-0.02431,-0.00521,0.10606,0.01243,2
BNCI2014_001,4,0,spatial_z,0.34722,0.0191,-0.00174,0.46881,0.00907,2
BNCI2014_001,5,0,graph_z,0.25347,-0.01736,0.0,0.22301,0.00025,2
BNCI2014_001,5,0,temporal_z,0.25347,0.0,-0.00347,0.01856,0.00037,2
BNCI2014_001,5,0,spatial_z,0.25347,-0.02604,-0.00347,0.71348,0.02034,2
BNCI2014_001,6,0,graph_z,0.28646,-0.00521,0.0,0.0283,0.00035,2
BNCI2014_001,6,0,temporal_z,0.28646,0.00521,0.00174,0.05576,0.00361,2
BNCI2014_001,6,0,spatial_z,0.28646,0.01215,-0.00174,0.2283,0.00024,2
BNCI2014_001,7,0,graph_z,0.25868,-0.03472,-0.00174,0.18853,0.01201,2
BNCI2014_001,7,0,temporal_z,0.25868,-0.0191,0.00868,0.06114,0.00505,2
BNCI2014_001,7,0,spatial_z,0.25868,-0.01215,0.0,0.23444,0.00533,2
BNCI2014_001,8,0,graph_z,0.49653,-0.00521,0.0,0.02486,2e-05,2
BNCI2014_001,8,0,temporal_z,0.49653,0.04688,-0.00347,0.09729,0.00143,2
BNCI2014_001,8,0,spatial_z,0.49653,0.02778,0.01563,0.25139,0.01077,2
BNCI2014_001,9,0,graph_z,0.41146,0.02431,0.00174,0.04705,0.0009,2
BNCI2014_001,9,0,temporal_z,0.41146,-0.03646,-0.00868,0.08787,0.02393,2
BNCI2014_001,9,0,spatial_z,0.41146,0.09549,0.00174,0.3127,0.00051,2
BNCI2015_001,10,0,graph_z,0.61667,-0.01,0.0,0.01476,1e-05,2
BNCI2015_001,10,0,temporal_z,0.61667,0.00833,-0.00167,0.00766,5e-05,2
BNCI2015_001,10,0,spatial_z,0.61667,0.08333,-0.00167,0.16104,0.0001,2
BNCI2015_001,11,0,graph_z,0.50833,0.01,0.00333,1.04353,0.00115,2
BNCI2015_001,11,0,temporal_z,0.50833,-0.02,0.01333,0.38692,0.03558,2
BNCI2015_001,11,0,spatial_z,0.50833,-0.025,0.00167,0.68023,0.0016,2
BNCI2015_001,12,0,graph_z,0.525,-0.0025,0.0025,0.81271,0.00354,2
BNCI2015_001,12,0,temporal_z,0.525,-0.0075,0.0075,0.06163,0.01038,2
BNCI2015_001,12,0,spatial_z,0.525,-0.0275,0.005,0.35628,0.00116,2
BNCI2015_001,1,0,graph_z,0.5925,-0.015,0.0,0.00077,0.0,2
BNCI2015_001,1,0,temporal_z,0.5925,-0.0575,0.0025,0.00585,2e-05,2
BNCI2015_001,1,0,spatial_z,0.5925,0.0525,0.0025,0.00304,0.0,2
BNCI2015_001,2,0,graph_z,0.6975,-0.02,-0.0025,0.00033,2e-05,2
BNCI2015_001,2,0,temporal_z,0.6975,-0.04,-0.005,0.01055,5e-05,2
BNCI2015_001,2,0,spatial_z,0.6975,0.11,0.015,0.00521,7e-05,2
BNCI2015_001,3,0,graph_z,0.535,-0.0075,0.0,0.00814,6e-05,2
BNCI2015_001,3,0,temporal_z,0.535,0.01,0.0,0.00446,7e-05,2
BNCI2015_001,3,0,spatial_z,0.535,-0.0125,-0.02,1.70442,0.01221,2
BNCI2015_001,4,0,graph_z,0.755,-0.0025,0.0,0.0117,0.0,2
BNCI2015_001,4,0,temporal_z,0.755,0.0025,0.0,0.00076,0.00016,2
BNCI2015_001,4,0,spatial_z,0.755,0.1525,0.005,0.13043,0.00075,2
BNCI2015_001,5,0,graph_z,0.725,-0.04,-0.005,0.02635,5e-05,2
BNCI2015_001,5,0,temporal_z,0.725,0.0075,0.0,0.00852,0.00013,2
BNCI2015_001,5,0,spatial_z,0.725,0.13,-0.0225,0.08983,0.0036,2
BNCI2015_001,6,0,graph_z,0.625,0.0075,0.0,0.11909,3e-05,2
BNCI2015_001,6,0,temporal_z,0.625,-0.0175,0.0,0.04544,0.00209,2
BNCI2015_001,6,0,spatial_z,0.625,0.0575,-0.005,0.30127,0.00058,2
BNCI2015_001,7,0,graph_z,0.485,-0.025,0.0025,0.10531,0.00059,2
BNCI2015_001,7,0,temporal_z,0.485,-0.0075,-0.0025,0.01321,8e-05,2
BNCI2015_001,7,0,spatial_z,0.485,-0.01,0.0,0.06807,0.00011,2
BNCI2015_001,8,0,graph_z,0.50167,0.00333,0.00333,0.00661,0.00017,2
BNCI2015_001,8,0,temporal_z,0.50167,0.00333,0.00333,0.00331,1e-05,2
BNCI2015_001,8,0,spatial_z,0.50167,-0.025,-0.00167,0.08406,0.0003,2
BNCI2015_001,9,0,graph_z,0.61667,-0.01833,0.0,0.10432,3e-05,2
BNCI2015_001,9,0,temporal_z,0.61667,0.02833,-0.00167,0.01582,0.00054,2
BNCI2015_001,9,0,spatial_z,0.61667,0.11333,0.01167,0.23103,0.00532,2
