tag,role,budget_h,seed,immutable_path,immutable_sha256,feature_hash,selection_metric,provenance_status
random,random_init_reference,NA,0,random_init_contract://sha256_bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,e4b5f700795990df0045e2be6cd18d89548c930475e5df0f70f35e0f71f7f558,not_applicable,PASS_DETERMINISTIC_CONTRACT
released,released_reference,NA,NA,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178.pt,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,e8d236c8f13aeb640ff60b8225906ff14f3ea31146064223ca9bb1d4df86736a,not_applicable,PASS_REFERENCE_ONLY
H200_s0,route_b_checkpoint,200.0,0,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63.pt,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,594ac2b815637987d947942679e9d8e2204e14609fabbee748b7fe3d550d0800,pretrain_val_loss_only,PASS
H200_s1,route_b_checkpoint,200.0,1,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736.pt,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,202ee7c1c308dcbfec6e422382484217a75f3e5c188825c6cc78bc240c2ebdeb,pretrain_val_loss_only,PASS
H500_s0,route_b_checkpoint,500.0,0,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549.pt,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,7d5c60b5423e72935e536583774f540acd7195c3ed6d46f6ce006b32cb70554f,pretrain_val_loss_only,PASS
H500_s1,route_b_checkpoint,500.0,1,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a.pt,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,242516d21dd60b1acde9ed16a53fcdde61a3881d4563bce423fc4e9416703bc5,pretrain_val_loss_only,PASS
H1000_s0,route_b_checkpoint,1000.0,0,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d.pt,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,09b28f40ea465fc5e0b39fae5be93ed877a79ebef3467f463df530baa7d17b6a,pretrain_val_loss_only,PASS
H1000_s1,route_b_checkpoint,1000.0,1,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_phase_b_checkpoints/sha256_b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43.pt,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,d50185d13c3bdfa5b535f7d4d6d918003b6b068300f340f62b08870a8fe15c6e,pretrain_val_loss_only,PASS
H2000_s0,route_b_checkpoint,2000.0,0,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_33ch_b1_immutable/H2000_s0/best.3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb.pth,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,0849982ffbe9c4a3d00a4b98c741dfc4878a88000304264feadf66fddbe016db,pretrain_val_loss_only,PASS
H2000_s1,route_b_checkpoint,2000.0,1,${PHASE_B_ARTIFACT_ROOT}/results/s2p_route_b_33ch_b1_immutable/H2000_s1/best.492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f.pth,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,0bc1ab035795bad4cc6098899ad35ec33334fdf4ec10b47cdf982a883741657c,pretrain_val_loss_only,PASS
