tag,expected_sha256,observed_sha256,size_bytes,mode,path_contract_pass,hash_pass,strict_reload_closed,feature_equivalence_closed
random,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,bd692ccd0d900b2de04f9a433fc1ce3e68015d61e874e15f2158cbdd314c6641,NA,logical_contract,True,True,True,True
released,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,19775842,0o444,True,True,True,True
H200_s0,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,59309689,0o444,True,True,True,True
H200_s1,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,59309689,0o444,True,True,True,True
H500_s0,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,59309689,0o444,True,True,True,True
H500_s1,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,59309689,0o444,True,True,True,True
H1000_s0,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,59309689,0o444,True,True,True,True
H1000_s1,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,59309689,0o444,True,True,True,True
H2000_s0,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,59309689,0o444,True,True,True,True
H2000_s1,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,59309689,0o444,True,True,True,True
