subject,sequence,chronological_epoch_start,chronological_epoch_end,shape,label_shape,classes_present,sequence_path,label_path,sequence_contract_pass
1,0,0,19,20;6;6000,20,0,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-0.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-0.npy,True
1,1,20,39,20;6;6000,20,0;1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-1.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-1.npy,True
1,2,40,59,20;6;6000,20,0;1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-2.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-2.npy,True
1,3,60,79,20;6;6000,20,0;1,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-3.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-3.npy,True
1,4,80,99,20;6;6000,20,0;1;2;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-4.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-4.npy,True
1,5,100,119,20;6;6000,20,0;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-5.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-5.npy,True
1,6,120,139,20;6;6000,20,0;1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-6.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-6.npy,True
1,7,140,159,20;6;6000,20,0;1;2;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-7.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-7.npy,True
1,8,160,179,20;6;6000,20,0;1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-8.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-8.npy,True
1,9,180,199,20;6;6000,20,0;1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-9.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-9.npy,True
1,10,200,219,20;6;6000,20,0;1;2;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-10.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-10.npy,True
1,11,220,239,20;6;6000,20,2;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-11.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-11.npy,True
1,12,240,259,20;6;6000,20,0;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-12.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-12.npy,True
1,13,260,279,20;6;6000,20,1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-13.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-13.npy,True
1,14,280,299,20;6;6000,20,0;1;2;4,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-14.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-14.npy,True
1,15,300,319,20;6;6000,20,0;1;2;4,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-15.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-15.npy,True
1,16,320,339,20;6;6000,20,0;1;2,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-16.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-16.npy,True
1,17,340,359,20;6;6000,20,1;2;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-17.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-17.npy,True
1,18,360,379,20;6;6000,20,3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-18.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-18.npy,True
1,19,380,399,20;6;6000,20,0;1;2;3,${ISRUC_PROCESSED_ROOT}/seq/ISRUC-group3-1/ISRUC-group3-1-19.npy,${ISRUC_PROCESSED_ROOT}/labels/ISRUC-group3-1/ISRUC-group3-1-19.npy,True
