trial_id,subject,session,record,trial,split,label,windows,first_window,last_window,trial_label_constant,window_chronology_contiguous
10_1_20180507.cnt-0,10,1,10_1_20180507.cnt,0,train,4,72,0,71,True,True
10_1_20180507.cnt-1,10,1,10_1_20180507.cnt,1,train,1,96,0,95,True,True
10_1_20180507.cnt-2,10,1,10_1_20180507.cnt,2,train,3,237,0,236,True,True
10_1_20180507.cnt-3,10,1,10_1_20180507.cnt,3,train,2,187,0,186,True,True
10_1_20180507.cnt-4,10,1,10_1_20180507.cnt,4,train,0,147,0,146,True,True
10_1_20180507.cnt-5,10,1,10_1_20180507.cnt,5,val,4,258,0,257,True,True
10_1_20180507.cnt-6,10,1,10_1_20180507.cnt,6,val,1,297,0,296,True,True
10_1_20180507.cnt-7,10,1,10_1_20180507.cnt,7,val,3,69,0,68,True,True
10_1_20180507.cnt-8,10,1,10_1_20180507.cnt,8,val,2,264,0,263,True,True
10_1_20180507.cnt-9,10,1,10_1_20180507.cnt,9,val,0,141,0,140,True,True
10_1_20180507.cnt-10,10,1,10_1_20180507.cnt,10,test,4,174,0,173,True,True
10_1_20180507.cnt-11,10,1,10_1_20180507.cnt,11,test,1,172,0,171,True,True
10_1_20180507.cnt-12,10,1,10_1_20180507.cnt,12,test,3,234,0,233,True,True
10_1_20180507.cnt-13,10,1,10_1_20180507.cnt,13,test,2,240,0,239,True,True
10_1_20180507.cnt-14,10,1,10_1_20180507.cnt,14,test,0,155,0,154,True,True
10_2_20180524.cnt-0,10,2,10_2_20180524.cnt,0,train,2,237,0,236,True,True
10_2_20180524.cnt-1,10,2,10_2_20180524.cnt,1,train,1,189,0,188,True,True
10_2_20180524.cnt-2,10,2,10_2_20180524.cnt,2,train,3,66,0,65,True,True
10_2_20180524.cnt-3,10,2,10_2_20180524.cnt,3,train,0,127,0,126,True,True
10_2_20180524.cnt-4,10,2,10_2_20180524.cnt,4,train,4,131,0,130,True,True
10_2_20180524.cnt-5,10,2,10_2_20180524.cnt,5,val,4,59,0,58,True,True
10_2_20180524.cnt-6,10,2,10_2_20180524.cnt,6,val,0,240,0,239,True,True
10_2_20180524.cnt-7,10,2,10_2_20180524.cnt,7,val,3,230,0,229,True,True
10_2_20180524.cnt-8,10,2,10_2_20180524.cnt,8,val,2,120,0,119,True,True
10_2_20180524.cnt-9,10,2,10_2_20180524.cnt,9,val,1,99,0,98,True,True
10_2_20180524.cnt-10,10,2,10_2_20180524.cnt,10,test,3,187,0,186,True,True
10_2_20180524.cnt-11,10,2,10_2_20180524.cnt,11,test,4,116,0,115,True,True
10_2_20180524.cnt-12,10,2,10_2_20180524.cnt,12,test,1,95,0,94,True,True
10_2_20180524.cnt-13,10,2,10_2_20180524.cnt,13,test,2,219,0,218,True,True
10_2_20180524.cnt-14,10,2,10_2_20180524.cnt,14,test,0,76,0,75,True,True
10_3_20180626.cnt-0,10,3,10_3_20180626.cnt,0,train,2,291,0,290,True,True
10_3_20180626.cnt-1,10,3,10_3_20180626.cnt,1,train,1,65,0,64,True,True
10_3_20180626.cnt-2,10,3,10_3_20180626.cnt,2,train,3,165,0,164,True,True
10_3_20180626.cnt-3,10,3,10_3_20180626.cnt,3,train,0,90,0,89,True,True
10_3_20180626.cnt-4,10,3,10_3_20180626.cnt,4,train,4,52,0,51,True,True
10_3_20180626.cnt-5,10,3,10_3_20180626.cnt,5,val,4,239,0,238,True,True
10_3_20180626.cnt-6,10,3,10_3_20180626.cnt,6,val,0,84,0,83,True,True
10_3_20180626.cnt-7,10,3,10_3_20180626.cnt,7,val,3,72,0,71,True,True
10_3_20180626.cnt-8,10,3,10_3_20180626.cnt,8,val,2,228,0,227,True,True
10_3_20180626.cnt-9,10,3,10_3_20180626.cnt,9,val,1,285,0,284,True,True
10_3_20180626.cnt-10,10,3,10_3_20180626.cnt,10,test,3,220,0,219,True,True
10_3_20180626.cnt-11,10,3,10_3_20180626.cnt,11,test,4,118,0,117,True,True
10_3_20180626.cnt-12,10,3,10_3_20180626.cnt,12,test,1,207,0,206,True,True
10_3_20180626.cnt-13,10,3,10_3_20180626.cnt,13,test,2,131,0,130,True,True
10_3_20180626.cnt-14,10,3,10_3_20180626.cnt,14,test,0,178,0,177,True,True
11_1_20180510.cnt-0,11,1,11_1_20180510.cnt,0,train,4,72,0,71,True,True
11_1_20180510.cnt-1,11,1,11_1_20180510.cnt,1,train,1,96,0,95,True,True
11_1_20180510.cnt-2,11,1,11_1_20180510.cnt,2,train,3,237,0,236,True,True
11_1_20180510.cnt-3,11,1,11_1_20180510.cnt,3,train,2,187,0,186,True,True
11_1_20180510.cnt-4,11,1,11_1_20180510.cnt,4,train,0,147,0,146,True,True
11_1_20180510.cnt-5,11,1,11_1_20180510.cnt,5,val,4,258,0,257,True,True
11_1_20180510.cnt-6,11,1,11_1_20180510.cnt,6,val,1,297,0,296,True,True
11_1_20180510.cnt-7,11,1,11_1_20180510.cnt,7,val,3,69,0,68,True,True
11_1_20180510.cnt-8,11,1,11_1_20180510.cnt,8,val,2,264,0,263,True,True
11_1_20180510.cnt-9,11,1,11_1_20180510.cnt,9,val,0,141,0,140,True,True
11_1_20180510.cnt-10,11,1,11_1_20180510.cnt,10,test,4,174,0,173,True,True
11_1_20180510.cnt-11,11,1,11_1_20180510.cnt,11,test,1,172,0,171,True,True
11_1_20180510.cnt-12,11,1,11_1_20180510.cnt,12,test,3,234,0,233,True,True
11_1_20180510.cnt-13,11,1,11_1_20180510.cnt,13,test,2,240,0,239,True,True
11_1_20180510.cnt-14,11,1,11_1_20180510.cnt,14,test,0,155,0,154,True,True
11_2_20180508.cnt-0,11,2,11_2_20180508.cnt,0,train,2,237,0,236,True,True
11_2_20180508.cnt-1,11,2,11_2_20180508.cnt,1,train,1,189,0,188,True,True
11_2_20180508.cnt-2,11,2,11_2_20180508.cnt,2,train,3,66,0,65,True,True
11_2_20180508.cnt-3,11,2,11_2_20180508.cnt,3,train,0,127,0,126,True,True
11_2_20180508.cnt-4,11,2,11_2_20180508.cnt,4,train,4,131,0,130,True,True
11_2_20180508.cnt-5,11,2,11_2_20180508.cnt,5,val,4,59,0,58,True,True
11_2_20180508.cnt-6,11,2,11_2_20180508.cnt,6,val,0,240,0,239,True,True
11_2_20180508.cnt-7,11,2,11_2_20180508.cnt,7,val,3,230,0,229,True,True
11_2_20180508.cnt-8,11,2,11_2_20180508.cnt,8,val,2,120,0,119,True,True
11_2_20180508.cnt-9,11,2,11_2_20180508.cnt,9,val,1,99,0,98,True,True
11_2_20180508.cnt-10,11,2,11_2_20180508.cnt,10,test,3,187,0,186,True,True
11_2_20180508.cnt-11,11,2,11_2_20180508.cnt,11,test,4,116,0,115,True,True
11_2_20180508.cnt-12,11,2,11_2_20180508.cnt,12,test,1,95,0,94,True,True
11_2_20180508.cnt-13,11,2,11_2_20180508.cnt,13,test,2,219,0,218,True,True
11_2_20180508.cnt-14,11,2,11_2_20180508.cnt,14,test,0,76,0,75,True,True
11_3_20180522.cnt-0,11,3,11_3_20180522.cnt,0,train,2,291,0,290,True,True
11_3_20180522.cnt-1,11,3,11_3_20180522.cnt,1,train,1,65,0,64,True,True
11_3_20180522.cnt-2,11,3,11_3_20180522.cnt,2,train,3,165,0,164,True,True
11_3_20180522.cnt-3,11,3,11_3_20180522.cnt,3,train,0,90,0,89,True,True
11_3_20180522.cnt-4,11,3,11_3_20180522.cnt,4,train,4,52,0,51,True,True
11_3_20180522.cnt-5,11,3,11_3_20180522.cnt,5,val,4,239,0,238,True,True
11_3_20180522.cnt-6,11,3,11_3_20180522.cnt,6,val,0,84,0,83,True,True
11_3_20180522.cnt-7,11,3,11_3_20180522.cnt,7,val,3,72,0,71,True,True
11_3_20180522.cnt-8,11,3,11_3_20180522.cnt,8,val,2,228,0,227,True,True
