tag,source_val_kappa,random_source_val_kappa,task_gate_pass
random,0.06914893617021278,0.06914893617021278,False
released,0.13829787234042556,0.06914893617021278,True
H200_s0,0.015957446808510634,0.06914893617021278,False
H200_s1,0.04255319148936165,0.06914893617021278,False
H500_s0,0.0478723404255319,0.06914893617021278,False
H500_s1,0.11170212765957444,0.06914893617021278,True
H1000_s0,0.1542553191489362,0.06914893617021278,True
H1000_s1,0.13297872340425532,0.06914893617021278,True
H2000_s0,0.07446808510638303,0.06914893617021278,False
H2000_s1,0.05319148936170215,0.06914893617021278,False
