tag,dataset,information_regime,subject_task_projection_overlap,task_subspace_rank,subject_subspace_rank,baseline_source_val_kappa,baseline_target_kappa
random,seedv,global_oracle,0.5925448499692649,4,15,0.06914893617021278,0.021276595744680882
random,seedv,source_only,0.5539995963480712,4,15,0.06914893617021278,0.021276595744680882
released,seedv,global_oracle,0.8760988417234958,4,15,0.13829787234042556,0.17553191489361697
released,seedv,source_only,0.8771266045367845,4,15,0.13829787234042556,0.17553191489361697
H200_s0,seedv,global_oracle,0.7859111833186636,4,15,0.015957446808510634,0.06914893617021278
H200_s0,seedv,source_only,0.7760461116052484,4,15,0.015957446808510634,0.06914893617021278
H200_s1,seedv,global_oracle,0.833632406280086,4,15,0.04255319148936165,0.12234042553191493
H200_s1,seedv,source_only,0.8345620824666493,4,15,0.04255319148936165,0.12234042553191493
H500_s0,seedv,global_oracle,0.7754345678365799,4,15,0.0478723404255319,0.09042553191489366
H500_s0,seedv,source_only,0.7500294826288371,4,15,0.0478723404255319,0.09042553191489366
H500_s1,seedv,global_oracle,0.8127979309888959,4,15,0.11170212765957444,0.08510638297872342
H500_s1,seedv,source_only,0.7825598359535413,4,15,0.11170212765957444,0.08510638297872342
H1000_s0,seedv,global_oracle,0.8180869653429479,4,15,0.1542553191489362,0.09042553191489366
H1000_s0,seedv,source_only,0.8166669380665161,4,15,0.1542553191489362,0.09042553191489366
H1000_s1,seedv,global_oracle,0.8071721333622788,4,15,0.13297872340425532,0.037234042553191515
H1000_s1,seedv,source_only,0.7991263050636067,4,15,0.13297872340425532,0.037234042553191515
H2000_s0,seedv,global_oracle,0.7229488219351122,4,15,0.07446808510638303,0.07446808510638303
H2000_s0,seedv,source_only,0.7303716143266689,4,15,0.07446808510638303,0.07446808510638303
H2000_s1,seedv,global_oracle,0.7545062899514909,4,15,0.05319148936170215,0.15957446808510634
H2000_s1,seedv,source_only,0.7561142870992038,4,15,0.05319148936170215,0.15957446808510634
