tag,dataset,endpoint,information_regime,removal_kind,rank,cohen_kappa,balanced_accuracy,nll,n_units,prediction_sha256,delta_kappa_vs_unchanged,delta_bacc_vs_unchanged,delta_nll_vs_unchanged,fit_removed_energy_fraction,source_removed_energy_fraction,target_removed_energy_fraction
random,seedv,fresh_head,source_only,unchanged,0,0.021276595744680882,0.21702127659574466,2.618382512712442,235,d023b271fb2120dbe589f198d680148bb94e1dcd295137ab891ade28a13a34f0,0.0,0.0,0.0,0.0,0.0,0.0
random,seedv,exact_head,source_only,unchanged,0,0.021276595744680882,0.21702127659574466,2.618382512712442,235,d023b271fb2120dbe589f198d680148bb94e1dcd295137ab891ade28a13a34f0,0.0,0.0,0.0,0.0,0.0,0.0
random,seedv,fresh_head,global_oracle,subject_leace,15,0.0,0.19999999999999996,2.9956824652860483,235,b70d60781904b51987d159a3a917545621f6a30de0ed70ab190e1a75ee23c950,-0.021276595744680882,-0.017021276595744705,0.3772999525736065,0.47730191533749433,0.450476117385783,0.5019183142258665
random,seedv,exact_head,global_oracle,subject_leace,15,-0.037234042553191404,0.17021276595744678,2.5643947834790692,235,6d5e65a00e40c7e00a8d49439b689ad7a7e7d54141a965f1123d71b5f5a2818e,-0.058510638297872286,-0.046808510638297884,-0.05398772923337258,0.47730191533749433,0.450476117385783,0.5019183142258665
random,seedv,fresh_head,source_only,subject_leace,15,0.037234042553191515,0.22978723404255322,3.0620988280652015,235,80ff0a417ab1230e2b63153949f1df3912198e8e021d1595bfb498f8481f4544,0.015957446808510634,0.012765957446808557,0.4437163153527597,0.4741687009643209,0.4741687009643209,0.5329861340625608
random,seedv,exact_head,source_only,subject_leace,15,0.010638297872340385,0.20851063829787236,2.6040738599208773,235,594ddf196962b36faa67fbf925e0dbc25c4d6bdf3c6e3fd211b9e091ffd7a12e,-0.010638297872340496,-0.008510638297872297,-0.014308652791564569,0.4741687009643209,0.4741687009643209,0.5329861340625608
released,seedv,fresh_head,source_only,unchanged,0,0.17553191489361697,0.34042553191489355,1.6052167410854656,235,64182aa95b774cb5601327363a2e97631bea89ea3dff3f4d3f052e660466bf9e,0.0,0.0,0.0,0.0,0.0,0.0
released,seedv,exact_head,source_only,unchanged,0,0.17553191489361697,0.34042553191489355,1.6052167410854656,235,64182aa95b774cb5601327363a2e97631bea89ea3dff3f4d3f052e660466bf9e,0.0,0.0,0.0,0.0,0.0,0.0
released,seedv,fresh_head,global_oracle,subject_leace,15,0.19148936170212771,0.3531914893617021,1.9082327256370542,235,dc31640c60e1f4831f5df7a2ddfb8aa5bdf1f37368774fe8af1453f9eda9757c,0.015957446808510745,0.012765957446808529,0.3030159845515885,0.8775891837957349,0.8554065423564968,0.8910457063041474
released,seedv,exact_head,global_oracle,subject_leace,15,0.13297872340425532,0.30638297872340425,1.5463275548321413,235,262636b4a32c0d4bfc61e17cf3065d1bd32c37a5a57b5530010dfbfc8b585a48,-0.04255319148936165,-0.0340425531914893,-0.05888918625332429,0.8775891837957349,0.8554065423564968,0.8910457063041474
