tag,dataset,information_regime,source_axis_rank,target_axis_rank,normalized_projection_overlap,principal_angle_mean_deg,principal_angle_min_deg,principal_angle_max_deg,target_subject_scatter_removed_fraction,target_subject_decode_pre,target_subject_decode_post,fit_removed_energy_fraction,source_removed_energy_fraction,target_removed_energy_fraction
random,seedv,source_only,15,15,0.576580376650832,39.711207508910576,3.3063855127596327,84.69283792378042,0.878514902812987,0.69375,0.04583333333333333,0.4741687009643209,0.4741687009643209,0.5329861340625608
released,seedv,source_only,15,15,0.8412598303384485,18.237534223434576,0.3200285809376981,55.130751113327065,0.9892835285795126,0.9208333333333334,0.07916666666666666,0.8963846482939047,0.8963846482939047,0.9182110401388522
H200_s0,seedv,source_only,15,15,0.7041444809848749,28.999789394245884,0.5108715236987702,84.92158712417408,0.9827107788792843,0.8375,0.08333333333333334,0.8631723376602942,0.8631723376602942,0.8925584696767881
H200_s1,seedv,source_only,15,15,0.7170568058819768,28.63036683097323,0.6091708248121183,87.09354328531052,0.9861249015120199,0.775,0.04583333333333334,0.8852505945221986,0.8852505945221986,0.9040605834269504
H500_s0,seedv,source_only,15,15,0.6846303904294925,30.215253080775053,1.2340677381488112,70.19114384217788,0.9713871825959792,0.9083333333333334,0.0625,0.8094693529813297,0.8094693529813297,0.8368721290565585
H500_s1,seedv,source_only,15,15,0.7333871742127378,26.49997043241387,0.7040763438983493,81.79914370124402,0.9859033678168434,0.875,0.06666666666666667,0.8766575126029625,0.8766575126029625,0.926161206047576
H1000_s0,seedv,source_only,15,15,0.778424674295074,23.335479442522008,1.3310094169393019,66.31657741259546,0.9771290830590611,0.9458333333333333,0.0875,0.8249925210011817,0.8249925210011817,0.8586123393430957
H1000_s1,seedv,source_only,15,15,0.7475488119831589,26.018367423939466,0.9015024248096631,76.81014829269563,0.9770656086833802,0.9041666666666667,0.0875,0.8190076808397866,0.8190076808397866,0.874921551081574
H2000_s0,seedv,source_only,15,15,0.7626573323575461,24.653282423381075,1.9357263955559476,64.64826028116796,0.960291179550777,0.8875,0.07916666666666666,0.7774352724364291,0.7774352724364291,0.8009182283599551
H2000_s1,seedv,source_only,15,15,0.7655533342105912,24.544906997228946,1.485633964180388,75.64994687914468,0.9752310240291132,0.9,0.0375,0.8160630860309378,0.8160630860309378,0.875175198247556
