key,value
robust_core_features,"['source_guard_nll', 'source_guard_ece', 'source_guard_entropy', 'source_guard_confidence', 'source_guard_margin', 'source_guard_logit_norm', 'source_guard_conf_on_wrong', 'source_audit_nll', 'source_audit_ece', 'source_audit_entropy', 'source_audit_confidence', 'source_audit_margin', 'source_audit_logit_norm', 'source_audit_conf_on_wrong', 'selection_leakage_point', 'audit_leakage_point']"
endpoint_features,"['source_guard_worst_bacc', 'source_audit_worst_bacc']"
static_excluded,"['R_src', 'balanced_err', 'train_surrogate', 'epoch']"
model,l2_logistic
l2_C,1.0
standardize,True
iters,800
lr,0.3
validation,leave_one_target_out
n_perm,200
perm_seed,707
diagnostic_label,tgt__target_bacc_good
robustness_regimes,"['S0_full_support', 'S2_rare_cells', 'S3_nonestimable_cells']"
success_p,0.05
success_auc_margin,0.03
success_regimes,"['S0_full_support', 'S2_rare_cells', 'S3_nonestimable_cells']"
