held_out_regime,target,auc
S4_missing_cells,1,0.6763392857142857
S4_missing_cells,2,0.7141812865497076
S4_missing_cells,3,0.6888392857142858
S4_missing_cells,4,0.7042671614100185
S4_missing_cells,5,0.5748311411304657
S4_missing_cells,6,0.549161230195713
S4_missing_cells,7,0.6456140350877193
S4_missing_cells,8,0.5726537613330066
S4_missing_cells,9,0.646485260770975
S5_block_class_by_domain,1,0.6375
S5_block_class_by_domain,2,0.6850877192982456
S5_block_class_by_domain,3,0.7073660714285714
S5_block_class_by_domain,4,0.7510204081632653
S5_block_class_by_domain,5,0.5684322787060079
S5_block_class_by_domain,6,0.5573159366262814
S5_block_class_by_domain,7,0.5973684210526315
S5_block_class_by_domain,8,0.5797598627787307
S5_block_class_by_domain,9,0.6238095238095238
S6_boundary_aligned_mask,1,0.5707589285714286
S6_boundary_aligned_mask,2,0.7048245614035088
S6_boundary_aligned_mask,3,0.7207589285714285
S6_boundary_aligned_mask,4,0.7532467532467533
S6_boundary_aligned_mask,5,0.5897618201208674
S6_boundary_aligned_mask,6,0.5992544268406338
S6_boundary_aligned_mask,7,0.6087719298245614
S6_boundary_aligned_mask,8,0.5998529772114678
S6_boundary_aligned_mask,9,0.7183673469387755
S7_random_matched_mask,1,0.6488839285714286
S7_random_matched_mask,2,0.6883040935672514
S7_random_matched_mask,3,0.6229910714285715
S7_random_matched_mask,4,0.5552875695732838
S7_random_matched_mask,5,0.6910771418414504
S7_random_matched_mask,6,0.5657036346691519
S7_random_matched_mask,7,0.606140350877193
S7_random_matched_mask,8,0.5653026219063955
S7_random_matched_mask,9,0.7428571428571429
