risk,status,blocking,control,real_data_access_in_C84L1P
historical_C84FL_blocker_rewritten,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
level0_ID_or_C84C_artifact_changed,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
historical_level1_ID_reused,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
deletion_subject_not_first_locked_subject,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
deleted_class_not_left_hand,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
alternative_cell_selected_at_runtime,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
support_minimum_bypassed,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
more_than_one_support_cell_absent,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
source_audit_or_target_row_deleted,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
target_specific_retraining_reintroduced,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
outcome_dependent_deletion_choice,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
level0_level1_model_init_unpaired,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
plan_population_signature_unbound,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
target_y_access,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
target_scientific_metric_emission,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
C84F_or_C84S_lock_created,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
real_EEG_access_in_C84L1P,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
raw_EEG_weights_or_cache_in_Git,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
payload_over_50MiB_in_Git,CLOSED_BY_PROTOCOL_AND_SYNTHETIC_CONTROL,0,fail_closed_and_lock_bound,0
