dataset,panel,training_seed,level,regime,epoch,trajectory_order,historical_unit_id,operative_unit_id,identity_unchanged,level_intervention_id,C84C_reusable
Lee2019_MI,A,5,0,ERM,199,0,c84v2_6a3c564f2e54713057ad9c7cc5e67126,c84v2_6a3c564f2e54713057ad9c7cc5e67126,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,4,1,c84v2_d2b388b46c8b30ff927c6938252392e1,c84v2_d2b388b46c8b30ff927c6938252392e1,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,9,2,c84v2_47113118d42ff78374237776adc4aa10,c84v2_47113118d42ff78374237776adc4aa10,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,14,3,c84v2_be45de5a3ca99235f2d9bb0a36766a20,c84v2_be45de5a3ca99235f2d9bb0a36766a20,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,19,4,c84v2_164c7d6b8a677fad4ec7e97930ff3b96,c84v2_164c7d6b8a677fad4ec7e97930ff3b96,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,24,5,c84v2_39eb6d1671a9f8d85fc2b030ffe0fe35,c84v2_39eb6d1671a9f8d85fc2b030ffe0fe35,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,29,6,c84v2_a365ba3ef502d4e1dc9deb08f06a2023,c84v2_a365ba3ef502d4e1dc9deb08f06a2023,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,34,7,c84v2_fb07305cfed7feb61b7b2ce6ae17262f,c84v2_fb07305cfed7feb61b7b2ce6ae17262f,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,39,8,c84v2_def7990a4244d6d3a198b4b90a2a4836,c84v2_def7990a4244d6d3a198b4b90a2a4836,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,44,9,c84v2_8074a6b1b9e576311b54a3b4da79e95c,c84v2_8074a6b1b9e576311b54a3b4da79e95c,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,49,10,c84v2_4fea141169bfb7e2bb9887c7f96c55f3,c84v2_4fea141169bfb7e2bb9887c7f96c55f3,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,54,11,c84v2_c86443af27fcc6b583d01789172d78a8,c84v2_c86443af27fcc6b583d01789172d78a8,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,59,12,c84v2_1708df6d469593eeead0a04d8a79f7cf,c84v2_1708df6d469593eeead0a04d8a79f7cf,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,64,13,c84v2_ff9e1d555bb9072d64668a8309e319ad,c84v2_ff9e1d555bb9072d64668a8309e319ad,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,69,14,c84v2_9e4bcc71115681d6f28489cb0df6216c,c84v2_9e4bcc71115681d6f28489cb0df6216c,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,74,15,c84v2_8a7754c2784a247c88f6f009b218f1a6,c84v2_8a7754c2784a247c88f6f009b218f1a6,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,79,16,c84v2_fe702de6fd7774ab52c51bd246ae5b28,c84v2_fe702de6fd7774ab52c51bd246ae5b28,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,84,17,c84v2_afbe9805afe72dd15edd0cde66267775,c84v2_afbe9805afe72dd15edd0cde66267775,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,89,18,c84v2_6a3322654b529c9ee6669c2daecbb711,c84v2_6a3322654b529c9ee6669c2daecbb711,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
Lee2019_MI,A,5,0,OACI,94,19,c84v2_99aced3b32675991c7ec82c6c622670e,c84v2_99aced3b32675991c7ec82c6c622670e,1,C84_LEVEL0_FULL_SOURCE_PANEL_V1,1
