level_intervention_id,check_order,condition,required_value,failure_action,minimum_cell_support,real_data_access_in_C84L1P
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,1,exact_source_subject_set,12 locked subjects,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,2,registered_deleted_subject_present,true,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,3,registered_deleted_cell_pre_count,>=8,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,4,registered_deleted_cell_post_count,0,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,5,deleted_subject_right_hand_post_count,>=8,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,6,all_other_observed_cell_counts,>=8,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,7,pre_deletion_observed_cells,24,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,8,post_deletion_observed_cells,23,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,9,absent_post_deletion_cells,exactly_deleted_cell,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,10,source_training_trial_ids,unique_and_otherwise_unchanged,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,11,source_audit_trial_ids,unchanged,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,12,target_trial_ids,unchanged,BLOCK,8,0
C84_LEVEL1_FIXED_PANEL_LEFT_HAND_CELL_DELETION_V1,13,alternative_cell_selection,forbidden,BLOCK,8,0
