case_id,fixture,expected,alternative_cell_selected,real_data_access
L1F01,registered_first_subject_deleted,PASS,0,0
L1F02,numeric_min_subject_substituted,FAIL,0,0
L1F03,right_hand_substituted,FAIL,0,0
L1F04,target_dependent_deleted_subject,FAIL,0,0
L1F05,outcome_selected_cell,FAIL,0,0
L1F06,deleted_cell_absent_before_deletion,FAIL,0,0
L1F07,deleted_cell_below_support_minimum,FAIL,0,0
L1F08,second_cell_absent,FAIL,0,0
L1F09,remaining_observed_cell_below_8,FAIL,0,0
L1F10,source_audit_row_deleted,FAIL,0,0
L1F11,target_row_deleted,FAIL,0,0
L1F12,level0_plan_or_hash_drift,FAIL,0,0
L1F13,different_model_initialization_across_levels,FAIL,0,0
L1F14,historical_planned_level1_ID_used,FAIL,0,0
L1F15,new_level1_ID_missing_intervention_digest,FAIL,0,0
L1F16,panel_A_three_dataset_canary_243_units_9_phases,PASS,0,0
L1F17,target_y_access,FAIL,0,0
L1F18,scientific_metric_emission,FAIL,0,0
