dataset,panel,training_seed,level,regime,epoch,trajectory_order,historical_planned_level1_unit_id,operative_level1_unit_id,historical_identity_preserved,historical_identity_operative,new_identity_operative,reason
Lee2019_MI,A,5,1,ERM,199,0,c84v2_ccd04b77c83cd3a5e8e72f287e8a49e9,c84l1_3fdfe3b8b23edb81c10193f37b706caf,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,4,1,c84v2_ff8ed82a4af349f3204cbc7766554434,c84l1_5a261fb78894c0de6ed521a67ee1b181,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,9,2,c84v2_ae86b9fa1e4783d37226a00e18a6ffce,c84l1_5db624684bd42ade6ae8746fd0c44b65,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,14,3,c84v2_838b0da4525b0aa55069a408837dac94,c84l1_546889c86b3ae459803849a84e47a028,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,19,4,c84v2_18a1c61d575ccf5fb6705fbfb64856ff,c84l1_77e430faf1c08b15f5f4f77305b11b16,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,24,5,c84v2_b69e0aeff5cfb8ebd66df1bab49853a9,c84l1_aebdd6bb9eab28e182fcc9a9379a5eae,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,29,6,c84v2_233c35d0b2dc72fb4106917a872e3385,c84l1_6e083cfeb5f228d5d81e6d5f404d3b1e,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,34,7,c84v2_2bf939562fc9096671464ea4ba955854,c84l1_7d3bd9e557747eaa116274a7c51ba72f,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,39,8,c84v2_4e0984e28bd2c1e721955ff26da20b05,c84l1_9edc93f32845b74dc64a486202b32fd7,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,44,9,c84v2_6f94a0fc76d589f324c542f67dac0b71,c84l1_a912236da14472c02d7dd0db7fcf416a,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,49,10,c84v2_78f9f787927d5178800c822d4c5b7a55,c84l1_cb17b54e04d7a0ac19e9a1b76dfeae30,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,54,11,c84v2_22a7f0e24bd1ac53f8637102fa69ae06,c84l1_64c72b818c79ad47ad71a1a109e4c2f4,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,59,12,c84v2_2cf539132df593a29cb18e2854ab755b,c84l1_123695f493bed0dd60a5e964167cd3cb,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,64,13,c84v2_dbad6feb60d2efbb0015ed257bc89da2,c84l1_916f9c755b18b8d11c0662e2c6ac4b5c,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,69,14,c84v2_d727298361267bf821152adb8f6d067c,c84l1_bba291ad2d6cd37c0d1751f901a704cf,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,74,15,c84v2_43781bea2244aec2c5c92dc006be8401,c84l1_69df275b710382cda2ba407eb50abb35,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,79,16,c84v2_88f1a8133c4cef65d14cc36e51345622,c84l1_0543407d845b5e379b9b93ba5d5e2abc,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,84,17,c84v2_0d7390cbf15455b8716471f8550b23a8,c84l1_72d56dcc4cfc1bb8e6fa739d25b170f0,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,89,18,c84v2_19f2f4da87f8816eda0d902f3f590288,c84l1_5690e9935c35c420a3d3e9cbfcdabee3,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,94,19,c84v2_1cb25407b5d1e8e2c94c400b7692e507,c84l1_7cc2b00ce4c5a5d3427a5c7b40f36ce8,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,99,20,c84v2_731c2df2cb851fe3c14719d3a28e4357,c84l1_f68453ae485751af2d00e57af34df334,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,104,21,c84v2_37dbd6228df510eb8c6798663ce13959,c84l1_1745508194c4e923f44a5c549f1d850f,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,109,22,c84v2_4ab8a4c2fa22f26b699d19a2b616ecee,c84l1_fe826d14fa2559faf216e9e4a2f3a6a9,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,114,23,c84v2_d188778d412e797ecd842fab481642c1,c84l1_d21035156b674fc8bdb397dd33667adc,1,0,1,historical_ID_predated_scientific_level1_intervention
Lee2019_MI,A,5,1,OACI,119,24,c84v2_d98f0a3aa8c2d4ae950f3895ddacc14d,c84l1_33b8cdc547bb6d75bfa457fbd3f51522,1,0,1,historical_ID_predated_scientific_level1_intervention
