case_id,fixture,expected,observed,test_node,focused_job,real_data_access,target_y_access,scientific_metrics,status
L1F01,registered_first_subject_deleted,PASS,PASS,oaci/tests/test_c84l1_*.py::test_registered_first_subject_left_hand_cell_is_the_only_deleted_cell,895843,0,0,0,PASS
L1F02,numeric_min_subject_substituted,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_numeric_min_class_target_or_outcome_substitutions_fail,895843,0,0,0,PASS
L1F03,right_hand_substituted,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_numeric_min_class_target_or_outcome_substitutions_fail,895843,0,0,0,PASS
L1F04,target_dependent_deleted_subject,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_numeric_min_class_target_or_outcome_substitutions_fail,895843,0,0,0,PASS
L1F05,outcome_selected_cell,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_numeric_min_class_target_or_outcome_substitutions_fail,895843,0,0,0,PASS
L1F06,deleted_cell_absent_before_deletion,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_registered_deleted_cell_absent_before_deletion_fails,895843,0,0,0,PASS
L1F07,deleted_cell_below_support_minimum,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_registered_deleted_cell_below_minimum_fails,895843,0,0,0,PASS
L1F08,second_cell_absent,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_second_cell_absent_before_deletion_fails,895843,0,0,0,PASS
L1F09,remaining_observed_cell_below_8,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_retained_cell_below_minimum_fails,895843,0,0,0,PASS
L1F10,source_audit_row_deleted,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_source_audit_and_target_rows_cannot_be_changed,895843,0,0,0,PASS
L1F11,target_row_deleted,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_source_audit_and_target_rows_cannot_be_changed,895843,0,0,0,PASS
L1F12,level0_plan_or_hash_drift,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_lock_binds_exact_scope_and_accepted_level0_plan_model_registry,895843,0,0,0,PASS
L1F13,different_model_initialization_across_levels,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_level_pair_uses_the_same_model_initialization_rule,895843,0,0,0,PASS
L1F14,historical_planned_level1_ID_used,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_only_historical_level1_ids_are_superseded,895843,0,0,0,PASS
L1F15,new_level1_ID_missing_intervention_digest,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_new_level1_ids_bind_intervention_and_registry_digest,895843,0,0,0,PASS
L1F16,panel_A_three_dataset_canary_243_units_9_phases,PASS,PASS,oaci/tests/test_c84l1_*.py::test_schema_dry_run_covers_243_units_and_no_protected_action,895843,0,0,0,PASS
L1F17,target_y_access,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_complete_gate_rejects_target_y_or_scientific_metric,895843,0,0,0,PASS
L1F18,scientific_metric_emission,FAIL,FAIL,oaci/tests/test_c84l1_*.py::test_complete_gate_rejects_target_y_or_scientific_metric,895843,0,0,0,PASS
