check_id,check,status,blocking,real_data_access
RT01,historical_C84FL_HEAD,PASS,0,0
RT02,historical_C84FL_markdown_hash,PASS,0,0
RT03,historical_C84FL_json_hash,PASS,0,0
RT04,accepted_C84C_manifest_hash,PASS,0,0
RT05,repair_protocol_hash,PASS,0,0
RT06,protocol_precedes_implementation,PASS,0,0
RT07,six_deletion_cells,PASS,0,0
RT08,deleted_subjects_exact,PASS,0,0
RT09,deleted_class_left_hand,PASS,0,0
RT10,minimum_support_eight,PASS,0,0
RT11,level0_IDs_unchanged,PASS,0,0
RT12,level1_IDs_superseded,PASS,0,0
RT13,operative_unit_count,PASS,0,0
RT14,operative_ID_uniqueness,PASS,0,0
RT15,canary_unit_count,PASS,0,0
RT16,execution_lock_hash,PASS,0,0
RT17,runtime_bound_object_count,PASS,0,0
RT18,implementation_file_count,PASS,0,0
RT19,protocol_binding_count,PASS,0,0
RT20,accepted_C84C_reusable_units,PASS,0,0
RT21,accepted_level0_model_registry,PASS,0,0
RT22,exact_20_channel_montage,PASS,0,0
RT23,authorization_record_absent,PASS,0,0
RT24,external_output_root_absent,PASS,0,0
RT25,C84F_lock_absent,PASS,0,0
RT26,C84S_lock_absent,PASS,0,0
RT27,real_EEG_access_C84L1P,PASS,0,0
RT28,level1_label_access,PASS,0,0
RT29,training_forward_GPU,PASS,0,0
RT30,target_scientific_metrics,PASS,0,0
RT31,schema_dry_run_units,PASS,0,0
RT32,schema_dry_run_phases,PASS,0,0
RT33,all_support_graphs_23_cells,PASS,0,0
RT34,paired_model_initialization,PASS,0,0
RT35,target_specific_retraining_forbidden,PASS,0,0
RT36,target_y_forbidden,PASS,0,0
RT37,scientific_output_forbidden,PASS,0,0
RT38,focused_regression,PASS,0,0
RT39,C65_regression,PASS,0,0
RT40,C23_regression,PASS,0,0
RT41,full_regression,PASS,0,0
RT42,all_regression_stderr_empty,PASS,0,0
RT43,conditional_skip_explained,PASS,0,0
RT44,deselections_explained,PASS,0,0
RT45,risk_register_closed,PASS,0,0
RT46,failure_ledger_clear,PASS,0,0
RT47,tracked_raw_payload_absent,PASS,0,0
RT48,tracked_oversized_payload_absent,PASS,0,0
RT49,active_C84L1_jobs_absent,PASS,0,0
RT50,branch_oaci,PASS,0,0
RT51,HEAD_equals_origin,PASS,0,0
RT52,worktree_clean_before_report_generation,PASS,0,0
