artifact,field_order,field,type_contract,required,target_label_or_derived
sidecar,0,unit_id,scalar,1,0
sidecar,1,level_intervention_id,scalar,1,0
sidecar,2,level_intervention_registry_sha256,sha256,1,0
sidecar,3,deleted_source_subject,scalar,1,0
sidecar,4,deleted_class,scalar,1,0
sidecar,5,pre_deletion_trial_count,integer,1,0
sidecar,6,post_deletion_trial_count,integer,1,0
sidecar,7,deleted_trial_id_sha256,sha256,1,0
sidecar,8,population_signature,sha256,1,0
sidecar,9,support_hash,sha256,1,0
sidecar,10,model_init_hash,sha256,1,0
sidecar,11,plan_hashes,mapping,1,0
source_audit,12,source_class_label,array,1,0
source_audit,13,source_domain_id,array,1,0
source_audit,14,source_trial_id,array,1,0
target_unlabeled,15,target_subject_id,scalar,1,0
target_unlabeled,16,target_trial_id,array,1,0
target_unlabeled,17,logits_probabilities_z,arrays,1,0
