dataset,method,fold,target_subject,R3_task_drop_k2,R3_task_drop_k8,random_subspace_task_drop_k2,head_replay_ok
BNCI2014_001,fcigl_align_eta0.01,0,1,0.03645833333333337,0.1371527777777778,0.006944444444444475,True
BNCI2014_001,fcigl_align_eta0.01,1,2,0.001736111111111105,0.001736111111111105,-0.010416666666666685,True
BNCI2014_001,fcigl_align_eta0.01,2,3,0.07465277777777779,0.07638888888888895,-0.00694444444444442,True
BNCI2014_001,fcigl_align_eta0.01,3,4,-0.005208333333333315,0.01388888888888895,0.0017361111111111605,True
BNCI2014_001,fcigl_align_eta0.01,4,5,0.0017361111111111605,0.015625000000000056,0.001736111111111105,True
BNCI2014_001,fcigl_align_eta0.01,5,6,-0.012152777777777735,0.022569444444444475,-0.005208333333333259,True
BNCI2014_001,fcigl_align_eta0.01,6,7,0.001736111111111105,0.001736111111111105,-0.001736111111111105,True
BNCI2014_001,fcigl_align_eta0.01,7,8,0.05381944444444442,0.1579861111111111,-0.00520833333333337,True
BNCI2014_001,fcigl_align_eta0.01,8,9,0.036458333333333315,0.0642361111111111,0.0,True
BNCI2014_001,fcigl_align_eta0.05,0,1,0.05034722222222221,0.14236111111111116,0.01215277777777779,True
BNCI2014_001,fcigl_align_eta0.05,1,2,-0.008680555555555525,0.0034722222222222654,-0.00694444444444442,True
BNCI2014_001,fcigl_align_eta0.05,2,3,0.0798611111111111,0.06250000000000006,-0.017361111111111105,True
BNCI2014_001,fcigl_align_eta0.05,3,4,0.020833333333333315,0.019097222222222154,0.01041666666666663,True
BNCI2014_001,fcigl_align_eta0.05,4,5,0.015625000000000056,0.0017361111111111605,-0.00347222222222221,True
BNCI2014_001,fcigl_align_eta0.05,5,6,0.0,0.05381944444444442,0.0,True
BNCI2014_001,fcigl_align_eta0.05,6,7,0.003472222222222182,0.012152777777777735,-0.0069444444444444475,True
BNCI2014_001,fcigl_align_eta0.05,7,8,0.07465277777777773,0.1371527777777778,0.0,True
BNCI2014_001,fcigl_align_eta0.05,8,9,0.022569444444444475,0.08333333333333337,0.005208333333333315,True
BNCI2014_001,fcigl_removal_aug_a0.5,0,1,-0.005208333333333259,0.09722222222222232,-0.003472222222222099,True
BNCI2014_001,fcigl_removal_aug_a0.5,1,2,0.01041666666666663,0.012152777777777735,-5.551115123125783e-17,True
BNCI2014_001,fcigl_removal_aug_a0.5,2,3,0.07291666666666669,0.15104166666666663,-0.00520833333333337,True
BNCI2014_001,fcigl_removal_aug_a0.5,3,4,0.00868055555555558,0.02777777777777779,0.005208333333333315,True
BNCI2014_001,fcigl_removal_aug_a0.5,4,5,-0.001736111111111105,0.010416666666666713,-0.01041666666666663,True
BNCI2014_001,fcigl_removal_aug_a0.5,5,6,-0.02083333333333337,0.006944444444444475,-0.0017361111111111605,True
BNCI2014_001,fcigl_removal_aug_a0.5,6,7,0.0034722222222222376,-0.008680555555555525,0.0,True
BNCI2014_001,fcigl_removal_aug_a0.5,7,8,0.036458333333333315,0.12847222222222227,0.0,True
BNCI2014_001,fcigl_removal_aug_a0.5,8,9,0.00347222222222221,0.0625,-0.00694444444444442,True
BNCI2014_001,fcigl_removal_aug_a1.0,0,1,0.00694444444444442,0.09722222222222227,0.006944444444444475,True
BNCI2014_001,fcigl_removal_aug_a1.0,1,2,0.008680555555555525,-0.001736111111111105,0.00694444444444442,True
BNCI2014_001,fcigl_removal_aug_a1.0,2,3,0.1111111111111111,0.1423611111111111,-0.00347222222222221,True
BNCI2014_001,fcigl_removal_aug_a1.0,3,4,0.001736111111111105,-0.001736111111111105,-0.005208333333333315,True
BNCI2014_001,fcigl_removal_aug_a1.0,4,5,-0.00694444444444442,0.0034722222222222376,-0.013888888888888895,True
BNCI2014_001,fcigl_removal_aug_a1.0,5,6,-0.00347222222222221,0.02777777777777779,0.005208333333333315,True
BNCI2014_001,fcigl_removal_aug_a1.0,6,7,0.003472222222222182,0.012152777777777762,0.0,True
BNCI2014_001,fcigl_removal_aug_a1.0,7,8,0.02604166666666663,0.109375,-0.001736111111111105,True
BNCI2014_001,fcigl_removal_aug_a1.0,8,9,0.046875,0.06944444444444442,0.0017361111111110494,True
BNCI2015_001,fcigl_align_eta0.01,0,1,0.0024999999999999467,0.1524999999999999,-0.007500000000000062,True
BNCI2015_001,fcigl_align_eta0.01,10,11,-0.015000000000000013,0.03666666666666668,-0.018333333333333313,True
BNCI2015_001,fcigl_align_eta0.01,11,12,-0.05250000000000005,-0.04999999999999999,0.0,True
BNCI2015_001,fcigl_align_eta0.01,1,2,0.23249999999999993,0.27499999999999997,-0.01750000000000007,True
BNCI2015_001,fcigl_align_eta0.01,2,3,0.17249999999999993,-0.010000000000000009,0.019999999999999907,True
BNCI2015_001,fcigl_align_eta0.01,3,4,0.1825,0.22250000000000003,0.010000000000000009,True
BNCI2015_001,fcigl_align_eta0.01,4,5,0.040000000000000036,0.09250000000000003,0.0,True
BNCI2015_001,fcigl_align_eta0.01,5,6,0.11250000000000004,0.21250000000000002,0.01000000000000012,True
BNCI2015_001,fcigl_align_eta0.01,6,7,-0.012500000000000067,-0.07250000000000001,-0.0025000000000000577,True
BNCI2015_001,fcigl_align_eta0.01,7,8,0.00666666666666671,-0.011666666666666603,0.0033333333333332993,True
BNCI2015_001,fcigl_align_eta0.01,8,9,0.056666666666666754,0.05166666666666675,0.011666666666666714,True
BNCI2015_001,fcigl_align_eta0.01,9,10,0.030000000000000027,0.013333333333333308,-0.00666666666666671,True
BNCI2015_001,fcigl_align_eta0.05,0,1,0.13999999999999996,0.10249999999999998,-0.007500000000000062,True
BNCI2015_001,fcigl_align_eta0.05,10,11,-0.05499999999999999,0.0533333333333334,-0.023333333333333373,True
BNCI2015_001,fcigl_align_eta0.05,11,12,-0.04749999999999999,-0.057499999999999996,-0.0024999999999999467,True
BNCI2015_001,fcigl_align_eta0.05,1,2,0.22000000000000008,0.31250000000000006,0.0025000000000000577,True
BNCI2015_001,fcigl_align_eta0.05,2,3,0.20750000000000002,-0.057499999999999885,0.06000000000000005,True
BNCI2015_001,fcigl_align_eta0.05,3,4,0.16749999999999998,0.20750000000000002,0.03249999999999997,True
BNCI2015_001,fcigl_align_eta0.05,4,5,0.012499999999999956,0.08250000000000002,-0.0050000000000000044,True
BNCI2015_001,fcigl_align_eta0.05,5,6,0.07750000000000012,0.18750000000000006,0.0,True
BNCI2015_001,fcigl_align_eta0.05,6,7,0.04749999999999999,-0.03249999999999997,0.0025000000000000577,True
BNCI2015_001,fcigl_align_eta0.05,7,8,0.013333333333333308,-0.021666666666666723,0.0033333333333332993,True
BNCI2015_001,fcigl_align_eta0.05,8,9,0.06666666666666665,0.0633333333333333,0.011666666666666714,True
BNCI2015_001,fcigl_align_eta0.05,9,10,0.030000000000000027,0.03500000000000003,0.0016666666666667052,True
BNCI2015_001,fcigl_removal_aug_a0.5,0,1,0.08500000000000002,0.15500000000000003,-0.0050000000000000044,True
BNCI2015_001,fcigl_removal_aug_a0.5,10,11,-0.009999999999999898,-0.008333333333333304,-0.008333333333333304,True
BNCI2015_001,fcigl_removal_aug_a0.5,11,12,-0.007500000000000007,-0.024999999999999967,0.0050000000000000044,True
BNCI2015_001,fcigl_removal_aug_a0.5,1,2,0.10750000000000004,0.22000000000000008,-0.0024999999999999467,True
BNCI2015_001,fcigl_removal_aug_a0.5,2,3,0.25,0.07999999999999996,-1.1102230246251565e-16,True
BNCI2015_001,fcigl_removal_aug_a0.5,3,4,0.12749999999999995,0.10499999999999987,0.01749999999999985,True
BNCI2015_001,fcigl_removal_aug_a0.5,4,5,0.04499999999999993,0.039999999999999925,0.022499999999999964,True
BNCI2015_001,fcigl_removal_aug_a0.5,5,6,0.11250000000000004,0.16249999999999998,0.015000000000000013,True
BNCI2015_001,fcigl_removal_aug_a0.5,6,7,-0.010000000000000009,-0.012499999999999956,0.010000000000000009,True
BNCI2015_001,fcigl_removal_aug_a0.5,7,8,0.021666666666666723,0.020000000000000018,0.010000000000000009,True
BNCI2015_001,fcigl_removal_aug_a0.5,8,9,0.011666666666666603,0.046666666666666634,-0.0016666666666667052,True
