dataset,method,fold,target_subject,task_head_alignment_k2,task_head_alignment_k8
BNCI2014_001,fcigl_align_eta0.01,0,1,0.014574840634509176,0.3155736994424892
BNCI2014_001,fcigl_align_eta0.01,1,2,0.006502298002511947,0.2083340986401039
BNCI2014_001,fcigl_align_eta0.01,2,3,0.03306972950014938,0.2555061925255997
BNCI2014_001,fcigl_align_eta0.01,3,4,0.015305237177289554,0.17052785586983088
BNCI2014_001,fcigl_align_eta0.01,4,5,0.0177252818944838,0.35334059894099695
BNCI2014_001,fcigl_align_eta0.01,5,6,0.0166710768733998,0.24781788599867285
BNCI2014_001,fcigl_align_eta0.01,6,7,0.015411052046729552,0.42844407299286685
BNCI2014_001,fcigl_align_eta0.01,7,8,0.020326280862002086,0.34352779235274106
BNCI2014_001,fcigl_align_eta0.01,8,9,0.0720995397988265,0.455756732826046
BNCI2014_001,fcigl_align_eta0.05,0,1,0.01658656058608333,0.26657322402930844
BNCI2014_001,fcigl_align_eta0.05,1,2,0.007023939677577947,0.2337085623099222
BNCI2014_001,fcigl_align_eta0.05,2,3,0.031105792215832873,0.2287418848737154
BNCI2014_001,fcigl_align_eta0.05,3,4,0.018428893113980188,0.14557713933839084
BNCI2014_001,fcigl_align_eta0.05,4,5,0.01790864263457665,0.30251477400406646
BNCI2014_001,fcigl_align_eta0.05,5,6,0.013637423184680982,0.2476206319028623
BNCI2014_001,fcigl_align_eta0.05,6,7,0.009945158263684048,0.4234089438427179
BNCI2014_001,fcigl_align_eta0.05,7,8,0.02118148543137432,0.2674443406622464
BNCI2014_001,fcigl_align_eta0.05,8,9,0.057278392749334314,0.38824810400722554
BNCI2014_001,fcigl_removal_aug_a0.5,0,1,0.028925324932762266,0.19539240120589169
BNCI2014_001,fcigl_removal_aug_a0.5,1,2,0.017693606267772787,0.16024405764128102
BNCI2014_001,fcigl_removal_aug_a0.5,2,3,0.07093121966234794,0.18540335560558863
BNCI2014_001,fcigl_removal_aug_a0.5,3,4,0.022727943136337955,0.13487982964963743
BNCI2014_001,fcigl_removal_aug_a0.5,4,5,0.07348419032494195,0.26497974609513975
BNCI2014_001,fcigl_removal_aug_a0.5,5,6,0.06580320723713358,0.20330655979785028
BNCI2014_001,fcigl_removal_aug_a0.5,6,7,0.04246943921459376,0.3652819399886809
BNCI2014_001,fcigl_removal_aug_a0.5,7,8,0.1098973726267922,0.3014328595555796
BNCI2014_001,fcigl_removal_aug_a0.5,8,9,0.22774110838355216,0.4773610897517636
BNCI2014_001,fcigl_removal_aug_a1.0,0,1,0.0034401801580320073,0.11792000177820004
BNCI2014_001,fcigl_removal_aug_a1.0,1,2,0.023632950421194725,0.1203866406770869
BNCI2014_001,fcigl_removal_aug_a1.0,2,3,0.04723168929181254,0.21445599161619489
BNCI2014_001,fcigl_removal_aug_a1.0,3,4,0.014038775835375158,0.13441003463142287
BNCI2014_001,fcigl_removal_aug_a1.0,4,5,0.01977049093736508,0.23215020225506197
BNCI2014_001,fcigl_removal_aug_a1.0,5,6,0.07885124378880261,0.17702104688483083
BNCI2014_001,fcigl_removal_aug_a1.0,6,7,0.03441445914038748,0.30105014358843757
BNCI2014_001,fcigl_removal_aug_a1.0,7,8,0.06234859175820033,0.17081459122304724
BNCI2014_001,fcigl_removal_aug_a1.0,8,9,0.15020219160828735,0.3901644340370687
BNCI2015_001,fcigl_align_eta0.01,0,1,0.6424955845618726,0.67182832956507
BNCI2015_001,fcigl_align_eta0.01,10,11,0.11385303923554899,0.5970146879309206
BNCI2015_001,fcigl_align_eta0.01,11,12,0.5500042467295743,0.6125016251620621
BNCI2015_001,fcigl_align_eta0.01,1,2,0.20738269740619472,0.6326358728661675
BNCI2015_001,fcigl_align_eta0.01,2,3,0.39639050842036305,0.6814232116215841
BNCI2015_001,fcigl_align_eta0.01,3,4,0.24773955513526316,0.643402184184679
BNCI2015_001,fcigl_align_eta0.01,4,5,0.453907435989969,0.6004992950926019
BNCI2015_001,fcigl_align_eta0.01,5,6,0.12709586571935003,0.6828016463714152
BNCI2015_001,fcigl_align_eta0.01,6,7,0.5581942858123525,0.6193300790800144
BNCI2015_001,fcigl_align_eta0.01,7,8,0.3075593202214345,0.6505167335870884
BNCI2015_001,fcigl_align_eta0.01,8,9,0.28360289621016743,0.5652239067544929
BNCI2015_001,fcigl_align_eta0.01,9,10,0.22126616186163645,0.6661030877628703
BNCI2015_001,fcigl_align_eta0.05,0,1,0.4475463768059263,0.5385174753299947
BNCI2015_001,fcigl_align_eta0.05,10,11,0.18692723070491518,0.457117743514166
BNCI2015_001,fcigl_align_eta0.05,11,12,0.24563468138171377,0.3291366161051837
BNCI2015_001,fcigl_align_eta0.05,1,2,0.11012613324287514,0.48151839784183703
BNCI2015_001,fcigl_align_eta0.05,2,3,0.19152000772031394,0.4864924861919898
BNCI2015_001,fcigl_align_eta0.05,3,4,0.1291847193582103,0.3781614803718861
BNCI2015_001,fcigl_align_eta0.05,4,5,0.2622825679804054,0.374065201238088
BNCI2015_001,fcigl_align_eta0.05,5,6,0.06955705926484475,0.4678315720996807
BNCI2015_001,fcigl_align_eta0.05,6,7,0.29213020778788135,0.36964902843648423
BNCI2015_001,fcigl_align_eta0.05,7,8,0.19358845304407285,0.4732539326141793
BNCI2015_001,fcigl_align_eta0.05,8,9,0.1371219527558968,0.4115584697258738
BNCI2015_001,fcigl_align_eta0.05,9,10,0.16559836268880873,0.5624088306308371
BNCI2015_001,fcigl_removal_aug_a0.5,0,1,0.7956398684033013,0.8362134351250874
BNCI2015_001,fcigl_removal_aug_a0.5,10,11,0.3593041431016286,0.5172654719661511
BNCI2015_001,fcigl_removal_aug_a0.5,11,12,0.8058157093998431,0.8628487255462679
BNCI2015_001,fcigl_removal_aug_a0.5,1,2,0.5760683576843733,0.667185196109239
BNCI2015_001,fcigl_removal_aug_a0.5,2,3,0.7089237348059739,0.7959958946477957
BNCI2015_001,fcigl_removal_aug_a0.5,3,4,0.7165909816791217,0.7654934519774769
BNCI2015_001,fcigl_removal_aug_a0.5,4,5,0.8111061078422653,0.8540605593559301
BNCI2015_001,fcigl_removal_aug_a0.5,5,6,0.4933774336303942,0.5860693479986789
BNCI2015_001,fcigl_removal_aug_a0.5,6,7,0.8329656199509989,0.8578647920582443
BNCI2015_001,fcigl_removal_aug_a0.5,7,8,0.7982054433679294,0.8448845127132883
BNCI2015_001,fcigl_removal_aug_a0.5,8,9,0.7316593092099596,0.7650376476084776
BNCI2015_001,fcigl_removal_aug_a0.5,9,10,0.6771853636605443,0.7135412593636686
BNCI2015_001,fcigl_removal_aug_a1.0,0,1,0.7837715202878848,0.8158771422837677
BNCI2015_001,fcigl_removal_aug_a1.0,10,11,0.3157509397226206,0.43722369531058425
BNCI2015_001,fcigl_removal_aug_a1.0,11,12,0.7630096131717604,0.8150422208817845
BNCI2015_001,fcigl_removal_aug_a1.0,1,2,0.5015888169318377,0.6032847191340197
BNCI2015_001,fcigl_removal_aug_a1.0,2,3,0.6020461194189883,0.6830319198661058
BNCI2015_001,fcigl_removal_aug_a1.0,3,4,0.5448545388844421,0.6793540039831463
BNCI2015_001,fcigl_removal_aug_a1.0,4,5,0.7960043513157207,0.8366029510217338
BNCI2015_001,fcigl_removal_aug_a1.0,5,6,0.4377591474774437,0.5325758560051996
BNCI2015_001,fcigl_removal_aug_a1.0,6,7,0.2917791628152587,0.8235690481411783
BNCI2015_001,fcigl_removal_aug_a1.0,7,8,0.7810612576338216,0.8403599139994269
BNCI2015_001,fcigl_removal_aug_a1.0,8,9,0.6718141351369034,0.7363429585896072
BNCI2015_001,fcigl_removal_aug_a1.0,9,10,0.6979502123529895,0.7335241267051461
