dataset,method,source,target_bacc,graph_kl,node_kl,R3_task_drop_k2,R3_task_drop_k8,task_head_alignment_k2,classification
BNCI2014_001,erm,frozen_CIGL_65,0.32851080246913583,1.2847315470377605,0.48589327269130284,0.004436728395061725,0.03954475308641977,0.004120791121282348,
BNCI2014_001,cigl_graph_node,frozen_CIGL_65,0.33429783950617287,0.741090390417311,0.31923430661360425,0.023341049382716042,0.058063271604938266,0.036465225163846454,
BNCI2014_001,cdan,frozen_CIGL_65,0.3412422839506173,0.5106719632943472,0.36331048607826233,nan,nan,0.011748061240606556,
BNCI2014_001,fcigl_align_eta0.01,functional_gate,0.3396990740740741,0.902208169301351,0.431857662068473,0.021026234567901245,0.05459104938271607,0.023520592976655753,strong
BNCI2014_001,fcigl_align_eta0.05,functional_gate,0.3393132716049383,0.9033965600861443,0.43421497609880233,0.028742283950617287,0.05729166666666668,0.021455143095236075,bounded
BNCI2014_001,fcigl_removal_aug_a0.5,functional_gate,0.33641975308641975,0.9942551453908285,0.4440072609318627,0.011959876543209881,0.05420524691358027,0.07329704575402607,fail
BNCI2014_001,fcigl_removal_aug_a1.0,functional_gate,0.33912037037037035,1.0901512437396579,0.4569169713391198,0.021604938271604927,0.05092592592592593,0.048214508104384136,fail
BNCI2015_001,erm,frozen_CIGL_65,0.5920833333333334,1.1150351067384083,0.5471147447824478,0.02034722222222221,0.06798611111111111,0.046004082141241354,
BNCI2015_001,cigl_graph_node,frozen_CIGL_65,0.5859722222222223,0.3138261251151562,0.2554563097655773,0.08215277777777778,0.09347222222222222,0.5286584924974701,
BNCI2015_001,cdan,frozen_CIGL_65,0.5917361111111111,0.31252940619985264,0.4053790047764778,nan,nan,0.014270450528993667,
BNCI2015_001,fcigl_align_eta0.01,functional_gate,0.5815277777777778,0.4127504775921504,0.4214797740181287,0.0629861111111111,0.07604166666666667,0.3424576331086439,functional
BNCI2015_001,fcigl_align_eta0.05,functional_gate,0.5828472222222222,0.4147039552529653,0.431439737478892,0.07333333333333335,0.0729166666666667,0.20260147939465542,bounded
BNCI2015_001,fcigl_removal_aug_a0.5,functional_gate,0.5850694444444445,0.4676947568853696,0.435188648601373,0.06333333333333334,0.06638888888888887,0.6922368393946944,fail
BNCI2015_001,fcigl_removal_aug_a1.0,functional_gate,0.5872222222222222,0.5991482784350713,0.45457108318805695,0.049722222222222216,0.06298611111111109,0.5989491512624726,fail
