claim_id,claim_text,ladder_levels,evidence_routes,status,caveat,evidence_refs,expected,matches_expected
C1,Measured leakage magnitude does not certify reliance.,L1->L5,CIGL,READY_WITH_CAVEAT,"graph_kl->R3 is negative at seed0 (RECOMPUTED_SIGN_ONLY, n=42) and in the frozen pooled summary (FROZEN_NOT_RECOMPUTABLE, n=126, seeds1/2 pruned); do NOT state as a full n=126 recomputation.","rq1_leakage_vs_reliance.json (RQ1B,RQ1C)",READY_WITH_CAVEAT,YES
C2,Task-head alignment is closer to reliance than raw leakage in frozen CIGL R3.,L4 vs L1 -> L5,CIGL,READY_WITH_CAVEAT,"Spearman difference (align-graph_kl) excludes 0 at seed0; alignment is correctly (positively) signed and leakage wrongly (negatively) signed. NOT a validated estimator; association is dataset-heterogeneous (2a sig, 2015 ns) and within-group partial betas are ns.",rq3_alignment_mechanism.json; rq1 (dataset strata),READY_WITH_CAVEAT,YES
C3,Subject signal is erasable.,L3,"TOS_LEACE, TOS_mean_scatter, TOS_INLP, TOS_RLACE",READY,linear subject decode driven to chance by LEACE on both backbones; a nonlinear MLP residual persists (erasable != fully removed).,rq2_erasure_vs_target.csv; erasure_report.json,READY,YES
C4,Erasure strength does not certify target benefit.,L3->L6,"TOS_mean_scatter, TOS_LEACE, TOS_INLP, TOS_RLACE, TOS_random_k",READY,"benefit_claimable=0/40 cells; corr(E,target_bAcc)=-0.4204 [-0.6824,-0.1133] (negative, excludes 0 -> more removal, worse target).",rq2_erasure_vs_target.json,READY,YES
C5,Random-k falsifies nonspecific NLL movement.,L3 control -> L6,TOS_random_k vs TOS_LEACE,READY_WITH_CAVEAT,NLL move flagged non-specific in 1/8 LEACE-vs-random_k cells (canonical 2a-TSMNet); not universal across datasets -> claim scoped to flagged cells.,rq2_erasure_vs_target.json (randomk_specificity),READY_WITH_CAVEAT,YES
C6,Spatial branch is load-bearing.,L4,FBCSP_LGG_branch_ablation,READY,"BNCI2014_001 drop 0.0736, gate 0.4888; BNCI2015_001 drop 0.088, gate 0.5723 (descriptive; no per-branch leakage/reliance).",rq4_branch_load_descriptive.csv,READY,YES
C7,Branch-local leakage/reliance is missing.,L1/L5 per branch (absent),FBCSP_LGG_branch_ablation,READY,"RQ4 quantitative status BLOCKED_MISSING_METRIC for every branch; two HIGH missing metrics (per-branch leakage probe, per-branch R3). Blocked, not failed.",rq4_branch_missing_metric_report.md; missing_metric_decisions.csv,READY,YES
C8,CMI-control remains closed.,frozen premise,CIGL/FCIGL/dCIGL/MetaCMI/CITA,READY,"source-only + target-unlabeled CMI control closed (CIGL_70, CMI_SYNTHESIS_01, CITA_03); FSR does not reopen.",artifact_index.csv (frozen_premise rows),READY,YES
C9,TTA-Control is positive but non-CMI.,L6,TTA_Control_non_CMI,SUPPORT_ONLY,"target-unlabeled adaptation improves target +0.037..+0.093 (seed0 only, no seeds1/2); must be walled off from CMI-control; support-only for the FSR thesis.",artifact_index.csv (TTA_Control_non_CMI); CITA_02/03,SUPPORT_ONLY,YES
C10,"FSR is an audit framework, not a new DG method.",L1-L6 relationships,all,READY,the deliverable is the measurement->reliance->control audit ladder + the measurable!=relied-upon / erasable!=beneficial findings; no positive DG method is proposed.,"FSR_00, FSR_04, this table",READY,YES
