dataset,backbone,eraser,chance_task,E_subject_removed,T_target_bAcc,T_target_bAcc_lo,T_target_NLL,tgt_bacc,task_collapse,binary_harm,benefit_claimable,benefit_block_reason
BNCI2014_001,EEGNet,TOS_VD,0.25,0.46689,-0.00045,-0.00231,0.01107,0.40921,NO,NO,NO,no_bacc_gain
BNCI2014_001,EEGNet,LEACE,0.25,0.69795,-0.01125,-0.02109,-0.06956,0.39841,NO,NO,NO,no_bacc_gain
BNCI2014_001,EEGNet,INLP,0.25,0.70711,-0.15966,-0.23573,-0.24903,0.25,YES,NO,NO,task_collapse
BNCI2014_001,EEGNet,RLACE,0.25,0.56023,-0.01177,-0.02399,-0.09516,0.39789,NO,NO,NO,no_bacc_gain
BNCI2014_001,EEGNet,random_k,0.25,0.08042,-0.00723,-0.01078,-0.01832,0.40242,NO,NO,NO,no_bacc_gain
BNCI2014_001,TSMNet,TOS_VD,0.25,0.07436,-0.00032,-0.00212,0.00552,0.39493,NO,NO,NO,no_bacc_gain
BNCI2014_001,TSMNet,LEACE,0.25,0.92954,0.00071,-0.00379,-0.03087,0.39596,NO,NO,NO,nll_nonspecific_randomk
BNCI2014_001,TSMNet,INLP,0.25,0.91543,-0.06211,-0.09452,-1.1496,0.33314,NO,NO,NO,nll_nonspecific_randomk
BNCI2014_001,TSMNet,RLACE,0.25,0.19242,-0.00399,-0.00624,-0.08932,0.39127,NO,NO,NO,nll_nonspecific_randomk
BNCI2014_001,TSMNet,random_k,0.25,1e-05,-0.0001,-0.00133,-0.03404,0.39516,NO,NO,NO,nll_nonspecific_randomk
Lee2019_MI,EEGNet,TOS_VD,0.5,0.20353,-0.00052,-0.00179,0.00223,0.68494,NO,NO,NO,no_bacc_gain
Lee2019_MI,EEGNet,LEACE,0.5,0.24727,-0.18546,-0.22025,0.05446,0.5,YES,YES,NO,task_collapse
Lee2019_MI,EEGNet,INLP,0.5,0.24727,-0.18546,-0.21997,0.05446,0.5,YES,YES,NO,task_collapse
Lee2019_MI,EEGNet,RLACE,0.5,0.24727,-0.18546,-0.21898,0.05446,0.5,YES,YES,NO,task_collapse
Lee2019_MI,EEGNet,random_k,0.5,0.0907,-0.00723,-0.01014,-0.00618,0.67823,NO,NO,NO,no_bacc_gain
Lee2019_MI,TSMNet,TOS_VD,0.5,0.02918,-0.00012,-0.0008,0.03151,0.66812,NO,NO,NO,no_bacc_gain
Lee2019_MI,TSMNet,LEACE,0.5,0.97952,-0.0017,-0.00349,-0.03605,0.66654,NO,NO,NO,no_bacc_gain
Lee2019_MI,TSMNet,INLP,0.5,0.97528,-0.15389,-0.18062,-1.94249,0.51435,YES,YES,NO,task_collapse
