dataset,backbone,seed,fold,target_subject,split_id,n_calibration,n_audit,calibration_idx_hash,audit_idx_hash,calibration_label_hash,audit_label_hash,calibration_pool_hash,disjoint
Lee2019_MI,EEGNet,0,1,1,1,100,100,1b3f90760857dd38,950e58faf98d86d1,ba5044136a27c7e9,45d2047dc0f726b1,a30e763d927ec802,True
Lee2019_MI,EEGNet,0,1,1,2,100,100,a50494686bcfdc48,b5deda6d8be0a5b8,68553e2fa242ea41,38379d535d6b63d4,2e7cdd4200d47728,True
Lee2019_MI,EEGNet,0,1,1,3,100,100,4b1fd69fa8147469,0fb45393d6026c87,f5042f406a9fa8dc,f80e23a5ff5c413c,02f7b41891169698,True
Lee2019_MI,EEGNet,0,1,1,4,100,100,7d70ec74f692c063,ef32c3467638c0db,bdf89a85bbf857f7,086174059fd42698,defa43c2a8010a49,True
Lee2019_MI,EEGNet,0,1,1,5,100,100,235a63b05299a140,899fd310644d046e,9ce32791d9355aa9,76cbf1789d1468fa,6b38032a8914de50,True
Lee2019_MI,EEGNet,0,1,1,6,100,100,c0172e4fa94e11d1,b486a16f4802702a,09d8247c4a555c5d,b2b5bb7f454baaf2,4ef3885d426a73a4,True
Lee2019_MI,EEGNet,0,1,1,7,100,100,ef3cca66ccc7d7e6,c5a2a8137f05d300,19355aa9a7f0ec0c,63f9cf143822c01d,0b5301b3f510f517,True
Lee2019_MI,EEGNet,0,1,1,8,100,100,4cec3688372f0678,1dbea1a62ebb5688,e47fd67212f87de8,f1797d46692c8678,2c4b69870da63c51,True
Lee2019_MI,EEGNet,0,1,1,9,100,100,0c13ce6ef5fde933,cdf70754908aa21b,e1f1ca15356214ef,0bb74e48c6e15e52,cec85e2873c36494,True
Lee2019_MI,EEGNet,0,1,1,10,100,100,64471723227c7c95,e97f95b54f3673fa,7ee36bf931092cf6,7b4fe43d0c733c01,031ccfe4f08e7ea2,True
Lee2019_MI,EEGNet,0,2,2,1,100,100,10ce874167f6af05,e243a08a9d8981a1,7166d90fc1b0b280,a2991daf149e071a,4142908884fc84c2,True
Lee2019_MI,EEGNet,0,2,2,2,100,100,f96d549e3ec9bb85,b8e213bb9a7cbaa7,13f7bf84629282d1,07d029b3f702e5a2,2c2c4e5a9a9600c4,True
Lee2019_MI,EEGNet,0,2,2,3,100,100,f948075d231ee1aa,8d63c7d69801e5e4,2863486bab6b0f90,8797fff1524852da,a4ea72acc6782ccc,True
Lee2019_MI,EEGNet,0,2,2,4,100,100,a718bb92e3395844,56f3ed072753d8a9,ec2b0a2036551fc0,caa863b674bda72d,0f14fd54570c63f2,True
Lee2019_MI,EEGNet,0,2,2,5,100,100,ea8f2bec4b672901,073b8bb855576c04,5e749ea8b3f36c52,05dd561e5b618b17,ca6c0f10a864283a,True
Lee2019_MI,EEGNet,0,2,2,6,100,100,2a275bdcd50f7dd2,3180b388dff4d963,216d8777b2d04bf5,5e94354657757eeb,9c38e2f80b11a7f2,True
Lee2019_MI,EEGNet,0,2,2,7,100,100,60f962a8a84f472f,4ef920d37262fe7e,3319fb24bb53f37f,bb7820d595bbdb5a,9e38862663270aa0,True
Lee2019_MI,EEGNet,0,2,2,8,100,100,72b4dc803b980c44,7bb6b52dba2913ad,00a8ac33c6eec559,d4fa125621465cb2,9941de7e3d01ce0f,True
Lee2019_MI,EEGNet,0,2,2,9,100,100,aab4967f8e9e2e0c,cffa13a4d4520cc0,c0fa5c8c8808121c,8cb300deb891f00e,d47b61acc7755d48,True
Lee2019_MI,EEGNet,0,2,2,10,100,100,ea228dadf4cc403f,0aae86870e7037ad,c2fb6e409121c229,f2554e96ec0e8456,dcb0a162c92982a6,True
Lee2019_MI,EEGNet,0,3,3,1,100,100,d33bbd2526792a55,5417a22ad223b2c5,7bcb1cf85867c828,c1b612b33e5eb3e0,285aa9b7c6ffa6ae,True
Lee2019_MI,EEGNet,0,3,3,2,100,100,ea83d3f46a76d31f,160bc9b21393a07b,375fbde10cf8ac50,bd0fa2cb71c06bf8,7cc570c1834b0f72,True
Lee2019_MI,EEGNet,0,3,3,3,100,100,bcdc5b2752c774ba,803883e2f426163d,8130abd1db240aa7,20f98f5ba700d38e,b4a6896a24c7bd05,True
Lee2019_MI,EEGNet,0,3,3,4,100,100,ec1e353c491ecb4f,e1910729c4301b77,423d9d43ea1397c6,5e3c9a5c743b5be9,409b81e3176e3fcf,True
Lee2019_MI,EEGNet,0,3,3,5,100,100,c5d3b59138555c62,eca2a40e9a80e933,64d103e57e2c90f6,3bcf1ef573a13cde,95ee8d2e74ccbae5,True
Lee2019_MI,EEGNet,0,3,3,6,100,100,6da8d028ecad857c,aa6dcaec52fb2c11,d616e5b3a5e5cf56,3b9679232b50a964,bac73100e6010055,True
Lee2019_MI,EEGNet,0,3,3,7,100,100,1a9abfee5fc76a51,48989c285ee0b50d,3e99f58255834e4e,8fbf8bc81a129b91,8231f28d5557dbf6,True
Lee2019_MI,EEGNet,0,3,3,8,100,100,1dee3a1cb080c12a,03beaf0a312c630e,46a152d92a9a49bc,345b9efa98a33b58,7ad19049bbde940f,True
Lee2019_MI,EEGNet,0,3,3,9,100,100,d16a76de42790dfc,0cf5e5eb1ecb3d39,7ae2ae225d070a38,9e415a927a6d3ff3,d6dd0b466f9c3f0f,True
Lee2019_MI,EEGNet,0,3,3,10,100,100,6854f3ae6faf7814,847280e5a1bb9648,f1a3a26385a7d8e6,be238ffabadfc135,182304ba5e3372b1,True
Lee2019_MI,EEGNet,0,4,4,1,100,100,839cf2f34a83e824,1dc0c53c6105d429,804373c77a5fd5be,8e6965c85e03c0a2,601172c21eaa853e,True
Lee2019_MI,EEGNet,0,4,4,2,100,100,c38b12a44a450e36,536946a0ff49d000,07a976416e83a9b3,8ab3bfa022fbe71a,90b8754cf6b0db9b,True
Lee2019_MI,EEGNet,0,4,4,3,100,100,f9a5be76632797ff,abb30461255ee8cd,20e05b445e47966a,5b69cd47e93d881e,b2e53069707542ba,True
Lee2019_MI,EEGNet,0,4,4,4,100,100,345086d5cc903a1c,56fa51e1684aed6e,a6293b68f2769a51,7c303efbb86bbc4d,9429575338b73d65,True
Lee2019_MI,EEGNet,0,4,4,5,100,100,d00a8fcd1d6a892e,3aa6cb83505f19c3,70cbdf71b915f879,7e6af5bd0ae5f90d,e1de02bc05a0512d,True
Lee2019_MI,EEGNet,0,4,4,6,100,100,cd7998e3b89ae00b,85b43c015fc26736,7942ffd44146b44e,4241b7fcb1fa8d00,00b4ef621345bc3f,True
Lee2019_MI,EEGNet,0,4,4,7,100,100,2030ccf80e620176,ec704dc6bdfcb845,0141933c0515c90a,97cf6f076a931d44,51393528791ec610,True
Lee2019_MI,EEGNet,0,4,4,8,100,100,cd5171e2446b0692,807d01a1aa4f8ef8,324765fa03c5f793,7a53539828b80538,e45c3675635eaa8e,True
Lee2019_MI,EEGNet,0,4,4,9,100,100,47c19fa21b99ffcf,d353f1471d216217,170da390fea9d3e0,2c16af32df51bce7,ad2e2b6bf5522582,True
Lee2019_MI,EEGNet,0,4,4,10,100,100,89b80231f8241e26,0514524a797c040b,79758d8e13c7d349,d53d1e3f4ec4eebc,22099dbe56ab9e87,True
Lee2019_MI,EEGNet,0,5,5,1,100,100,4435e8824f54f70d,45d13cbb1a295a84,af1fde977f20f7b3,cf2bf535ba5bc960,162924c89df24244,True
Lee2019_MI,EEGNet,0,5,5,2,100,100,09d8d07969feec76,736ec21bfed9f0f9,0ea2f7d2a7d3a5e2,4a929981c9d5aab1,b55d2d75cd7cb2d6,True
Lee2019_MI,EEGNet,0,5,5,3,100,100,5d915ffe66c1b26a,10fe3c995adc39da,b3e02fd51e5f4d65,450014c9cdb8e36a,48848e9d6da38f5a,True
Lee2019_MI,EEGNet,0,5,5,4,100,100,96bce20605b06f38,e066aef7c076b055,6081fcf3e05a026a,06faba3b42542fc8,943a94ecec1c6fce,True
Lee2019_MI,EEGNet,0,5,5,5,100,100,0f1df7335de5a678,017cabe70576df37,813889421546725d,acddd099d2490c8d,d3069e24aecd0d3a,True
Lee2019_MI,EEGNet,0,5,5,6,100,100,90bf05567bb72aba,00100bfc7a0a5f9f,123d4bab8cd342d5,e4bdbd9cf90aaffb,21b79454c2b88c8d,True
Lee2019_MI,EEGNet,0,5,5,7,100,100,3dd7fb31ef72a2c4,6bdd25016b3d21e2,57873e0127b8ce54,e1c17284f3d3deaa,feb36f3fb1ae9cac,True
Lee2019_MI,EEGNet,0,5,5,8,100,100,f119ace8b5171855,def68a7eae14a5ab,88f61b8eed0475dc,819a5911f530929d,baa23cfb6bac9795,True
Lee2019_MI,EEGNet,0,5,5,9,100,100,805c737d3e2a4069,7c94992b62090605,da51909a6a5a5b6c,e77f0269664e8f88,e259eaeb44b292f5,True
Lee2019_MI,EEGNet,0,5,5,10,100,100,5a761c19e438e8f3,95cb8363d9f9ab7d,6195f8e2ad868959,fb0fd5691bf8a1b0,2c06177544ac88d0,True
