signal,topk_good_rate,base_rate,k
source_guard_worst_bacc,0.5802469135802469,0.47318611987381703,3
source_guard_worst_nll,0.5617283950617284,0.47318611987381703,3
source_guard_worst_ece,0.42592592592592593,0.47318611987381703,3
source_audit_worst_bacc,0.5123456790123457,0.47318611987381703,3
source_audit_worst_nll,0.49382716049382713,0.47318611987381703,3
source_audit_worst_ece,0.4506172839506173,0.47318611987381703,3
selection_leakage_point,0.41975308641975306,0.47318611987381703,3
audit_leakage_point,0.46296296296296297,0.47318611987381703,3
R_src,0.6172839506172839,0.47318611987381703,3
balanced_err,0.41358024691358025,0.47318611987381703,3
train_surrogate,0.3765432098765432,0.47318611987381703,3
epoch,0.4567901234567901,0.47318611987381703,3
