signal,axis,rho_bacc,rho_nll,perm_p_bacc,strong_accuracy,weak_accuracy,identifies_nll
source_guard_worst_bacc,accuracy,0.02446400914272075,0.045107244578991956,0.5714285714285714,False,False,False
source_guard_worst_nll,calibration,-0.10620276455648135,0.10650198625540054,0.0033222591362126247,False,False,False
source_guard_worst_ece,calibration,0.10848669000791894,-0.21861871084466847,0.0033222591362126247,False,False,True
source_audit_worst_bacc,accuracy,0.119523893328065,-0.0734634119392042,0.0033222591362126247,False,False,False
source_audit_worst_nll,calibration,-0.07119165568819004,0.22198851626726127,0.009966777408637873,False,False,True
source_audit_worst_ece,calibration,-0.013293518318304194,0.16048029377255194,0.6378737541528239,False,False,True
selection_leakage_point,leakage,0.07525820400664962,0.003006188660323505,0.009966777408637873,False,False,False
audit_leakage_point,leakage,0.029927076998967676,-0.00828261419070427,0.2823920265780731,False,False,False
R_src,risk,-0.23603865667990312,0.0841350283297263,0.0033222591362126247,False,True,False
balanced_err,accuracy,-0.22241795033057948,0.14020766944196197,0.0033222591362126247,False,True,False
train_surrogate,objective,0.20616802088672478,-0.2006741171198362,0.0033222591362126247,False,True,True
epoch,meta,0.038306512772421884,-0.15425103874843488,0.19269102990033224,False,False,True
