seed,target,level,model_hash,target_bacc_good,target_joint_good,target_oracle_rank,diagnostic_only_non_deployable
0,1,0,4b4247ebfcfb,False,False,8,True
0,1,0,8c6c433fe015,False,False,14,True
0,1,0,0b03857e894c,False,False,20,True
0,1,0,9943cdeb31d2,False,False,15,True
0,1,0,f3cc4abd14f3,False,False,11,True
0,1,0,582ed14cfcf3,False,False,3,True
0,1,0,f8c19f575649,False,False,7,True
0,1,0,93644750d635,False,False,2,True
0,1,0,2cad19b26a7d,True,True,1,True
0,1,0,4faaf240650c,False,False,5,True
0,1,0,4363fec8ba7b,False,False,16,True
0,1,0,b0cdba254ad8,False,False,9,True
0,1,0,9db4a5633cc1,False,False,12,True
0,1,0,094dd0fcb9f9,False,False,10,True
0,1,0,93eb71d05ac0,False,False,18,True
0,1,0,02aac7092e4a,False,False,13,True
0,1,0,8de7e02f1d51,False,False,6,True
0,1,0,dbcdec69acab,False,False,19,True
0,1,0,14ecfb755614,False,False,17,True
0,1,0,59fa344b6a0f,False,False,4,True
0,1,1,9c9b13db9b94,True,True,1,True
0,1,1,4943d5559d51,False,False,19,True
0,1,1,8d87c088be25,False,False,16,True
0,1,1,286dde7531db,False,False,18,True
0,1,1,761715b4ba36,False,False,10,True
0,1,1,c99abf329f2b,False,False,17,True
0,1,1,a6901567b2a6,False,False,15,True
0,1,1,5dea0a268bdb,True,True,3,True
0,1,1,e33d4cf3ae19,False,False,12,True
0,1,1,303d7ca48e37,True,True,4,True
0,1,1,28c9b16b0f7f,False,False,7,True
0,1,1,d56c54cca054,True,False,5,True
0,1,1,9d644f985645,False,False,8,True
0,1,1,d50cf45e7304,True,True,2,True
0,1,1,80bd7c06f345,True,True,6,True
0,1,1,9e562374660b,False,False,11,True
0,1,1,7be0807aa7a1,False,False,13,True
0,1,1,39a4ca3354d4,False,False,9,True
0,1,1,3bab29458b34,False,False,14,True
0,1,1,73e7bd26fbc1,False,False,20,True
0,2,0,2f415fe88316,True,True,1,True
0,2,0,28882bbb648b,True,True,5,True
0,2,0,088b2c5d94a8,True,False,2,True
0,2,0,f9c72de6db70,False,False,27,True
0,2,0,6c7269fb50e5,False,False,25,True
0,2,0,ff4938ec7b80,True,False,14,True
0,2,0,4e8b5c949146,False,False,26,True
0,2,0,c58540c3c5f8,True,True,9,True
0,2,0,3195cdabed96,True,True,3,True
0,2,0,dd8f006a3c02,True,True,4,True
0,2,0,95622ac06b90,True,True,23,True
0,2,0,5570b483e887,True,True,6,True
0,2,0,dbdaa9fb54cc,True,False,10,True
0,2,0,b2d4077a212e,True,False,8,True
0,2,0,7dcc2bb1a1b7,True,False,7,True
0,2,0,afcd36d6ded3,True,False,19,True
0,2,0,ecee6f121695,True,False,21,True
0,2,0,23e7c14261f3,True,False,11,True
0,2,0,3f9319163942,True,False,12,True
0,2,0,6fa5dae85ae9,True,False,13,True
0,2,0,6995d4330675,True,False,17,True
0,2,0,b45fcf262875,True,False,20,True
0,2,0,261a249dc0a2,True,False,16,True
0,2,0,94b14b494fe5,True,False,18,True
0,2,0,11fd46847203,True,False,15,True
0,2,0,0760a5e187cd,True,False,22,True
0,2,0,6dbaef9697a8,True,False,24,True
0,2,1,fa07a7fc8f22,False,False,26,True
0,2,1,fb3a239153aa,True,False,9,True
0,2,1,01e72246f2b7,False,False,16,True
0,2,1,b445de1fd3f5,True,False,7,True
