signal,rho_target_bacc,rho_target_nll
source_guard_worst_bacc,0.02446400914272075,0.045107244578991956
source_guard_worst_nll,-0.10620276455648135,0.10650198625540054
source_guard_worst_ece,0.10848669000791894,-0.21861871084466847
source_audit_worst_bacc,0.119523893328065,-0.0734634119392042
source_audit_worst_nll,-0.07119165568819004,0.22198851626726127
source_audit_worst_ece,-0.013293518318304194,0.16048029377255194
selection_leakage_point,0.07525820400664962,0.003006188660323505
audit_leakage_point,0.029927076998967676,-0.00828261419070427
R_src,-0.23603865667990312,0.0841350283297263
balanced_err,-0.22241795033057948,0.14020766944196197
train_surrogate,0.20616802088672478,-0.2006741171198362
epoch,0.038306512772421884,-0.15425103874843488
