path,sha256,bytes,status
oaci/OACI_CODEX_HANDOFF.md,be955c3651ff0bfe262936ff8a2b468325fa3a0098ac496b9f9c1d2b19ead109,54286,PASS
oaci/reports/C84C_ENGINEERING_CANARY_RESULT.json,bec3a8b205a3d13fdb848ce1f82f71f903d05a97f746fdae25b3b4cce40e67f0,8368,PASS
oaci/reports/C84C_ENGINEERING_CANARY_RESULT.md,538c8ad9173c13b618d9477e9ff62395d966cdf12cf7fba876e039a47ba53313,1518,PASS
oaci/reports/C84C_ENGINEERING_CANARY_RESULT.sha256,5f357e0899094f04a4509fd67b5338b66e7bc06c14d7eb0b9d41bc42bc6e020f,102,PASS
oaci/reports/C84C_FINAL_REPORT_RED_TEAM.md,e029ff635b22a43d09a30b6c1431d2b83a3f7ceb24139eb73a586f9eb239a361,900,PASS
oaci/reports/C84C_JOB_895441_SCHEDULER_SNAPSHOT.json,83b910ae6a9ab439cda6705a00e2f3b5720abc5d9452bb9d3f3ab0bb906b969d,554,PASS
oaci/reports/C84C_REGRESSION_VERIFICATION.md,b5385421e93bda9a8cbafd2580e7b4d363d92e2dea1a3f6e858fe9428d64f764,927,PASS
oaci/reports/OACI_EEG_DG_PROJECT_MEMORY_THROUGH_C84C.md,53c58988b720d3255fcfdf283cdfb9f84510777b9818e92258e4ef9e381c43f9,2309,PASS
oaci/reports/c84c_tables/artifact_count_replay.csv,615c274c5daf8c86d98d46521ef752e26e8675d32b55273c60fcc5f287718f54,531,PASS
oaci/reports/c84c_tables/artifact_replay.csv,a72e257411502f814cc948c7e31bda17ed9c406fb09ef8782ec2ef8092884ed1,449,PASS
oaci/reports/c84c_tables/authorization_lock_replay.csv,3944028b1eaa1bea0636ae75fa39f10271dc4c4b3962862dd63225d377f7f986,1145,PASS
oaci/reports/c84c_tables/complete_gate.csv,041bd25931d07775673f4855555529886570269da5aa1fdf1bd0b00b47b5abb7,242,PASS
oaci/reports/c84c_tables/dataset_interface_replay.csv,a8b8f306e3426b3b3d006c1a0570b7884a9bc808232ff03fca00656c416c6584,1020,PASS
oaci/reports/c84c_tables/external_artifact_manifest.csv,c03bc39134928bbea16e53e97dd4dd2756c5c2ffd515eb0138169d1914d9eb82,1201,PASS
oaci/reports/c84c_tables/failure_and_retry_ledger.csv,ffadc69821a12b3b8115bc381c385e6fb723ecf41f2567263bfa8cb6d346a6a4,413,PASS
oaci/reports/c84c_tables/final_report_red_team.csv,dd757b487e8dba6a0667a57da13858ff78c6ccdf9fdcaadfb0d6578df1908241,3173,PASS
oaci/reports/c84c_tables/job_resource_ledger.csv,89c45519997a3e5d92c00c27aed5ad81bab96fa7322f3c31ae82f0ae09aa70d8,464,PASS
oaci/reports/c84c_tables/regression_verification.csv,afbcdede431e66d0aff72f1f0903d86e86bc237c1eaec186e8eeb5e05a978dc1,1503,PASS
oaci/reports/c84c_tables/target_label_isolation.csv,30736bcd5d9ec502649394ae04688bf49c7a33d6619963cb8e2c6e1bd11db7fe,422,PASS
oaci/reports/c84c_tables/warning_ledger.csv,ca0aa7051952c6744e20f08ce50adf0b6bad44ce82a0726cd5b54854c1894c18,219,PASS
